Freq.	V(vf)
1.00000000000000e+00	(4.84141362950990e+01dB,1.79227311618704e+02°)
1.04712854805090e+00	(4.84140611690185e+01dB,1.79190833479624e+02°)
1.09647819614319e+00	(4.84139787963916e+01dB,1.79152639884519e+02°)
1.14815362149688e+00	(4.84138884782065e+01dB,1.79112649952182e+02°)
1.20226443461741e+00	(4.84137894484525e+01dB,1.79070779010722e+02°)
1.25892541179417e+00	(4.84136808672714e+01dB,1.79026938420899e+02°)
1.31825673855641e+00	(4.84135618133049e+01dB,1.78981035391507e+02°)
1.38038426460289e+00	(4.84134312769874e+01dB,1.78932972786262e+02°)
1.44543977074593e+00	(4.84132881514627e+01dB,1.78882648922209e+02°)
1.51356124843621e+00	(4.84131312226791e+01dB,1.78829957359155e+02°)
1.58489319246111e+00	(4.84129591602183e+01dB,1.78774786679552e+02°)
1.65958690743756e+00	(4.84127705053281e+01dB,1.78717020258897e+02°)
1.73780082874938e+00	(4.84125636587855e+01dB,1.78656536025964e+02°)
1.81970085860998e+00	(4.84123368672156e+01dB,1.78593206212654e+02°)
1.90546071796325e+00	(4.84120882090263e+01dB,1.78526897092918e+02°)
1.99526231496888e+00	(4.84118155769378e+01dB,1.78457468710838e+02°)
2.08929613085404e+00	(4.84115166616778e+01dB,1.78384774596758e+02°)
2.18776162394955e+00	(4.84111889310893e+01dB,1.78308661472036e+02°)
2.29086765276778e+00	(4.84108296100977e+01dB,1.78228968941126e+02°)
2.39883291901949e+00	(4.84104356566608e+01dB,1.78145529171479e+02°)
2.51188643150958e+00	(4.84100037362251e+01dB,1.78058166560500e+02°)
2.63026799189538e+00	(4.84095301944785e+01dB,1.77966697389239e+02°)
2.75422870333817e+00	(4.84090110254642e+01dB,1.77870929463179e+02°)
2.88403150312661e+00	(4.84084418391475e+01dB,1.77770661738966e+02°)
3.01995172040202e+00	(4.84078178247308e+01dB,1.77665683937696e+02°)
3.16227766016838e+00	(4.84071337094276e+01dB,1.77555776144735e+02°)
3.31131121482592e+00	(4.84063837158109e+01dB,1.77440708395202e+02°)
3.46736850452532e+00	(4.84055615128738e+01dB,1.77320240246360e+02°)
3.63078054770102e+00	(4.84046601642232e+01dB,1.77194120336118e+02°)
3.80189396320562e+00	(4.84036720701105e+01dB,1.77062085928801e+02°)
3.98107170553498e+00	(4.84025889046668e+01dB,1.76923862448169e+02°)
4.16869383470336e+00	(4.84014015476889e+01dB,1.76779162998382e+02°)
4.36515832240167e+00	(4.84001000097402e+01dB,1.76627687874027e+02°)
4.57088189614876e+00	(4.83986733498344e+01dB,1.76469124060469e+02°)
4.78630092322639e+00	(4.83971095867360e+01dB,1.76303144725317e+02°)
5.01187233627273e+00	(4.83953956014298e+01dB,1.76129408703428e+02°)
5.24807460249774e+00	(4.83935170309872e+01dB,1.75947559977250e+02°)
5.49540873857626e+00	(4.83914581530941e+01dB,1.75757227155056e+02°)
5.75439937337158e+00	(4.83892017593901e+01dB,1.75558022950651e+02°)
6.02559586074359e+00	(4.83867290194919e+01dB,1.75349543666918e+02°)
6.30957344480195e+00	(4.83840193312392e+01dB,1.75131368689202e+02°)
6.60693448007598e+00	(4.83810501587641e+01dB,1.74903059992401e+02°)
6.91830970918938e+00	(4.83777968572514e+01dB,1.74664161667646e+02°)
7.24435960074992e+00	(4.83742324812458e+01dB,1.74414199476672e+02°)
7.58577575029186e+00	(4.83703275801466e+01dB,1.74152680438981e+02°)
7.94328234724284e+00	(4.83660499724980e+01dB,1.73879092465433e+02°)
8.31763771102674e+00	(4.83613645060919e+01dB,1.73592904043723e+02°)
8.70963589956084e+00	(4.83562327969246e+01dB,1.73293563991408e+02°)
9.12010839355913e+00	(4.83506129499241e+01dB,1.72980501287443e+02°)
9.54992586021439e+00	(4.83444592563733e+01dB,1.72653125000671e+02°)
1.00000000000000e+01	(4.83377218714261e+01dB,1.72310824329575e+02°)
1.04712854805090e+01	(4.83303464679134e+01dB,1.71952968775198e+02°)
1.09647819614319e+01	(4.83222738674337e+01dB,1.71578908468019e+02°)
1.14815362149689e+01	(4.83134396481531e+01dB,1.71187974673340e+02°)
1.20226443461742e+01	(4.83037737268971e+01dB,1.70779480504777e+02°)
1.25892541179417e+01	(4.82931999207315e+01dB,1.70352721871017e+02°)
1.31825673855641e+01	(4.82816354830303e+01dB,1.69906978694377e+02°)
1.38038426460289e+01	(4.82689906194907e+01dB,1.69441516432807e+02°)
1.44543977074593e+01	(4.82551679827740e+01dB,1.68955587947524e+02°)
1.51356124843621e+01	(4.82400621539953e+01dB,1.68448435750936e+02°)
1.58489319246112e+01	(4.82235591034214e+01dB,1.67919294692694e+02°)
1.65958690743757e+01	(4.82055356492974e+01dB,1.67367395111931e+02°)
1.73780082874938e+01	(4.81858589092805e+01dB,1.66791966517200e+02°)
1.81970085860999e+01	(4.81643857572929e+01dB,1.66192241834825e+02°)
1.90546071796326e+01	(4.81409622945337e+01dB,1.65567462272192e+02°)
1.99526231496889e+01	(4.81154233393885e+01dB,1.64916882850376e+02°)
2.08929613085405e+01	(4.80875919580668e+01dB,1.64239778632157e+02°)
2.18776162394956e+01	(4.80572790423647e+01dB,1.63535451692861e+02°)
2.29086765276778e+01	(4.80242829558801e+01dB,1.62803238851942e+02°)
2.39883291901950e+01	(4.79883892661426e+01dB,1.62042520180583e+02°)
2.51188643150959e+01	(4.79493705790214e+01dB,1.61252728292894e+02°)
2.63026799189540e+01	(4.79069865058001e+01dB,1.60433358384343e+02°)
2.75422870333818e+01	(4.78609837855069e+01dB,1.59583978974193e+02°)
2.88403150312662e+01	(4.78110965800949e+01dB,1.58704243297707e+02°)
3.01995172040203e+01	(4.77570469785300e+01dB,1.57793901221331e+02°)
3.16227766016840e+01	(4.76985457354333e+01dB,1.56852811537403e+02°)
3.31131121482593e+01	(4.76352932586640e+01dB,1.55880954484561e+02°)
3.46736850452534e+01	(4.75669808796542e+01dB,1.54878444242155e+02°)
3.63078054770103e+01	(4.74932924234411e+01dB,1.53845541134140e+02°)
3.80189396320563e+01	(4.74139060826014e+01dB,1.52782663262207e+02°)
3.98107170553500e+01	(4.73284966126394e+01dB,1.51690397188949e+02°)
4.16869383470338e+01	(4.72367378341511e+01dB,1.50569507332773e+02°)
4.36515832240169e+01	(4.71383054426036e+01dB,1.49420943630038e+02°)
4.57088189614878e+01	(4.70328800844564e+01dB,1.48245847114786e+02°)
4.78630092322641e+01	(4.69201506706673e+01dB,1.47045552990584e+02°)
5.01187233627275e+01	(4.67998178746682e+01dB,1.45821590830870e+02°)
5.24807460249776e+01	(4.66715977495305e+01dB,1.44575681590928e+02°)
5.49540873857628e+01	(4.65352253785114e+01dB,1.43309731227036e+02°)
5.75439937337161e+01	(4.63904584929325e+01dB,1.42025820674272e+02°)
6.02559586074362e+01	(4.62370809377009e+01dB,1.40726192253510e+02°)
6.30957344480197e+01	(4.60749059004212e+01dB,1.39413232531007e+02°)
6.60693448007600e+01	(4.59037788125038e+01dB,1.38089451809275e+02°)
6.91830970918941e+01	(4.57235798078148e+01dB,1.36757460721603e+02°)
7.24435960074995e+01	(4.55342256868099e+01dB,1.35419944244456e+02°)
7.58577575029189e+01	(4.53356712918994e+01dB,1.34079633868227e+02°)
7.94328234724287e+01	(4.51279102647968e+01dB,1.32739278492094e+02°)
8.31763771102677e+01	(4.49109751493426e+01dB,1.31401614831944e+02°)
8.70963589956087e+01	(4.46849368386352e+01dB,1.30069338083414e+02°)
9.12010839355916e+01	(4.44499033864128e+01dB,1.28745073581569e+02°)
9.54992586021443e+01	(4.42060182266767e+01dB,1.27431350134266e+02°)
1.00000000000001e+02	(4.39534578542161e+01dB,1.26130575717117e+02°)
1.04712854805091e+02	(4.36924290563656e+01dB,1.24845015941857e+02°)
1.09647819614319e+02	(4.34231657745007e+01dB,1.23576775773440e+02°)
1.14815362149689e+02	(4.31459256954608e+01dB,1.22327784725175e+02°)
1.20226443461742e+02	(4.28609866736054e+01dB,1.21099785631299e+02°)
1.25892541179418e+02	(4.25686430735369e+01dB,1.19894327051916e+02°)
1.31825673855642e+02	(4.22692021308307e+01dB,1.18712759116255e+02°)
1.38038426460290e+02	(4.19629804036154e+01dB,1.17556232666013e+02°)
1.44543977074594e+02	(4.16503003911506e+01dB,1.16425701325750e+02°)
1.51356124843622e+02	(4.13314873694533e+01dB,1.15321926215557e+02°)
1.58489319246113e+02	(4.10068664908277e+01dB,1.14245482871350e+02°)
1.65958690743757e+02	(4.06767601757294e+01dB,1.13196769980869e+02°)
1.73780082874939e+02	(4.03414858123376e+01dB,1.12176019561983e+02°)
1.81970085861000e+02	(4.00013537731667e+01dB,1.11183308157839e+02°)
1.90546071796326e+02	(3.96566657426882e+01dB,1.10218568732532e+02°)
1.99526231496890e+02	(3.93077133470376e+01dB,1.09281602917648e+02°)
2.08929613085406e+02	(3.89547770672673e+01dB,1.08372093353781e+02°)
2.18776162394957e+02	(3.85981254159616e+01dB,1.07489615870642e+02°)
2.29086765276779e+02	(3.82380143522348e+01dB,1.06633651321191e+02°)
2.39883291901951e+02	(3.78746869092332e+01dB,1.05803596916650e+02°)
2.51188643150960e+02	(3.75083730079854e+01dB,1.04998776940993e+02°)
2.63026799189540e+02	(3.71392894318082e+01dB,1.04218452756134e+02°)
2.75422870333819e+02	(3.67676399354594e+01dB,1.03461832062502e+02°)
2.88403150312663e+02	(3.63936154666063e+01dB,1.02728077364852e+02°)
3.01995172040204e+02	(3.60173944775483e+01dB,1.02016313645104e+02°)
3.16227766016841e+02	(3.56391433074191e+01dB,1.01325635258962e+02°)
3.31131121482594e+02	(3.52590166182556e+01dB,1.00655112057450e+02°)
3.46736850452535e+02	(3.48771578689201e+01dB,1.00003794784140e+02°)
3.63078054770105e+02	(3.44936998138731e+01dB,9.93707197810080e+01°)
3.80189396320565e+02	(3.41087650154554e+01dB,9.87549130480098e+01°)
3.98107170553501e+02	(3.37224663605114e+01dB,9.81553936894061e+01°)
4.16869383470339e+02	(3.33349075727027e+01dB,9.75711768167893e+01°)
4.36515832240170e+02	(3.29461837145222e+01dB,9.70012759395097e+01°)
4.57088189614879e+02	(3.25563816736283e+01dB,9.64447048918171e+01°)
4.78630092322643e+02	(3.21655806290690e+01dB,9.59004793514944e+01°)
