time	V(n004)
0.000000000000000e+00	4.347545e-01
1.472820807357062e-09	4.336119e-01
4.418462422071186e-09	4.330355e-01
1.030974565149605e-08	4.330331e-01
1.867070019212014e-08	4.330309e-01
2.838831033791846e-08	4.330309e-01
4.111590315696717e-08	4.330309e-01
6.657108879506797e-08	4.330309e-01
9.546237231402864e-08	4.330309e-01
1.306605286973752e-07	4.330309e-01
1.645200593677630e-07	4.330309e-01
2.055456498549390e-07	4.330309e-01
2.479705703461550e-07	4.330255e-01
2.573111657141646e-07	4.330309e-01
2.730809442787614e-07	4.330309e-01
2.775018128217589e-07	4.336766e-01
2.863435499077504e-07	4.388398e-01
2.910940687123883e-07	4.457543e-01
2.922816984135478e-07	4.495769e-01
2.934794350739763e-07	5.190919e-01
2.940589409995497e-07	7.342934e-01
2.947187858167835e-07	1.231584e+00
2.952247043399838e-07	1.664155e+00
2.957559426984221e-07	2.099312e+00
2.968184194153022e-07	2.918611e+00
2.989433728490624e-07	4.308188e+00
3.021371040962051e-07	5.830677e+00
3.029930384020593e-07	5.998822e+00
3.036945630944002e-07	6.000866e+00
3.054358021798197e-07	6.000041e+00
3.063973320000722e-07	5.999974e+00
3.076098890899134e-07	6.000007e+00
3.089608766603612e-07	5.999997e+00
3.105999860668671e-07	6.000001e+00
3.127140415343414e-07	5.999999e+00
3.155054497358374e-07	6.000000e+00
3.195306554567422e-07	6.000000e+00
3.257826704623194e-07	6.000000e+00
3.365534806426296e-07	6.000000e+00
3.574989375664196e-07	6.000000e+00
3.966923231659195e-07	6.000000e+00
4.750790943649192e-07	6.000000e+00
5.727353443649187e-07	6.000000e+00
6.703915943649181e-07	6.000000e+00
7.680478443649175e-07	6.000000e+00
1.061016594364916e-06	6.000000e+00
1.256329094364915e-06	6.000000e+00
1.451641594364913e-06	6.000000e+00
1.549297844364913e-06	6.000000e+00
1.646954094364912e-06	6.000000e+00
1.744610344364912e-06	6.000000e+00
1.842266594364911e-06	6.000000e+00
1.939922844364910e-06	6.000000e+00
2.037579094364910e-06	6.000000e+00
2.135235344364909e-06	6.000000e+00
2.232891594364909e-06	6.000000e+00
2.330547844364908e-06	6.000000e+00
2.376694762407787e-06	6.000000e+00
2.407054581915355e-06	6.000000e+00
2.424777219643061e-06	6.000000e+00
2.447694424604298e-06	6.000000e+00
2.470896133282521e-06	6.000000e+00
2.496005992050170e-06	6.000000e+00
2.528079679257167e-06	6.000000e+00
2.563969726607850e-06	6.000000e+00
2.616303465920128e-06	6.000000e+00
2.672549409832666e-06	6.000000e+00
2.770205659832665e-06	6.000000e+00
2.867861909832665e-06	6.000000e+00
2.965518159832664e-06	6.000000e+00
3.063174409832663e-06	6.000000e+00
3.160830659832663e-06	6.000000e+00
3.258486909832662e-06	6.000000e+00
3.356143159832662e-06	6.000000e+00
3.453799409832661e-06	4.461881e+00
3.496040231006980e-06	1.463287e+00
3.496525007197335e-06	1.279092e+00
3.497494559578044e-06	6.984211e-01
3.498022924541723e-06	5.055772e-01
3.498566569662316e-06	4.547051e-01
3.498881209614918e-06	4.532783e-01
3.499268866472683e-06	4.520271e-01
3.500044180188215e-06	4.500217e-01
3.501468099272701e-06	4.472526e-01
3.503710201263447e-06	4.441632e-01
3.508194405244934e-06	4.401376e-01
3.515050758595236e-06	4.366448e-01
3.528763465295840e-06	4.338732e-01
3.549572973404880e-06	4.330025e-01
3.591191989622961e-06	4.330183e-01
3.644230547706364e-06	4.330315e-01
3.741886797706364e-06	4.330327e-01
3.839543047706363e-06	4.330326e-01
3.937199297706362e-06	4.330323e-01
4.034855547706362e-06	4.330319e-01
4.132511797706361e-06	4.330312e-01
4.230168047706361e-06	4.330312e-01
4.327824297706360e-06	4.330319e-01
4.425480547706359e-06	4.330319e-01
4.523136797706359e-06	4.330315e-01
4.620793047706358e-06	4.330319e-01
4.718449297706358e-06	4.330319e-01
4.816105547706357e-06	4.330311e-01
4.864765366513625e-06	4.330308e-01
4.915213050119270e-06	4.330313e-01
4.936664652522278e-06	4.330318e-01
4.971996163378173e-06	4.330326e-01
5.016878157902302e-06	4.330329e-01
5.075407281698311e-06	4.330328e-01
5.173063531698311e-06	4.330329e-01
5.270719781698310e-06	4.330325e-01
5.368376031698309e-06	4.330322e-01
5.466032281698309e-06	4.330322e-01
5.563688531698308e-06	4.330322e-01
5.759001031698307e-06	4.330322e-01
5.856657281698306e-06	4.418146e-01
5.909067493668803e-06	4.877209e-01
5.909347119530525e-06	5.287668e-01
5.909906371253967e-06	7.250981e-01
5.910728922471908e-06	1.101908e+00
5.911587138992500e-06	1.581208e+00
5.912959182124620e-06	2.469569e+00
5.914418526957829e-06	3.473417e+00
5.916536853454797e-06	4.833510e+00
5.918500027917600e-06	5.819394e+00
5.919221117330350e-06	5.988267e+00
5.919957939099055e-06	6.001610e+00
5.920453990235736e-06	5.998328e+00
5.921028551068986e-06	6.000185e+00
5.921908741421603e-06	5.999988e+00
5.922711946542551e-06	6.000009e+00
5.925225545213320e-06	6.000001e+00
5.927631610953353e-06	6.000000e+00
5.930037676693387e-06	6.000000e+00
5.932443742433421e-06	6.000000e+00
5.934849808173453e-06	5.999999e+00
5.937255873913487e-06	5.999999e+00
5.939661939653521e-06	6.000000e+00
5.942068005393555e-06	6.000000e+00
5.952760695319953e-06	6.000000e+00
5.973771037387188e-06	6.000000e+00
6.013911544792083e-06	6.000000e+00
6.090320990285483e-06	6.000000e+00
6.187977240285483e-06	6.000000e+00
6.285633490285482e-06	6.000000e+00
6.383289740285481e-06	6.000000e+00
6.480945990285481e-06	6.000000e+00
6.578602240285480e-06	6.000000e+00
6.676258490285480e-06	6.000000e+00
6.773914740285479e-06	6.000000e+00
6.871570990285478e-06	6.000000e+00
6.969227240285478e-06	6.000000e+00
7.066883490285477e-06	6.000000e+00
7.164539740285477e-06	6.000000e+00
7.262195990285476e-06	6.000000e+00
7.308063542306103e-06	6.000000e+00
7.346033335862551e-06	6.000000e+00
7.363263511935421e-06	6.000000e+00
7.387799192997864e-06	6.000000e+00
7.414989184851354e-06	6.000000e+00
7.446451285677877e-06	6.000000e+00
7.491172961555719e-06	6.000000e+00
7.540394488363188e-06	6.000000e+00
7.624413572839055e-06	6.000000e+00
7.711022202307844e-06	6.000000e+00
7.808678452307844e-06	6.000000e+00
7.849745012159666e-06	5.631894e+00
7.875201865204523e-06	4.727138e+00
7.875431244298326e-06	4.630376e+00
7.875890002485936e-06	4.265623e+00
7.876807518861156e-06	3.546260e+00
7.878185558400393e-06	2.532785e+00
7.880941637478866e-06	6.312221e-01
7.880970921761473e-06	6.127678e-01
7.881029490326689e-06	5.798429e-01
7.881146627457122e-06	5.281091e-01
7.881380901717988e-06	4.722391e-01
7.881597815516967e-06	4.567827e-01
7.881815959498046e-06	4.553973e-01
7.882573860352761e-06	4.524581e-01
7.883584394825716e-06	4.498525e-01
7.885605463771628e-06	4.463001e-01
7.889647601663452e-06	4.418907e-01
7.897731877447101e-06	4.373026e-01
7.913900429014394e-06	4.339580e-01
7.938735868697636e-06	4.330015e-01
7.980124020227385e-06	4.330149e-01
8.042848893976165e-06	4.330293e-01
8.140505143976165e-06	4.330305e-01
8.238161393976164e-06	4.330309e-01
8.335817643976164e-06	4.330309e-01
8.433473893976163e-06	4.330309e-01
8.531130143976162e-06	4.330309e-01
8.628786393976162e-06	4.330309e-01
8.726442643976161e-06	4.330309e-01
8.824098893976161e-06	4.330309e-01
8.921755143976160e-06	4.330309e-01
9.019411393976159e-06	4.330309e-01
9.117067643976159e-06	4.330309e-01
9.214723893976158e-06	4.330309e-01
9.312380143976158e-06	4.330309e-01
9.410036393976157e-06	4.330309e-01
9.507692643976156e-06	4.330309e-01
9.605348893976156e-06	4.330309e-01
9.703005143976155e-06	4.330309e-01
9.752615907325925e-06	4.330309e-01
9.792061191506639e-06	4.330309e-01
9.816939922022354e-06	4.330309e-01
9.847711451451892e-06	4.330309e-01
9.886748646019973e-06	4.330309e-01
9.930511096187326e-06	4.330309e-01
9.997048330764771e-06	4.330309e-01
1.006899602273834e-05	4.330309e-01
1.016665227273833e-05	4.330309e-01
1.026430852273833e-05	4.330309e-01
1.036196477273833e-05	4.330309e-01
1.045962102273833e-05	4.330309e-01
1.065493352273834e-05	4.330309e-01
1.085024602273834e-05	4.330309e-01
1.094790227273834e-05	4.330309e-01
1.104555852273835e-05	4.330309e-01
1.114321477273835e-05	4.330309e-01
1.124087102273835e-05	4.330309e-01
1.133852727273836e-05	4.330309e-01
1.143618352273836e-05	4.330208e-01
1.148758489830874e-05	4.336100e-01
1.149658030225258e-05	4.370438e-01
1.150666906366701e-05	4.475104e-01
1.150696559416292e-05	4.483084e-01
1.150755865515473e-05	4.511831e-01
1.150846838386810e-05	5.139680e-01
1.150889491668980e-05	6.842665e-01
1.150937673915487e-05	1.060182e+00
1.150978063435700e-05	1.412516e+00
1.151022226495370e-05	1.780995e+00
1.151110552614709e-05	2.489680e+00
1.151230770682978e-05	3.384069e+00
1.151471206819515e-05	4.932991e+00
1.151657412861467e-05	5.846035e+00
1.151720852298818e-05	5.986978e+00
1.151795808681948e-05	6.001111e+00
1.151848066299100e-05	5.998952e+00
1.151906045937977e-05	6.000176e+00
1.152022005215732e-05	5.999991e+00
1.152140468971085e-05	6.000008e+00
1.152344799731041e-05	5.999998e+00
1.152611375619623e-05	6.000001e+00
1.152997748782528e-05	6.000000e+00
1.153576980560270e-05	6.000000e+00
1.154592319921466e-05	6.000000e+00
1.156457837496403e-05	6.000000e+00
1.160188872646278e-05	6.000000e+00
1.164819656937781e-05	6.000000e+00
1.174081225520788e-05	6.000000e+00
1.183846850520788e-05	6.000000e+00
1.193612475520788e-05	6.000000e+00
1.203378100520789e-05	6.000000e+00
1.213143725520789e-05	6.000000e+00
1.218457548287976e-05	6.000000e+00
1.221739328751740e-05	6.000000e+00
1.225362580941979e-05	6.000000e+00
1.227391495159940e-05	6.000000e+00
1.229681485386414e-05	6.000000e+00
1.232162738829319e-05	6.000005e+00
1.232338897108300e-05	6.000000e+00
1.232573774813610e-05	6.000000e+00
1.232914007289639e-05	6.000000e+00
1.233180806979298e-05	5.986085e+00
1.233456532195380e-05	5.621427e+00
1.233581549822340e-05	4.961077e+00
1.233695368558195e-05	4.047214e+00
1.233791135769177e-05	3.297700e+00
1.233895184355394e-05	2.532588e+00
1.234103281527829e-05	1.200310e+00
1.234254385391295e-05	5.567938e-01
1.234327746907922e-05	4.528129e-01
1.234374450436414e-05	4.512756e-01
1.234429694854227e-05	4.498228e-01
1.234509048007426e-05	4.482034e-01
1.234704074355833e-05	4.450063e-01
1.235008476778382e-05	4.416229e-01
1.235225964872864e-05	4.398383e-01
1.235514199781510e-05	4.380296e-01
1.235935283419559e-05	4.360822e-01
1.236597401207288e-05	4.343161e-01
1.237739269280227e-05	4.332937e-01
1.240022688198923e-05	4.331037e-01
1.243907979090661e-05	4.331339e-01
1.251678560874138e-05	4.331257e-01
1.261444185874138e-05	4.331030e-01
1.271209810874138e-05	4.330837e-01
1.280975435874139e-05	4.330804e-01
1.290741060874139e-05	4.330805e-01
1.300506685874139e-05	4.330804e-01
1.310272310874139e-05	4.330804e-01
1.320037935874140e-05	4.330803e-01
1.329803560874140e-05	4.330803e-01
1.339569185874140e-05	4.330802e-01
1.349334810874141e-05	4.330802e-01
1.359100435874141e-05	4.330801e-01
1.368866060874141e-05	4.330801e-01
1.378631685874141e-05	4.330800e-01
1.388397310874142e-05	4.330670e-01
1.398162935874142e-05	4.330536e-01
1.407928560874142e-05	4.330662e-01
1.417694185874142e-05	4.330793e-01
1.427459810874143e-05	4.330667e-01
1.437225435874143e-05	4.330535e-01
1.446991060874143e-05	4.330660e-01
1.456756685874144e-05	4.330770e-01
1.464841985408431e-05	4.330584e-01
1.469378777482460e-05	4.330389e-01
1.474105794064308e-05	4.330355e-01
1.476042421727696e-05	4.330581e-01
1.479692498814487e-05	4.331016e-01
1.483810413414825e-05	4.331020e-01
1.489545441936187e-05	4.330989e-01
1.499089971347921e-05	4.331045e-01
1.508828468615476e-05	4.330899e-01
1.518594093615476e-05	4.330796e-01
1.528359718615476e-05	4.330790e-01
1.538125343615477e-05	4.330788e-01
1.557656593615477e-05	4.330787e-01
1.577187843615478e-05	4.330786e-01
1.586953468615478e-05	4.330786e-01
1.596719093615478e-05	4.330786e-01
1.606484718615479e-05	4.330785e-01
1.616250343615479e-05	4.330785e-01
1.626015968615479e-05	4.330785e-01
1.635781593615479e-05	4.330657e-01
1.645547218615480e-05	4.330404e-01
1.655312843615480e-05	4.330403e-01
1.665078468615480e-05	4.330653e-01
1.674844093615481e-05	4.340934e-01
1.675499234940316e-05	4.337876e-01
1.676809517589988e-05	4.330388e-01
1.679430082889331e-05	4.343523e-01
1.682657595710582e-05	5.069612e-01
1.684148316632987e-05	6.715806e-01
1.684161565427575e-05	7.061846e-01
1.684188063016749e-05	8.414806e-01
1.684241058195096e-05	1.114640e+00
1.684323966496091e-05	1.540158e+00
1.684489783098080e-05	2.392730e+00
1.684821416302057e-05	4.098224e+00
1.685055901443410e-05	5.281730e+00
1.685114522728749e-05	5.561025e+00
1.685168581247568e-05	5.793393e+00
1.685206668140000e-05	5.921937e+00
1.685237976544155e-05	5.979270e+00
1.685330239188953e-05	5.999873e+00
1.685593123890257e-05	6.000001e+00
1.685964024875760e-05	6.000000e+00
1.686653768624668e-05	6.000000e+00
1.687290623372288e-05	6.000000e+00
1.688405176890747e-05	6.000000e+00
1.690539504409686e-05	6.000000e+00
1.694808159447565e-05	6.000000e+00
1.695088721014917e-05	6.000000e+00
1.695649844149621e-05	6.000000e+00
1.696772090419030e-05	6.000000e+00
1.698501081449972e-05	6.000000e+00
1.698528872583126e-05	6.000000e+00
1.698584454849434e-05	6.000000e+00
1.698695619382050e-05	6.000000e+00
1.698917948447281e-05	6.000000e+00
1.699076458865066e-05	6.000000e+00
1.699203047680491e-05	6.000000e+00
1.699272152146648e-05	5.919858e+00
1.699352217403907e-05	5.611656e+00
1.699417004213719e-05	5.221286e+00
1.699484212206535e-05	4.763769e+00
1.699618628192168e-05	3.822000e+00
1.699887460163432e-05	1.954118e+00
1.700102168959838e-05	6.577795e-01
1.700167496457366e-05	4.701791e-01
1.700232569116448e-05	4.529619e-01
1.700290894644879e-05	4.510791e-01
1.700352425952487e-05	4.495162e-01
1.700465480668550e-05	4.473032e-01
1.700718766303186e-05	4.441213e-01
1.700972051937822e-05	4.414129e-01
1.701225337572459e-05	4.391779e-01
1.701478623207095e-05	4.374164e-01
1.701731908841731e-05	4.361284e-01
1.701985194476368e-05	4.353139e-01
1.702238480111004e-05	4.349729e-01
1.703281292143090e-05	4.335265e-01
1.705344871823026e-05	4.330778e-01
1.708304916936910e-05	4.330816e-01
1.710838886060956e-05	4.330569e-01
1.713694426911270e-05	4.330352e-01
1.715311107084121e-05	4.330297e-01
1.718069333742771e-05	4.330290e-01
1.720400837531533e-05	4.330289e-01
1.722927737303998e-05	4.330285e-01
1.726022326811305e-05	4.330291e-01
1.730118173221763e-05	4.330386e-01
1.735819950710462e-05	4.330622e-01
1.742814509715220e-05	4.330733e-01
1.752580134715220e-05	4.330716e-01
1.762345759715220e-05	4.330660e-01
1.772111384715221e-05	4.330624e-01
1.781877009715221e-05	4.330624e-01
1.791642634715221e-05	4.330625e-01
1.801408259715222e-05	4.330624e-01
1.811173884715222e-05	4.330624e-01
1.820939509715222e-05	4.330624e-01
1.830705134715222e-05	4.330623e-01
1.840470759715223e-05	4.330623e-01
1.850236384715223e-05	4.330623e-01
1.860002009715223e-05	4.330623e-01
1.869767634715224e-05	4.330623e-01
1.879533259715224e-05	4.330539e-01
1.889298884715224e-05	4.330456e-01
1.899064509715224e-05	4.330542e-01
1.908830134715225e-05	4.330624e-01
1.918595759715225e-05	4.330539e-01
1.928361384715225e-05	4.330456e-01
1.938127009715225e-05	4.330541e-01
1.947892634715226e-05	4.330614e-01
1.956606145546732e-05	4.330499e-01
1.961264076829305e-05	4.330364e-01
1.966116188834306e-05	4.330357e-01
1.968114538440149e-05	4.330495e-01
1.971755056425509e-05	4.330750e-01
1.975976892979319e-05	4.330777e-01
1.981863944138053e-05	4.330754e-01
1.991629569138053e-05	4.330778e-01
2.001395194138053e-05	4.330676e-01
2.011160819138054e-05	4.330613e-01
2.020926444138054e-05	4.330614e-01
2.030692069138054e-05	4.330615e-01
2.050223319138055e-05	4.330614e-01
2.069754569138055e-05	4.330614e-01
2.079520194138056e-05	4.330613e-01
2.089285819138056e-05	4.330613e-01
2.099051444138056e-05	4.330613e-01
2.108817069138056e-05	4.330612e-01
2.118582694138057e-05	4.330612e-01
2.128348319138057e-05	4.330531e-01
2.138113944138057e-05	4.330370e-01
2.147879569138058e-05	4.321876e-01
2.149295843399888e-05	4.330349e-01
2.151218556216492e-05	4.330296e-01
2.151768110363104e-05	4.330918e-01
2.151905498899757e-05	4.335129e-01
2.152180275973062e-05	4.356332e-01
2.152531993386590e-05	4.415160e-01
2.152955619542909e-05	7.708703e-01
2.153133591493815e-05	1.493573e+00
2.153299866060901e-05	2.695391e+00
2.153422591310513e-05	3.615205e+00
2.153565503216697e-05	4.514740e+00
2.153838797301949e-05	5.905930e+00
2.153844882890135e-05	5.929168e+00
2.153857054066508e-05	5.958354e+00
2.153873661762610e-05	5.981189e+00
2.153893238949082e-05	5.993320e+00
2.153909551412852e-05	5.997269e+00
2.154012831087784e-05	5.998784e+00
2.154116110762715e-05	5.999923e+00
2.154219390437647e-05	6.000688e+00
2.154322670112579e-05	6.001079e+00
2.154425949787511e-05	6.001094e+00
2.154529229462443e-05	6.000734e+00
2.154632509137374e-05	6.000000e+00
2.155218768926546e-05	6.000000e+00
2.156045700018596e-05	6.000000e+00
2.157699562202697e-05	6.000000e+00
2.160712343667721e-05	6.000000e+00
2.164840393349610e-05	6.000000e+00
2.173096492713389e-05	6.000000e+00
2.182862117713389e-05	6.000000e+00
2.192627742713389e-05	6.000000e+00
2.200880918680704e-05	6.000000e+00
2.205200261142228e-05	6.000000e+00
2.209383740667317e-05	6.000000e+00
