time	V(Vreg,N001)*(-Ic(Q7))	V(vo)
0.000000000000000e+00	4.198448e-01	4.956841e+00
7.314285507423590e-08	4.198449e-01	4.956841e+00
1.462857101484718e-07	4.198449e-01	4.956841e+00
2.194285652227077e-07	4.198449e-01	4.956841e+00
2.925714202969436e-07	4.198450e-01	4.956841e+00
3.657142753711795e-07	4.198450e-01	4.956841e+00
4.388571304454154e-07	4.198450e-01	4.956841e+00
5.119999855196511e-07	4.198450e-01	4.956841e+00
1.023999971039302e-06	4.198452e-01	4.956841e+00
2.047999942078604e-06	4.198457e-01	4.956841e+00
4.095999884157209e-06	4.198466e-01	4.956841e+00
8.191999768314417e-06	4.198483e-01	4.956841e+00
1.638399953662883e-05	4.198515e-01	4.956841e+00
3.276799907325767e-05	4.198584e-01	4.956841e+00
6.553599814651534e-05	4.198717e-01	4.956841e+00
9.023535156250000e-03	4.235702e-01	4.956777e+00
9.350016028061505e-03	4.237064e-01	4.956774e+00
9.351016028061505e-03	4.237066e-01	4.956774e+00
9.353016028061505e-03	4.237075e-01	4.956774e+00
9.357016028061505e-03	4.237092e-01	4.956774e+00
9.365016028061505e-03	4.237126e-01	4.956774e+00
9.381016028061505e-03	4.237192e-01	4.956774e+00
9.605016028061505e-03	4.238127e-01	4.956772e+00
9.744000000000001e-03	4.238705e-01	4.956771e+00
9.745000000000000e-03	4.238709e-01	4.956771e+00
9.747000000000000e-03	4.238717e-01	4.956771e+00
9.751000000000001e-03	4.238734e-01	4.956771e+00
9.759000000000000e-03	4.238768e-01	4.956771e+00
9.807000000000001e-03	4.238968e-01	4.956771e+00
9.871000000000001e-03	4.239235e-01	4.956770e+00
9.872000000000001e-03	4.239239e-01	4.956770e+00
9.873999999999999e-03	4.239248e-01	4.956770e+00
9.877999999999996e-03	4.239265e-01	4.956770e+00
9.885999999999990e-03	4.239297e-01	4.956770e+00
9.936000000000047e-03	4.239507e-01	4.956770e+00
9.940000000000232e-03	4.239524e-01	4.956770e+00
9.967999999998525e-03	4.239640e-01	4.956769e+00
9.985000000011252e-03	4.239711e-01	4.956769e+00
9.992000000000001e-03	4.239741e-01	4.956769e+00
9.993999999977497e-03	4.239749e-01	4.956769e+00
9.997000000045008e-03	4.239762e-01	4.956769e+00
9.999999999909984e-03	4.239773e-01	4.956769e+00
1.000000000000000e-02	4.239773e-01	4.956769e+00
1.000000000018003e-02	4.239773e-01	4.956769e+00
1.000000000054010e-02	4.239773e-01	4.956769e+00
1.000000000126023e-02	4.239773e-01	4.956769e+00
1.000000001422261e-02	4.239773e-01	4.956769e+00
1.000000002718499e-02	4.239773e-01	4.956769e+00
1.000000004014738e-02	4.239773e-01	4.956769e+00
1.000000005310976e-02	4.239773e-01	4.956769e+00
