time	V(vo)
0.000000000000000e+00	6.059476e-05
1.999999992008394e-11	6.059476e-05
3.828571413273213e-10	6.059476e-05
7.457142827345587e-10	6.059476e-05
1.108571424141796e-09	6.059476e-05
1.471428565549034e-09	6.059476e-05
1.834285706956271e-09	6.059476e-05
2.197142848363508e-09	6.059476e-05
2.559999989770745e-09	6.059476e-05
1.000000000000000e-03	6.059489e-05
1.000003159324146e-03	6.059546e-05
1.000009477972437e-03	6.059666e-05
1.000022115269019e-03	6.059920e-05
1.000034189531914e-03	6.060173e-05
1.000047444282198e-03	6.060455e-05
1.000067896190310e-03	6.060897e-05
1.000103978567341e-03	6.061686e-05
1.000174686088051e-03	6.063270e-05
1.000316101129471e-03	6.066551e-05
1.000511404400788e-03	6.071279e-05
1.000734504967331e-03	6.076932e-05
1.000997450093530e-03	6.083889e-05
1.001352006756195e-03	6.093640e-05
1.001807259203754e-03	6.106548e-05
1.002308721455647e-03	6.121055e-05
1.002792280119082e-03	6.135124e-05
1.003281398605736e-03	6.149168e-05
1.003553013744310e-03	6.156539e-05
1.003787875443520e-03	6.162035e-05
1.003974015614168e-03	6.164974e-05
1.004140429654732e-03	6.165239e-05
1.004300512421575e-03	6.161421e-05
1.004480529824640e-03	6.150243e-05
1.004656785459281e-03	6.132555e-05
1.004782255628851e-03	6.117087e-05
1.004894650719823e-03	6.101893e-05
1.005008070306871e-03	6.085001e-05
1.005127007203725e-03	6.066373e-05
1.005220169136085e-03	6.076321e-05
1.005331644603657e-03	6.209891e-05
1.005432182897171e-03	6.615377e-05
1.005530751184985e-03	8.128636e-05
1.005585601999772e-03	1.169752e-04
1.005623711759508e-03	1.921100e-04
1.005651207617866e-03	3.287152e-04
1.005675022771628e-03	5.904626e-04
1.005700804991758e-03	1.130797e-03
1.005732213921745e-03	2.301303e-03
1.005780472969777e-03	5.357008e-03
1.005844349882898e-03	1.214714e-02
1.005939090250058e-03	2.800721e-02
1.006036891523721e-03	5.280926e-02
1.006169994658270e-03	1.017097e-01
1.006324274372787e-03	1.812471e-01
1.006539538104236e-03	3.294535e-01
1.006728928934820e-03	4.955772e-01
1.006921874566421e-03	7.011867e-01
1.007083132201231e-03	8.986742e-01
1.007197096263118e-03	1.051197e+00
1.007210990550265e-03	1.070807e+00
1.007238779124558e-03	1.111313e+00
1.007294356273146e-03	1.193535e+00
1.007302027281453e-03	1.205062e+00
1.007317369298066e-03	1.228467e+00
1.007348053331293e-03	1.275656e+00
1.007355251842423e-03	1.286831e+00
1.007369648864683e-03	1.309415e+00
1.007398442909204e-03	1.355063e+00
1.007432870533468e-03	1.410442e+00
1.007471631079905e-03	1.473758e+00
1.007496477015120e-03	1.514917e+00
1.007517060216041e-03	1.549425e+00
1.007537067439405e-03	1.583363e+00
1.007577081886134e-03	1.652234e+00
1.007631407686710e-03	1.747425e+00
1.007698504783704e-03	1.867142e+00
1.007751137415127e-03	1.963980e+00
1.007761882265012e-03	1.983806e+00
1.007772627114898e-03	2.003717e+00
1.007783371964784e-03	2.023713e+00
1.007794116814670e-03	2.043794e+00
1.007804861664555e-03	2.063960e+00
1.007815606514441e-03	2.084210e+00
1.007826351364327e-03	2.104545e+00
1.007846088601110e-03	2.142177e+00
1.007865825837893e-03	2.180091e+00
1.007885563074677e-03	2.218288e+00
1.007905300311460e-03	2.256768e+00
1.007925037548243e-03	2.295531e+00
1.007944774785027e-03	2.334577e+00
1.007964512021810e-03	2.373906e+00
1.008104865705602e-03	2.658803e+00
1.008284562106434e-03	3.033043e+00
1.008329486206641e-03	3.128265e+00
1.008419334407057e-03	3.318280e+00
1.008507278914444e-03	3.499009e+00
1.008563315172010e-03	3.609224e+00
1.008602981148508e-03	3.683877e+00
1.008640481017947e-03	3.752382e+00
1.008649855985307e-03	3.769136e+00
1.008668605920027e-03	3.801972e+00
1.008706105789466e-03	3.866622e+00
1.008722850785640e-03	3.894976e+00
1.008741123446611e-03	3.925393e+00
1.008755105044107e-03	3.948381e+00
1.008769379649602e-03	3.971552e+00
1.008789299507414e-03	4.003381e+00
1.008823269975613e-03	4.056718e+00
1.008847029583850e-03	4.093367e+00
1.008862757508064e-03	4.117218e+00
1.008879080561484e-03	4.141643e+00
1.008894469580538e-03	4.164394e+00
1.008911741294738e-03	4.189636e+00
1.008924826704412e-03	4.208550e+00
1.008938711344284e-03	4.228411e+00
1.008951217614645e-03	4.246122e+00
1.008965958854697e-03	4.266733e+00
1.008995441334803e-03	4.307119e+00
1.009052740664847e-03	4.383241e+00
1.009124258348237e-03	4.473537e+00
1.009261385875433e-03	4.635559e+00
1.009384441188221e-03	4.770368e+00
1.009505289374083e-03	4.893169e+00
1.009575387408687e-03	4.960187e+00
1.009636358045698e-03	5.015803e+00
1.009677534105803e-03	5.052183e+00
1.009708839203801e-03	5.079136e+00
1.009741710090381e-03	5.106713e+00
1.009806582514697e-03	5.159482e+00
1.009882765733106e-03	5.219183e+00
1.009958084623054e-03	5.275968e+00
1.010000000000000e-03	5.306665e+00
1.010009323385329e-03	5.313285e+00
1.010027970155987e-03	5.326418e+00
1.010065263697303e-03	5.352249e+00
1.010118415907370e-03	5.388159e+00
1.010181675595277e-03	5.429605e+00
