time	V(n002)
0.000000000000000e+00	5.003394e+00
4.311850359844214e-02	5.003387e+00
8.623700719688428e-02	5.003379e+00
1.293555107953264e-01	5.003371e+00
1.724740143937686e-01	5.003361e+00
2.155925179922107e-01	5.003351e+00
2.587110215906528e-01	5.003339e+00
3.018295251890949e-01	5.003327e+00
3.304288269469075e-01	5.003318e+00
3.590281287047201e-01	5.003308e+00
3.876274304625326e-01	5.003297e+00
4.162267322203452e-01	5.003284e+00
4.448260339781578e-01	5.003271e+00
4.734253357359703e-01	5.003256e+00
5.020246374937829e-01	5.003240e+00
5.212768503844080e-01	5.003228e+00
5.405290632750330e-01	5.003214e+00
5.597812761656581e-01	5.003199e+00
5.790334890562832e-01	5.003182e+00
5.982857019469081e-01	5.003163e+00
6.175379148375333e-01	5.003143e+00
6.367901277281582e-01	5.003122e+00
6.501829714781583e-01	5.003106e+00
6.635758152281583e-01	5.003087e+00
6.769686589781584e-01	5.003066e+00
6.903615027281584e-01	5.003043e+00
7.037543464781584e-01	5.003017e+00
7.171471902281584e-01	5.002989e+00
7.305400339781585e-01	5.002959e+00
7.400266316344085e-01	5.002936e+00
7.495132292906586e-01	5.002909e+00
7.589998269469086e-01	5.002880e+00
7.684864246031586e-01	5.002846e+00
7.779730222594086e-01	5.002810e+00
7.874596199156586e-01	5.002770e+00
7.969462175719086e-01	5.002728e+00
8.037821482359712e-01	5.002694e+00
8.106180789000337e-01	5.002655e+00
8.174540095640962e-01	5.002612e+00
8.242899402281587e-01	5.002565e+00
8.311258708922212e-01	5.002512e+00
8.379618015562837e-01	5.002455e+00
8.447977322203463e-01	5.002394e+00
8.498200486265963e-01	5.002344e+00
8.548423650328463e-01	5.002288e+00
8.598646814390963e-01	5.002224e+00
8.648869978453463e-01	5.002154e+00
8.699093142515963e-01	5.002077e+00
8.749316306578463e-01	5.001993e+00
8.799539470640964e-01	5.001902e+00
8.837206843687838e-01	5.001827e+00
8.874874216734714e-01	5.001742e+00
8.912541589781589e-01	5.001646e+00
8.950208962828464e-01	5.001540e+00
8.987876335875339e-01	5.001423e+00
9.025543708922215e-01	5.001296e+00
9.063211081969089e-01	5.001158e+00
9.091112839781589e-01	5.001046e+00
9.119014597594089e-01	5.000919e+00
9.146916355406589e-01	5.000777e+00
9.174818113219090e-01	5.000619e+00
9.202719871031589e-01	5.000445e+00
9.230621628844090e-01	5.000256e+00
9.258523386656590e-01	5.000051e+00
9.279449705015965e-01	4.999884e+00
9.300376023375340e-01	4.999694e+00
9.321302341734715e-01	4.999481e+00
9.342228660094090e-01	4.999245e+00
9.363154978453465e-01	4.998987e+00
9.384081296812840e-01	4.998706e+00
9.405007615172215e-01	4.998402e+00
9.434304460875340e-01	4.997902e+00
9.463601306578465e-01	4.997312e+00
9.473366921812840e-01	4.997091e+00
9.483132537047215e-01	4.996857e+00
9.492898152281590e-01	4.996607e+00
9.502663767515965e-01	4.996341e+00
9.512429382750340e-01	4.996056e+00
9.522194997984715e-01	4.995749e+00
9.531960613219090e-01	4.995416e+00
9.541726228453465e-01	4.995047e+00
9.551491843687840e-01	4.994617e+00
9.561257458922215e-01	4.994067e+00
9.571023074156590e-01	4.993237e+00
9.580788689390966e-01	4.991782e+00
9.589059922068752e-01	4.989677e+00
9.593412954939294e-01	4.987973e+00
9.596070609057370e-01	4.986542e+00
9.598721549752215e-01	4.983813e+00
9.600262469862547e-01	4.977245e+00
9.601275141436930e-01	4.965832e+00
9.601820081944915e-01	4.955650e+00
9.602523721292577e-01	4.939189e+00
9.603516025714782e-01	4.913521e+00
9.604205661347244e-01	4.894365e+00
9.604863141771675e-01	4.874846e+00
9.606045439249126e-01	4.837398e+00
9.607201592892431e-01	4.797534e+00
9.608896587299697e-01	4.732580e+00
9.610947227922068e-01	4.645833e+00
9.612648682200748e-01	4.568419e+00
9.614289894955668e-01	4.491178e+00
9.617572320465506e-01	4.338104e+00
9.622557574212547e-01	4.118097e+00
9.630716217577218e-01	3.790149e+00
9.640481832811593e-01	3.441065e+00
9.650247448045968e-01	3.134331e+00
9.660013063280343e-01	2.864330e+00
9.669778678514718e-01	2.624856e+00
9.679544293749093e-01	2.411011e+00
9.689309908983468e-01	2.218902e+00
9.699075524217843e-01	2.045386e+00
9.708841139452218e-01	1.887912e+00
9.718606754686593e-01	1.744376e+00
9.728372369920968e-01	1.613049e+00
9.738137985155343e-01	1.492478e+00
9.747903600389718e-01	1.381452e+00
9.757669215624093e-01	1.278942e+00
9.767434830858468e-01	1.184073e+00
9.777200446092843e-01	1.096085e+00
9.786966061327218e-01	1.014316e+00
9.796731676561593e-01	9.381747e-01
9.806497291795968e-01	8.671311e-01
9.816262907030343e-01	8.006968e-01
9.826028522264718e-01	7.384247e-01
9.835794137499093e-01	6.798967e-01
9.845559752733468e-01	6.247296e-01
9.855325367967843e-01	5.725675e-01
9.865090983202218e-01	5.230877e-01
9.874856598436593e-01	4.759958e-01
9.884622213670968e-01	4.310297e-01
9.894387828905343e-01	3.879543e-01
9.904153444139718e-01	3.465631e-01
9.913919059374093e-01	3.066729e-01
9.923684674608468e-01	2.681242e-01
9.933450289842843e-01	2.307762e-01
9.943215905077218e-01	1.945064e-01
9.952981520311593e-01	1.592066e-01
9.962747135545968e-01	1.247826e-01
9.972512750780343e-01	9.115070e-02
9.982278366014719e-01	5.823748e-02
9.992043981249094e-01	2.595048e-02
9.999990000000000e-01	3.222401e-05
