Freq.	V(n013)
1.00000000000000e+00	7.04319281191280e+01	1.76883022398095e+02
1.04712854805090e+00	7.04308081424439e+01	1.76736387341403e+02
1.09647819614319e+00	7.04295804384221e+01	1.76582880540007e+02
1.14815362149688e+00	7.04282346794391e+01	1.76422183884412e+02
1.20226443461741e+00	7.04267595546985e+01	1.76253965117891e+02
1.25892541179417e+00	7.04251426780460e+01	1.76077877293236e+02
1.31825673855641e+00	7.04233704873774e+01	1.75893558221789e+02
1.38038426460289e+00	7.04214281350206e+01	1.75700629916909e+02
1.44543977074593e+00	7.04192993682746e+01	1.75498698034499e+02
1.51356124843621e+00	7.04169663993357e+01	1.75287351313756e+02
1.58489319246111e+00	7.04144097637814e+01	1.75066161021846e+02
1.65958690743756e+00	7.04116081666738e+01	1.74834680406932e+02
1.73780082874938e+00	7.04085383154031e+01	1.74592444164723e+02
1.81970085860998e+00	7.04051747382431e+01	1.74338967924572e+02
1.90546071796325e+00	7.04014895876285e+01	1.74073747762148e+02
1.99526231496888e+00	7.03974524271188e+01	1.73796259746809e+02
2.08929613085404e+00	7.03930300009502e+01	1.73505959533019e+02
2.18776162394955e+00	7.03881859851464e+01	1.73202282006569e+02
2.29086765276778e+00	7.03828807190939e+01	1.72884640997869e+02
2.39883291901949e+00	7.03770709165750e+01	1.72552429076300e+02
2.51188643150958e+00	7.03707093552523e+01	1.72205017441489e+02
2.63026799189538e+00	7.03637445437504e+01	1.71841755929430e+02
2.75422870333817e+00	7.03561203655511e+01	1.71461973153593e+02
2.88403150312661e+00	7.03477756991101e+01	1.71064976803594e+02
3.01995172040202e+00	7.03386440138301e+01	1.70650054126572e+02
3.16227766016838e+00	7.03286529418509e+01	1.70216472619125e+02
3.31131121482592e+00	7.03177238258751e+01	1.69763480960530e+02
3.46736850452532e+00	7.03057712438894e+01	1.69290310220847e+02
3.63078054770102e+00	7.02927025119933e+01	1.68796175380461e+02
3.80189396320562e+00	7.02784171673956e+01	1.68280277200440e+02
3.98107170553498e+00	7.02628064343192e+01	1.67741804485766e+02
4.16869383470336e+00	7.02457526765746e+01	1.67179936785850e+02
4.36515832240167e+00	7.02271288416367e+01	1.66593847578598e+02
4.57088189614876e+00	7.02067979022798e+01	1.65982707985447e+02
4.78630092322639e+00	7.01846123033765e+01	1.65345691065056e+02
5.01187233627273e+00	7.01604134229216e+01	1.64681976732253e+02
5.24807460249774e+00	7.01340310582276e+01	1.63990757346318e+02
5.49540873857626e+00	7.01052829501237e+01	1.63271244008104e+02
5.75439937337158e+00	7.00739743599966e+01	1.62522673598608e+02
6.02559586074359e+00	7.00398977166035e+01	1.61744316581961e+02
6.30957344480195e+00	7.00028323522079e+01	1.60935485582745e+02
6.60693448007598e+00	6.99625443480430e+01	1.60095544731373e+02
6.91830970918938e+00	6.99187865136877e+01	1.59223919750124e+02
7.24435960074992e+00	6.98712985237446e+01	1.58320108728215e+02
7.58577575029186e+00	6.98198072379650e+01	1.57383693504801e+02
7.94328234724284e+00	6.97640272307578e+01	1.56414351545541e+02
8.31763771102674e+00	6.97036615557262e+01	1.55411868161185e+02
8.70963589956084e+00	6.96384027692141e+01	1.54376148876418e+02
9.12010839355913e+00	6.95679342341184e+01	1.53307231715128e+02
9.54992586021439e+00	6.94919317208339e+01	1.52205299126051e+02
1.00000000000000e+01	6.94100653162388e+01	1.51070689232443e+02
1.04712854805090e+01	6.93220016439790e+01	1.49903906053800e+02
1.09647819614319e+01	6.92274063898270e+01	1.48705628319560e+02
1.14815362149689e+01	6.91259471154501e+01	1.47476716477383e+02
1.20226443461742e+01	6.90172963300584e+01	1.46218217496265e+02
1.25892541179417e+01	6.89011347789461e+01	1.44931367078015e+02
1.31825673855641e+01	6.87771548918001e+01	1.43617588925891e+02
1.38038426460289e+01	6.86450643221931e+01	1.42278490774268e+02
1.44543977074593e+01	6.85045894981256e+01	1.40915856960596e+02
1.51356124843621e+01	6.83554790922594e+01	1.39531637419799e+02
1.58489319246112e+01	6.81975073169529e+01	1.38127933095550e+02
1.65958690743757e+01	6.80304769438792e+01	1.36706977892805e+02
