v1	-100*((V(vo)*I(RL))/(V(Vreg)*I(V1)))
1.000000000000000e+00	1.844790e+01
1.100000000000000e+00	3.202835e+01
1.200000000000000e+00	3.797281e+01
1.300000000000000e+00	4.207633e+01
1.400000000000000e+00	4.564981e+01
1.500000000000000e+00	4.878091e+01
1.600000000000001e+00	5.154147e+01
1.700000000000001e+00	5.399256e+01
1.800000000000001e+00	5.618212e+01
1.900000000000001e+00	5.814899e+01
2.000000000000001e+00	5.992482e+01
2.100000000000001e+00	6.153554e+01
2.200000000000001e+00	6.300264e+01
2.300000000000001e+00	6.434402e+01
2.400000000000001e+00	6.557467e+01
2.500000000000001e+00	6.670734e+01
2.600000000000001e+00	6.775285e+01
2.700000000000002e+00	6.872046e+01
2.800000000000002e+00	6.961817e+01
2.900000000000002e+00	7.045290e+01
3.000000000000002e+00	7.123068e+01
3.100000000000002e+00	7.195680e+01
3.200000000000002e+00	7.263587e+01
3.300000000000002e+00	7.327201e+01
3.400000000000002e+00	7.386885e+01
3.500000000000002e+00	7.442964e+01
3.600000000000002e+00	7.495729e+01
3.700000000000002e+00	7.545440e+01
3.800000000000002e+00	7.592333e+01
3.900000000000003e+00	7.636621e+01
4.000000000000003e+00	7.678503e+01
4.100000000000002e+00	7.718153e+01
4.200000000000002e+00	7.755736e+01
4.300000000000002e+00	7.791403e+01
4.400000000000001e+00	7.825294e+01
4.500000000000001e+00	7.857543e+01
4.600000000000001e+00	7.888271e+01
4.700000000000000e+00	7.917598e+01
4.800000000000000e+00	7.945636e+01
4.899999999999999e+00	7.972502e+01
4.999999999999999e+00	7.998307e+01
5.099999999999999e+00	8.023166e+01
5.199999999999998e+00	8.047193e+01
5.299999999999998e+00	8.070487e+01
5.399999999999998e+00	8.093093e+01
5.499999999999997e+00	8.114917e+01
5.599999999999997e+00	8.135526e+01
5.699999999999997e+00	8.153827e+01
5.799999999999996e+00	8.167020e+01
5.899999999999996e+00	8.170450e+01
5.999999999999996e+00	8.146799e+01
6.099999999999995e+00	8.050630e+01
6.199999999999995e+00	7.921910e+01
6.299999999999994e+00	7.795528e+01
6.399999999999994e+00	7.672903e+01
6.499999999999994e+00	7.554074e+01
6.599999999999993e+00	7.438869e+01
6.699999999999993e+00	7.327125e+01
6.799999999999993e+00	7.218684e+01
6.899999999999992e+00	7.113403e+01
6.999999999999992e+00	7.011144e+01
7.099999999999992e+00	6.911776e+01
7.199999999999991e+00	6.815179e+01
7.299999999999991e+00	6.721237e+01
7.399999999999991e+00	6.629841e+01
7.499999999999990e+00	6.540888e+01
7.599999999999990e+00	6.454282e+01
7.699999999999990e+00	6.369932e+01
7.799999999999989e+00	6.287748e+01
7.899999999999989e+00	6.207648e+01
7.999999999999988e+00	6.129555e+01
8.099999999999989e+00	6.053393e+01
8.199999999999989e+00	5.979093e+01
8.299999999999988e+00	5.906584e+01
8.399999999999988e+00	5.835805e+01
8.499999999999988e+00	5.766694e+01
8.599999999999987e+00	5.699192e+01
8.699999999999987e+00	5.633244e+01
8.799999999999986e+00	5.568797e+01
8.899999999999986e+00	5.505800e+01
8.999999999999986e+00	5.444205e+01
9.099999999999985e+00	5.383965e+01
9.199999999999985e+00	5.325037e+01
9.299999999999985e+00	5.267378e+01
9.399999999999984e+00	5.210947e+01
9.499999999999984e+00	5.155706e+01
9.599999999999984e+00	5.101618e+01
9.699999999999983e+00	5.048646e+01
9.799999999999983e+00	4.996758e+01
9.899999999999983e+00	4.945919e+01
1.000000000000000e+01	4.896098e+01
