time	V(vo)
0.000000000000000e+00	5.983006e-05
1.000000000000000e-03	5.983014e-05
1.000100466397166e-03	5.983469e-05
1.000301399191498e-03	5.984310e-05
1.000576830243708e-03	5.985321e-05
1.000870211152857e-03	5.986253e-05
1.001138344711989e-03	5.987004e-05
1.001573502678139e-03	5.988094e-05
1.002289536320157e-03	5.989732e-05
1.002971845759559e-03	5.991153e-05
1.003745120580160e-03	5.992473e-05
1.004208437987170e-03	5.992564e-05
1.004572945232805e-03	5.991121e-05
1.004832050178734e-03	5.988080e-05
1.005070671100903e-03	5.983562e-05
1.005204880590904e-03	5.981052e-05
1.005317155242655e-03	5.979863e-05
1.005427196689583e-03	5.979871e-05
1.005538062949402e-03	5.980668e-05
1.005645978137599e-03	5.981666e-05
1.005761764918262e-03	5.982704e-05
1.005872792975997e-03	5.983647e-05
1.005998682241859e-03	5.984666e-05
1.006123863938005e-03	5.985624e-05
1.006266771025611e-03	5.986651e-05
1.006527806657297e-03	5.988421e-05
1.006823887621141e-03	5.990338e-05
1.007115111544570e-03	5.992170e-05
1.007425959794965e-03	5.994118e-05
1.007921088798687e-03	5.997287e-05
1.008495969425393e-03	6.001139e-05
1.009152963363986e-03	6.005842e-05
1.009794753217104e-03	6.010741e-05
1.010000000000000e-03	6.012386e-05
1.010005718498939e-03	6.012396e-05
1.010017155496817e-03	6.012414e-05
1.010040029492574e-03	6.012446e-05
1.010085777484087e-03	6.012522e-05
1.010153194340942e-03	6.012652e-05
1.010218525166538e-03	6.012800e-05
1.010301340286463e-03	6.013018e-05
1.010399110861815e-03	6.013313e-05
1.010541655309890e-03	6.013801e-05
1.010687771874613e-03	6.014359e-05
1.010844240873413e-03	6.015016e-05
1.011014385947328e-03	6.015793e-05
1.011269789965416e-03	6.017054e-05
1.011535140312972e-03	6.018468e-05
1.011858553241493e-03	6.020352e-05
1.012302678284858e-03	6.023244e-05
1.012873177872957e-03	6.027594e-05
1.013508447602813e-03	6.033703e-05
1.014199760822498e-03	6.043059e-05
1.014978411865091e-03	6.060482e-05
1.015914884766501e-03	6.105111e-05
1.017124713805633e-03	6.256556e-05
1.018360690282028e-03	6.703245e-05
1.019054359198941e-03	8.154327e-05
1.019586701878485e-03	1.269937e-04
1.019962395318147e-03	2.104643e-04
1.020239895887405e-03	3.281406e-04
1.020507199657421e-03	5.122960e-04
1.020851634539353e-03	8.767656e-04
1.021272862545065e-03	1.575982e-03
1.021830679404959e-03	3.061049e-03
1.022484482891653e-03	5.895371e-03
1.023307782792660e-03	1.162324e-02
1.024325258409641e-03	2.229588e-02
1.025476348538230e-03	3.845250e-02
1.026141626244566e-03	4.967928e-02
1.026539704204132e-03	5.708632e-02
1.026590940537957e-03	5.807838e-02
1.026693413205605e-03	6.010269e-02
1.026898358540901e-03	6.419942e-02
1.027073306968606e-03	6.773483e-02
1.027090992466113e-03	6.809544e-02
1.027126363461126e-03	6.882077e-02
1.027197105451151e-03	7.027472e-02
1.027203281031371e-03	7.040193e-02
1.027240334512693e-03	7.116714e-02
1.027245925797753e-03	7.128277e-02
1.027251517082814e-03	7.139843e-02
1.027257108367874e-03	7.151415e-02
1.027262699652935e-03	7.162990e-02
1.027268290937995e-03	7.174571e-02
1.027273882223056e-03	7.186155e-02
1.027279473508116e-03	7.197744e-02
1.027284692040839e-03	7.208565e-02
1.027290656078237e-03	7.220937e-02
1.027302584153033e-03	7.245701e-02
1.027326440302624e-03	7.295298e-02
1.027374152601807e-03	7.394738e-02
1.027448620937449e-03	7.550528e-02
1.027552554842010e-03	7.769132e-02
1.027702079109352e-03	8.085647e-02
1.027854645508892e-03	8.410915e-02
1.028035293535430e-03	8.798953e-02
1.028239731171304e-03	9.241202e-02
1.028435009556869e-03	9.666483e-02
1.028656793130540e-03	1.015231e-01
1.028833294497536e-03	1.054067e-01
1.028937850539323e-03	1.077147e-01
1.028995937562651e-03	1.089996e-01
1.029060111248313e-03	1.104210e-01
1.029107138708862e-03	1.114635e-01
1.029141965856111e-03	1.122362e-01
1.029185764054989e-03	1.132086e-01
1.029225765570951e-03	1.140972e-01
1.029272235335263e-03	1.151302e-01
1.029319876193695e-03	1.161900e-01
1.029374926070172e-03	1.174155e-01
1.029438975793665e-03	1.188424e-01
1.029519888153422e-03	1.206467e-01
1.029637773454675e-03	1.232780e-01
1.029737743787324e-03	1.255117e-01
1.029857557249604e-03	1.281914e-01
1.029968962141558e-03	1.306854e-01
1.030138525582887e-03	1.344850e-01
1.030376345933526e-03	1.398192e-01
1.030659017160941e-03	1.461647e-01
1.030973252142374e-03	1.532228e-01
1.031601722105241e-03	1.673386e-01
1.032560615866258e-03	1.888561e-01
1.033641554779827e-03	2.130671e-01
1.035044064910584e-03	2.444033e-01
1.037024821469492e-03	2.885574e-01
1.039282807109152e-03	3.388179e-01
1.039374835256793e-03	3.408647e-01
1.039558891552077e-03	3.449569e-01
1.040847285619063e-03	3.735957e-01
1.041307426357272e-03	3.838211e-01
1.041491482652555e-03	3.879108e-01
1.041859595243123e-03	3.960894e-01
1.042932223964999e-03	4.199159e-01
1.044943198939988e-03	4.645623e-01
1.046774696385840e-03	5.051952e-01
1.050437691277544e-03	5.863892e-01
1.054577310689820e-03	6.780463e-01
1.058586605151796e-03	7.666867e-01
1.064856498719561e-03	9.050777e-01
1.070502432579406e-03	1.029441e+00
1.079423470499276e-03	1.225457e+00
1.088588167990347e-03	1.426232e+00
1.102185034600625e-03	1.723209e+00
1.113785298013273e-03	1.975230e+00
1.122454167510708e-03	2.163079e+00
1.123165285711669e-03	2.178465e+00
1.123876403912631e-03	2.193846e+00
1.124587522113592e-03	2.209221e+00
1.125298640314554e-03	2.224590e+00
1.126009758515515e-03	2.239953e+00
1.126720876716476e-03	2.255310e+00
1.127431994917438e-03	2.270661e+00
1.129599212291797e-03	2.317417e+00
1.133933647040514e-03	2.410729e+00
1.142602516537948e-03	2.596170e+00
1.149731445036821e-03	2.744985e+00
1.155504313715317e-03	2.856998e+00
1.160113161382505e-03	2.934821e+00
