time	V(vo)
0.000000000000000e+00	5.002423e+00
4.386408228147780e-02	5.002419e+00
8.772816456295560e-02	5.002413e+00
1.315922468444334e-01	5.002408e+00
1.754563291259112e-01	5.002402e+00
2.193204114073890e-01	5.002395e+00
2.631844936888668e-01	5.002388e+00
3.070485759703445e-01	5.002380e+00
3.373342902560588e-01	5.002374e+00
3.676200045417731e-01	5.002368e+00
3.979057188274874e-01	5.002361e+00
4.281914331132017e-01	5.002353e+00
4.584771473989160e-01	5.002345e+00
4.887628616846303e-01	5.002336e+00
5.190485759703446e-01	5.002326e+00
5.400485759703446e-01	5.002319e+00
5.610485759703446e-01	5.002310e+00
5.820485759703447e-01	5.002301e+00
6.030485759703447e-01	5.002291e+00
6.240485759703447e-01	5.002281e+00
6.450485759703448e-01	5.002269e+00
6.660485759703447e-01	5.002256e+00
6.806200045417733e-01	5.002247e+00
6.951914331132019e-01	5.002236e+00
7.097628616846305e-01	5.002224e+00
7.243342902560591e-01	5.002210e+00
7.389057188274877e-01	5.002196e+00
7.534771473989162e-01	5.002180e+00
7.680485759703448e-01	5.002163e+00
7.779057188274877e-01	5.002151e+00
7.877628616846306e-01	5.002136e+00
7.976200045417734e-01	5.002121e+00
8.074771473989163e-01	5.002103e+00
8.173342902560592e-01	5.002083e+00
8.271914331132020e-01	5.002062e+00
8.370485759703449e-01	5.002039e+00
8.437628616846305e-01	5.002023e+00
8.504771473989163e-01	5.002003e+00
8.571914331132020e-01	5.001982e+00
8.639057188274878e-01	5.001958e+00
8.706200045417735e-01	5.001932e+00
8.773342902560592e-01	5.001904e+00
8.840485759703449e-01	5.001873e+00
8.887628616846306e-01	5.001850e+00
8.934771473989164e-01	5.001823e+00
8.981914331132020e-01	5.001793e+00
9.029057188274878e-01	5.001759e+00
9.076200045417735e-01	5.001722e+00
9.123342902560593e-01	5.001682e+00
9.170485759703449e-01	5.001638e+00
9.201914331132021e-01	5.001607e+00
9.233342902560593e-01	5.001571e+00
9.264771473989164e-01	5.001531e+00
9.296200045417735e-01	5.001486e+00
9.327628616846306e-01	5.001437e+00
9.359057188274879e-01	5.001383e+00
9.390485759703450e-01	5.001326e+00
9.413342902560593e-01	5.001280e+00
9.436200045417735e-01	5.001228e+00
9.459057188274879e-01	5.001169e+00
9.481914331132021e-01	5.001104e+00
9.504771473989164e-01	5.001033e+00
9.527628616846306e-01	5.000955e+00
9.550485759703450e-01	5.000870e+00
9.580485759703450e-01	5.000738e+00
9.610485759703450e-01	5.000581e+00
9.640485759703450e-01	5.000391e+00
9.660485759703450e-01	5.000241e+00
9.680485759703450e-01	5.000066e+00
9.700485759703450e-01	4.999862e+00
9.720485759703450e-01	4.999619e+00
9.730485759703450e-01	4.999479e+00
9.740485759703450e-01	4.999324e+00
9.750485759703450e-01	4.999153e+00
9.760485759703450e-01	4.998962e+00
9.770485759703450e-01	4.998747e+00
9.780485759703450e-01	4.998505e+00
9.790485759703450e-01	4.998228e+00
9.800485759703450e-01	4.997910e+00
9.810485759703450e-01	4.997540e+00
9.820485759703450e-01	4.997106e+00
9.830485759703450e-01	4.996584e+00
9.840485759703450e-01	4.995947e+00
9.850485759703450e-01	4.995170e+00
9.856820520104539e-01	4.994574e+00
9.861419279195411e-01	4.994068e+00
9.864209142896934e-01	4.993725e+00
9.865715923129743e-01	4.993526e+00
9.866539211401368e-01	4.989264e+00
9.867329177690149e-01	4.975854e+00
9.867413226890253e-01	4.972611e+00
9.867581325290459e-01	4.963487e+00
9.867917522090871e-01	4.944616e+00
9.868326478131201e-01	4.920472e+00
9.869144390211861e-01	4.866728e+00
9.870780214373182e-01	4.735334e+00
9.872572397148306e-01	4.556062e+00
9.873423821631344e-01	4.456772e+00
9.873985094188177e-01	4.387340e+00
9.874721938202465e-01	4.296149e+00
9.875093085059211e-01	4.250813e+00
9.875442324626047e-01	4.208636e+00
9.875789301458907e-01	4.167314e+00
9.876264472845977e-01	4.111833e+00
9.877038835214681e-01	4.023284e+00
9.877833277309501e-01	3.935648e+00
9.879422161499142e-01	3.768453e+00
9.881303668017116e-01	3.584533e+00
9.885066681053065e-01	3.253856e+00
9.890021129402349e-01	2.880279e+00
9.898660750768443e-01	2.344110e+00
9.907174938330118e-01	1.918811e+00
9.917174938330118e-01	1.523293e+00
9.927174938330118e-01	1.204387e+00
9.937174938330118e-01	9.443113e-01
9.947174938330118e-01	7.283284e-01
9.957174938330118e-01	5.465641e-01
9.967174938330118e-01	3.918057e-01
9.977174938330118e-01	2.579684e-01
9.987174938330118e-01	1.392674e-01
9.997174938330118e-01	2.966072e-02
9.999998999999999e-01	1.025590e-05
