time	V(Vreg,N001)*(-Ic(Q7))	V(vo)
0.000000000000000e+00	6.213949e-01	3.314744e+00
1.462857101484718e-07	6.213949e-01	3.314744e+00
2.925714202969436e-07	6.213949e-01	3.314744e+00
4.388571304454154e-07	6.213949e-01	3.314744e+00
5.851428405938872e-07	6.213950e-01	3.314743e+00
7.314285507423590e-07	6.213950e-01	3.314743e+00
8.777142608908308e-07	6.213951e-01	3.314743e+00
1.023999971039302e-06	6.213952e-01	3.314743e+00
2.047999942078604e-06	6.213959e-01	3.314743e+00
4.095999884157209e-06	6.213973e-01	3.314743e+00
8.191999768314417e-06	6.213998e-01	3.314743e+00
1.638399953662883e-05	6.214049e-01	3.314743e+00
3.276799907325767e-05	6.214149e-01	3.314743e+00
9.023535156250000e-03	6.269851e-01	3.314718e+00
9.350016028061505e-03	6.271893e-01	3.314717e+00
9.353016028061505e-03	6.271911e-01	3.314717e+00
9.365016028061505e-03	6.271986e-01	3.314717e+00
9.381016028061505e-03	6.272086e-01	3.314717e+00
9.413016028061506e-03	6.272286e-01	3.314717e+00
9.605016028061505e-03	6.273488e-01	3.314716e+00
9.744000000000001e-03	6.274358e-01	3.314716e+00
9.745000000000000e-03	6.274364e-01	3.314716e+00
9.747000000000000e-03	6.274376e-01	3.314716e+00
9.751000000000001e-03	6.274401e-01	3.314716e+00
9.759000000000000e-03	6.274451e-01	3.314716e+00
9.775000000000001e-03	6.274552e-01	3.314716e+00
9.807000000000001e-03	6.274752e-01	3.314716e+00
9.872000000000001e-03	6.275159e-01	3.314716e+00
9.877999999999996e-03	6.275196e-01	3.314716e+00
9.885999999999990e-03	6.275247e-01	3.314716e+00
9.897142857143040e-03	6.275316e-01	3.314716e+00
9.908285714286090e-03	6.275386e-01	3.314715e+00
9.919428571429139e-03	6.275456e-01	3.314715e+00
9.930571428572189e-03	6.275526e-01	3.314715e+00
9.941714285715239e-03	6.275596e-01	3.314715e+00
9.952857142858288e-03	6.275666e-01	3.314715e+00
9.964000000001338e-03	6.275735e-01	3.314715e+00
9.975999999992899e-03	6.275810e-01	3.314715e+00
9.984000000011253e-03	6.275861e-01	3.314715e+00
9.987000000011253e-03	6.275879e-01	3.314715e+00
9.991000000011253e-03	6.275905e-01	3.314715e+00
9.993999999977497e-03	6.275923e-01	3.314715e+00
9.996000000045009e-03	6.275936e-01	3.314715e+00
9.998000000000000e-03	6.275948e-01	3.314715e+00
9.998285717552029e-03	6.275951e-01	3.314715e+00
9.998571435104056e-03	6.275954e-01	3.314715e+00
9.998857152656086e-03	6.275957e-01	3.314715e+00
9.999142870208115e-03	6.275958e-01	3.314715e+00
9.999428587760144e-03	6.275960e-01	3.314715e+00
9.999714305312171e-03	6.275960e-01	3.314715e+00
1.000000002286420e-02	6.275961e-01	3.314715e+00
1.000100000000000e-02	6.275967e-01	3.314715e+00
1.000168499575718e-02	6.275971e-01	3.314715e+00
1.000236999151437e-02	6.275975e-01	3.314715e+00
1.000305498727155e-02	6.275980e-01	3.314715e+00
1.000373998302873e-02	6.275984e-01	3.314715e+00
1.000442497878591e-02	6.275988e-01	3.314715e+00
1.000510997454310e-02	6.275993e-01	3.314715e+00
1.000579497030028e-02	6.275997e-01	3.314715e+00
1.123914009314426e-02	6.283732e-01	3.314712e+00
1.200100000000000e-02	6.288519e-01	3.314710e+00
1.200200000000000e-02	6.288525e-01	3.314710e+00
3.000000000000000e-02	6.403790e-01	3.314657e+00
3.000100000000000e-02	6.403797e-01	3.314657e+00
3.200100000000000e-02	6.416868e-01	3.314652e+00
3.200200000000000e-02	6.416875e-01	3.314652e+00
5.000000000000000e-02	6.536958e-01	3.314597e+00
5.000100000000000e-02	6.536964e-01	3.314597e+00
5.200100000000001e-02	6.550587e-01	3.314591e+00
5.200200000000001e-02	6.550594e-01	3.314591e+00
7.000000000000001e-02	6.675804e-01	3.314534e+00
7.000099999999999e-02	6.675811e-01	3.314534e+00
7.200100000000000e-02	6.690022e-01	3.314527e+00
7.200200000000000e-02	6.690029e-01	3.314527e+00
9.000000000000000e-02	6.820701e-01	3.314467e+00
9.000100000000000e-02	6.820708e-01	3.314467e+00
9.200100000000000e-02	6.835546e-01	3.314461e+00
9.200200000000000e-02	6.835554e-01	3.314461e+00
1.100000000000000e-01	6.972052e-01	3.314398e+00
1.100010000000000e-01	6.972061e-01	3.314398e+00
1.120010000000000e-01	6.987567e-01	3.314391e+00
1.120020000000000e-01	6.987575e-01	3.314391e+00
1.300000000000000e-01	7.130300e-01	3.314325e+00
1.300010000000000e-01	7.130308e-01	3.314325e+00
1.320010000000000e-01	7.146530e-01	3.314317e+00
1.320020000000000e-01	7.146538e-01	3.314317e+00
1.500000000000000e-01	7.295925e-01	3.314248e+00
1.500006082660556e-01	7.295930e-01	3.314248e+00
1.500010000000000e-01	7.295934e-01	3.314248e+00
1.520010000000000e-01	7.312922e-01	3.314240e+00
1.520020000000000e-01	7.312930e-01	3.314240e+00
1.700000000000000e-01	7.469457e-01	3.314167e+00
1.700010000000000e-01	7.469466e-01	3.314167e+00
1.720010000000000e-01	7.487275e-01	3.314158e+00
1.720020000000000e-01	7.487284e-01	3.314158e+00
1.900000000000000e-01	7.651473e-01	3.314081e+00
1.900010000000000e-01	7.651483e-01	3.314081e+00
1.920010000000000e-01	7.670175e-01	3.314072e+00
1.920020000000000e-01	7.670185e-01	3.314072e+00
2.100000000000000e-01	7.842615e-01	3.313990e+00
2.100010000000000e-01	7.842625e-01	3.313990e+00
2.120010000000000e-01	7.862267e-01	3.313981e+00
