time	I(Rl)
0.000000000000000e+00	3.032360e-02
4.311850359844214e-02	3.162311e-02
8.623700719688428e-02	3.311368e-02
1.293555107953264e-01	3.479531e-02
1.724740143937686e-01	3.666799e-02
2.155925179922107e-01	3.873174e-02
2.587110215906528e-01	4.098654e-02
3.018295251890949e-01	4.343241e-02
3.304288269469075e-01	4.520815e-02
3.590281287047201e-01	4.722339e-02
3.876274304625326e-01	4.947812e-02
4.162267322203452e-01	5.197235e-02
4.448260339781578e-01	5.470607e-02
4.734253357359703e-01	5.767929e-02
5.020246374937829e-01	6.089201e-02
5.212768503844080e-01	6.325060e-02
5.405290632750330e-01	6.589877e-02
5.597812761656581e-01	6.883655e-02
5.790334890562832e-01	7.206391e-02
5.982857019469081e-01	7.558087e-02
6.175379148375333e-01	7.938743e-02
6.367901277281582e-01	8.348358e-02
6.501829714781583e-01	8.657532e-02
6.635758152281583e-01	9.001944e-02
6.769686589781584e-01	9.381593e-02
6.903615027281584e-01	9.796480e-02
7.037543464781584e-01	1.024660e-01
7.171471902281584e-01	1.073197e-01
7.305400339781585e-01	1.125257e-01
7.400266316344085e-01	1.165122e-01
7.495132292906586e-01	1.209220e-01
7.589998269469086e-01	1.257550e-01
7.684864246031586e-01	1.310113e-01
7.779730222594086e-01	1.366908e-01
7.874596199156586e-01	1.427936e-01
7.969462175719086e-01	1.493196e-01
8.037821482359712e-01	1.543858e-01
8.106180789000337e-01	1.599550e-01
8.174540095640962e-01	1.660272e-01
8.242899402281587e-01	1.726024e-01
8.311258708922212e-01	1.796806e-01
8.379618015562837e-01	1.872618e-01
8.447977322203463e-01	1.953460e-01
8.498200486265963e-01	2.017233e-01
8.548423650328463e-01	2.086981e-01
8.598646814390963e-01	2.162702e-01
8.648869978453463e-01	2.244397e-01
8.699093142515963e-01	2.332067e-01
8.749316306578463e-01	2.425710e-01
8.799539470640964e-01	2.525327e-01
8.837206843687838e-01	2.605315e-01
8.874874216734714e-01	2.692468e-01
8.912541589781589e-01	2.786785e-01
8.950208962828464e-01	2.888267e-01
8.987876335875339e-01	2.996914e-01
9.025543708922215e-01	3.112725e-01
9.063211081969089e-01	3.235701e-01
9.091112839781589e-01	3.333063e-01
9.119014597594089e-01	3.438520e-01
9.146916355406589e-01	3.552073e-01
9.174818113219090e-01	3.673722e-01
9.202719871031589e-01	3.803467e-01
9.230621628844090e-01	3.941308e-01
9.258523386656590e-01	4.087245e-01
9.279449705015965e-01	4.203827e-01
9.300376023375340e-01	4.329396e-01
9.321302341734715e-01	4.463954e-01
9.342228660094090e-01	4.607501e-01
9.363154978453465e-01	4.760035e-01
9.384081296812840e-01	4.921558e-01
9.405007615172215e-01	5.092068e-01
9.434304460875340e-01	5.355323e-01
9.463601306578465e-01	5.647245e-01
9.473366921812840e-01	5.751746e-01
9.483132537047215e-01	5.860182e-01
9.492898152281590e-01	5.972779e-01
9.502663767515965e-01	6.089779e-01
9.512429382750340e-01	6.211446e-01
9.522194997984715e-01	6.338062e-01
9.531960613219090e-01	6.469930e-01
9.541726228453465e-01	6.607373e-01
9.551491843687840e-01	6.750725e-01
9.561257458922215e-01	6.900296e-01
9.571023074156590e-01	7.056282e-01
9.580788689390966e-01	7.218327e-01
9.589059922068752e-01	7.359608e-01
9.593412954939294e-01	7.435346e-01
9.596070609057370e-01	7.482022e-01
9.598721549752215e-01	7.527258e-01
9.600262469862547e-01	7.546248e-01
9.601275141436930e-01	7.548047e-01
9.601820081944915e-01	7.542875e-01
9.602523721292577e-01	7.531120e-01
9.603516025714782e-01	7.510730e-01
9.604205661347244e-01	7.494488e-01
9.604863141771675e-01	7.477008e-01
9.606045439249126e-01	7.441809e-01
9.607201592892431e-01	7.402169e-01
9.608896587299697e-01	7.333493e-01
9.610947227922068e-01	7.236985e-01
9.612648682200748e-01	7.147678e-01
9.614289894955668e-01	7.056529e-01
9.617572320465506e-01	6.873729e-01
9.622557574212547e-01	6.609699e-01
9.630716217577218e-01	6.215377e-01
9.640481832811593e-01	5.795463e-01
9.650247448045968e-01	5.426437e-01
9.660013063280343e-01	5.101576e-01
9.669778678514718e-01	4.813428e-01
9.679544293749093e-01	4.556109e-01
9.689309908983468e-01	4.324950e-01
9.699075524217843e-01	4.116180e-01
9.708841139452218e-01	3.926749e-01
9.718606754686593e-01	3.754154e-01
9.728372369920968e-01	3.596351e-01
9.738137985155343e-01	3.451648e-01
9.747903600389718e-01	3.318655e-01
9.757669215624093e-01	3.196223e-01
9.767434830858468e-01	3.083400e-01
9.777200446092843e-01	2.979390e-01
9.786966061327218e-01	2.883521e-01
9.796731676561593e-01	2.795209e-01
9.806497291795968e-01	2.713934e-01
9.816262907030343e-01	2.639214e-01
9.826028522264718e-01	2.570589e-01
9.835794137499093e-01	2.507611e-01
9.845559752733468e-01	2.449841e-01
9.855325367967843e-01	2.396848e-01
9.865090983202218e-01	2.348216e-01
9.874856598436593e-01	2.303545e-01
9.884622213670968e-01	2.262462e-01
9.894387828905343e-01	2.224616e-01
9.904153444139718e-01	2.189692e-01
9.913919059374093e-01	2.157397e-01
9.923684674608468e-01	2.127474e-01
9.933450289842843e-01	2.099689e-01
9.943215905077218e-01	2.073836e-01
9.952981520311593e-01	2.049731e-01
9.962747135545968e-01	2.027215e-01
9.972512750780343e-01	2.006142e-01
9.982278366014719e-01	1.986389e-01
9.992043981249094e-01	1.967791e-01
9.999990000000000e-01	1.952970e-01
