Freq.	V(y)/V(x)
Step Information: Rload=8  (Step: 1/2)
1.00000000000000e-01	(6.44734147933210e+01dB,8.89954900797151e+01°)
1.00770481413610e-01	(6.44067687829322e+01dB,8.90032905238756e+01°)
1.01546899243308e-01	(6.43401224580158e+01dB,8.90110323001411e+01°)
1.02329299228075e-01	(6.42734758233609e+01dB,8.90187158634985e+01°)
1.03117727459306e-01	(6.42068288836830e+01dB,8.90263416653369e+01°)
1.03912230383517e-01	(6.41401816436276e+01dB,8.90339101541419e+01°)
1.04712854805090e-01	(6.40735341077677e+01dB,8.90414217744709e+01°)
1.05519647889024e-01	(6.40068862806078e+01dB,8.90488769680130e+01°)
1.06332657163716e-01	(6.39402381665836e+01dB,8.90562761729000e+01°)
1.07151930523761e-01	(6.38735897700633e+01dB,8.90636198240618e+01°)
1.07977516232771e-01	(6.38069410953483e+01dB,8.90709083531720e+01°)
1.08809462926223e-01	(6.37402921466752e+01dB,8.90781421887332e+01°)
1.09647819614319e-01	(6.36736429282157e+01dB,8.90853217558678e+01°)
1.10492635684876e-01	(6.36069934440781e+01dB,8.90924474767731e+01°)
1.11343960906236e-01	(6.35403436983083e+01dB,8.90995197703161e+01°)
1.12201845430196e-01	(6.34736936948906e+01dB,8.91065390522715e+01°)
1.13066339794964e-01	(6.34070434377487e+01dB,8.91135057354001e+01°)
1.13937494928134e-01	(6.33403929307465e+01dB,8.91204202292425e+01°)
1.14815362149688e-01	(6.32737421776891e+01dB,8.91272829404242e+01°)
1.15699993175021e-01	(6.32070911823239e+01dB,8.91340942723572e+01°)
1.16591440117983e-01	(6.31404399483410e+01dB,8.91408546256140e+01°)
1.17489755493953e-01	(6.30737884793746e+01dB,8.91475643977582e+01°)
1.18394992222930e-01	(6.30071367790036e+01dB,8.91542239833280e+01°)
1.19307203632654e-01	(6.29404848507521e+01dB,8.91608337739087e+01°)
1.20226443461741e-01	(6.28738326980911e+01dB,8.91673941582037e+01°)
1.21152765862859e-01	(6.28071803244384e+01dB,8.91739055220307e+01°)
1.22086225405907e-01	(6.27405277331599e+01dB,8.91803682483543e+01°)
1.23026877081238e-01	(6.26738749275702e+01dB,8.91867827172820e+01°)
1.23974776302895e-01	(6.26072219109336e+01dB,8.91931493059062e+01°)
1.24929978911874e-01	(6.25405686864648e+01dB,8.91994683889378e+01°)
1.25892541179417e-01	(6.24739152573294e+01dB,8.92057403378734e+01°)
1.26862519810326e-01	(6.24072616266448e+01dB,8.92119655215931e+01°)
1.27839971946303e-01	(6.23406077974812e+01dB,8.92181443063663e+01°)
1.28824955169314e-01	(6.22739537728617e+01dB,8.92242770555416e+01°)
1.29817527504985e-01	(6.22072995557641e+01dB,8.92303641299576e+01°)
1.30817747426020e-01	(6.21406451491199e+01dB,8.92364058875697e+01°)
1.31825673855641e-01	(6.20739905558169e+01dB,8.92424026838365e+01°)
1.32841366171065e-01	(6.20073357786983e+01dB,8.92483548715446e+01°)
1.33864884207000e-01	(6.19406808205645e+01dB,8.92542628007996e+01°)
1.34896288259166e-01	(6.18740256841729e+01dB,8.92601268191765e+01°)
1.35935639087853e-01	(6.18073703722395e+01dB,8.92659472716743e+01°)
1.36982997921497e-01	(6.17407148874383e+01dB,8.92717245006889e+01°)
