Freq.	V	vo)
1.00000000000000e+00	6.53318835579912e+01	-2.13912834568673e-04
1.02329299228075e+00	6.53318835579884e+01	-2.18895504572988e-04
1.04712854805090e+00	6.53318835579854e+01	-2.23994235871248e-04
1.07151930523761e+00	6.53318835579824e+01	-2.29211731878276e-04
1.09647819614318e+00	6.53318835579791e+01	-2.34550758979516e-04
1.12201845430196e+00	6.53318835579757e+01	-2.40014147997809e-04
1.14815362149688e+00	6.53318835579721e+01	-2.45604795694327e-04
1.17489755493953e+00	6.53318835579684e+01	-2.51325666304479e-04
1.20226443461741e+00	6.53318835579645e+01	-2.57179793109588e-04
1.23026877081238e+00	6.53318835579604e+01	-2.63170280045174e-04
1.25892541179417e+00	6.53318835579561e+01	-2.69300303346702e-04
1.28824955169313e+00	6.53318835579517e+01	-2.75573113233667e-04
1.31825673855641e+00	6.53318835579470e+01	-2.81992035632901e-04
1.34896288259165e+00	6.53318835579420e+01	-2.88560473942024e-04
1.38038426460288e+00	6.53318835579369e+01	-2.95281910833970e-04
1.41253754462275e+00	6.53318835579315e+01	-3.02159910103547e-04
1.44543977074593e+00	6.53318835579259e+01	-3.09198118557009e-04
1.47910838816821e+00	6.53318835579200e+01	-3.16400267945639e-04
1.51356124843621e+00	6.53318835579138e+01	-3.23770176944372e-04
1.54881661891248e+00	6.53318835579073e+01	-3.31311753176511e-04
1.58489319246111e+00	6.53318835579005e+01	-3.39028995285599e-04
1.62181009735893e+00	6.53318835578934e+01	-3.46925995055550e-04
1.65958690743756e+00	6.53318835578860e+01	-3.55006939580170e-04
1.69824365246174e+00	6.53318835578782e+01	-3.63276113483209e-04
1.73780082874937e+00	6.53318835578700e+01	-3.71737901190124e-04
1.77827941003892e+00	6.53318835578615e+01	-3.80396789252761e-04
1.81970085860998e+00	6.53318835578525e+01	-3.89257368728183e-04
1.86208713666287e+00	6.53318835578432e+01	-3.98324337612910e-04
1.90546071796325e+00	6.53318835578334e+01	-4.07602503333858e-04
1.94984459975804e+00	6.53318835578231e+01	-4.17096785297303e-04
1.99526231496888e+00	6.53318835578123e+01	-4.26812217497210e-04
2.04173794466953e+00	6.53318835578011e+01	-4.36753951184328e-04
2.08929613085404e+00	6.53318835577893e+01	-4.46927257597450e-04
2.13796208950223e+00	6.53318835577769e+01	-4.57337530758295e-04
2.18776162394955e+00	6.53318835577640e+01	-4.67990290331485e-04
2.23872113856834e+00	6.53318835577505e+01	-4.78891184551148e-04
2.29086765276777e+00	6.53318835577363e+01	-4.90045993215689e-04
2.34422881531992e+00	6.53318835577215e+01	-5.01460630752307e-04
2.39883291901949e+00	6.53318835577059e+01	-5.13141149352913e-04
2.45470891568503e+00	6.53318835576896e+01	-5.25093742183075e-04
2.51188643150958e+00	6.53318835576726e+01	-5.37324746665718e-04
2.57039578276886e+00	6.53318835576548e+01	-5.49840647841311e-04
2.63026799189538e+00	6.53318835576361e+01	-5.62648081806320e-04
2.69153480392691e+00	6.53318835576165e+01	-5.75753839231754e-04
2.75422870333816e+00	6.53318835575960e+01	-5.89164868963672e-04
2.81838293126445e+00	6.53318835575746e+01	-6.02888281707545e-04
2.88403150312660e+00	6.53318835575521e+01	-6.16931353798457e-04
2.95120922666638e+00	6.53318835575286e+01	-6.31301531059105e-04
3.01995172040201e+00	6.53318835575039e+01	-6.46006432747677e-04
3.09029543251359e+00	6.53318835574781e+01	-6.61053855597682e-04
3.16227766016837e+00	6.53318835574511e+01	-6.76451777951886e-04
3.23593656929628e+00	6.53318835574228e+01	-6.92208363992525e-04
3.31131121482591e+00	6.53318835573932e+01	-7.08331968070073e-04
3.38844156139202e+00	6.53318835573622e+01	-7.24831139132823e-04
3.46736850452531e+00	6.53318835573297e+01	-7.41714625259654e-04
3.54813389233575e+00	6.53318835572957e+01	-7.58991378298377e-04
3.63078054770101e+00	6.53318835572601e+01	-7.76670558612126e-04
3.71535229097172e+00	6.53318835572229e+01	-7.94761539936303e-04
3.80189396320560e+00	6.53318835571838e+01	-8.13273914348653e-04
3.89045144994280e+00	6.53318835571429e+01	-8.32217497355115e-04
3.98107170553496e+00	6.53318835571001e+01	-8.51602333094130e-04
4.07380277804112e+00	6.53318835570553e+01	-8.71438699662178e-04
4.16869383470335e+00	6.53318835570084e+01	-8.91737114563361e-04
4.26579518801592e+00	6.53318835569592e+01	-9.12508340285920e-04
4.36515832240165e+00	6.53318835569077e+01	-9.33763390008651e-04
4.46683592150962e+00	6.53318835568538e+01	-9.55513533440238e-04
4.57088189614874e+00	6.53318835567974e+01	-9.77770302794601e-04
4.67735141287197e+00	6.53318835567383e+01	-1.00054549890543e-03
4.78630092322637e+00	6.53318835566764e+01	-1.02385119748313e-03
4.89778819368445e+00	6.53318835566116e+01	-1.04769975551756e-03
5.01187233627271e+00	6.53318835565438e+01	-1.07210381782982e-03
5.12861383991364e+00	6.53318835564727e+01	-1.09707632377674e-03
5.24807460249771e+00	6.53318835563984e+01	-1.12263051411149e-03
5.37031796370252e+00	6.53318835563205e+01	-1.14877993800399e-03
5.49540873857623e+00	6.53318835562389e+01	-1.17553846022487e-03
5.62341325190348e+00	6.53318835561535e+01	-1.20292026849677e-03
5.75439937337156e+00	6.53318835560640e+01	-1.23093988101681e-03
5.88843655355588e+00	6.53318835559704e+01	-1.25961215415439e-03
6.02559586074356e+00	6.53318835558723e+01	-1.28895229032819e-03
6.16595001861481e+00	6.53318835557696e+01	-1.31897584606672e-03
6.30957344480192e+00	6.53318835556621e+01	-1.34969874025656e-03
6.45654229034654e+00	6.53318835555495e+01	-1.38113726258282e-03
6.60693448007594e+00	6.53318835554316e+01	-1.41330808216608e-03
6.76082975391980e+00	6.53318835553081e+01	-1.44622825640066e-03
