time	I(Rl)
0.000000000000000e+00	1.998022e-02
4.381604754375464e-02	2.084900e-02
8.763209508750928e-02	2.184909e-02
1.314481426312639e-01	2.298051e-02
1.752641901750186e-01	2.424323e-02
2.190802377187732e-01	2.563727e-02
2.628962852625278e-01	2.716263e-02
3.067123328062824e-01	2.881929e-02
3.371252488219075e-01	3.007374e-02
3.675381648375326e-01	3.151817e-02
3.979510808531577e-01	3.315260e-02
4.283639968687827e-01	3.497703e-02
4.587769128844078e-01	3.699145e-02
4.891898289000329e-01	3.919586e-02
5.196027449156579e-01	4.159027e-02
5.398315193297205e-01	4.333447e-02
5.600602937437831e-01	4.532498e-02
5.802890681578456e-01	4.756181e-02
6.005178425719082e-01	5.004497e-02
6.207466169859708e-01	5.277445e-02
6.409753914000333e-01	5.575025e-02
6.612041658140958e-01	5.897237e-02
6.747365183531583e-01	6.132757e-02
6.882688708922209e-01	6.398753e-02
7.018012234312834e-01	6.695228e-02
7.153335759703460e-01	7.022180e-02
7.288659285094085e-01	7.379609e-02
7.423982810484711e-01	7.767516e-02
7.559306335875335e-01	8.185900e-02
7.651382136656586e-01	8.495715e-02
7.743457937437835e-01	8.842125e-02
7.835533738219086e-01	9.225129e-02
7.927609539000336e-01	9.644727e-02
8.019685339781587e-01	1.010092e-01
8.111761140562836e-01	1.059371e-01
8.203836941344087e-01	1.112309e-01
8.268010984312837e-01	1.152278e-01
8.332185027281588e-01	1.196588e-01
8.396359070250338e-01	1.245238e-01
8.460533113219088e-01	1.298227e-01
8.524707156187838e-01	1.355557e-01
8.588881199156588e-01	1.417227e-01
8.653055242125338e-01	1.483236e-01
8.699093142515963e-01	1.534307e-01
8.745131042906589e-01	1.590564e-01
8.791168943297214e-01	1.652009e-01
8.837206843687838e-01	1.718640e-01
8.883244744078463e-01	1.790458e-01
8.929282644469089e-01	1.867463e-01
8.975320544859714e-01	1.949655e-01
9.008802654234714e-01	2.013916e-01
9.042284763609714e-01	2.084285e-01
9.075766872984714e-01	2.160761e-01
9.109248982359714e-01	2.243344e-01
9.142731091734715e-01	2.332035e-01
9.176213201109714e-01	2.426833e-01
9.209695310484715e-01	2.527738e-01
9.234806892515964e-01	2.608809e-01
9.259918474547215e-01	2.697277e-01
9.285030056578465e-01	2.793143e-01
9.310141638609715e-01	2.896406e-01
9.335253220640964e-01	3.007068e-01
9.360364802672215e-01	3.125127e-01
9.385476384703465e-01	3.250583e-01
9.414773230406590e-01	3.413258e-01
9.444070076109715e-01	3.593071e-01
9.473366921812840e-01	3.792880e-01
9.502663767515965e-01	4.016216e-01
9.531960613219090e-01	4.267493e-01
9.561257458922215e-01	4.552304e-01
9.580788689390966e-01	4.764275e-01
9.600319919859716e-01	4.996943e-01
9.619851150328466e-01	5.253494e-01
9.639382380797216e-01	5.537801e-01
9.649147996031591e-01	5.691810e-01
9.658913611265966e-01	5.854624e-01
9.668679226500341e-01	6.027021e-01
9.678444841734716e-01	6.209872e-01
9.688210456969091e-01	6.404157e-01
9.697976072203466e-01	6.610981e-01
9.707741687437841e-01	6.831597e-01
9.717507302672216e-01	7.067429e-01
9.727272917906591e-01	7.317634e-01
9.731944673187638e-01	7.443221e-01
9.734676949549517e-01	7.510578e-01
9.737306462905286e-01	7.558277e-01
9.737384232434028e-01	7.558064e-01
9.737539771491509e-01	7.554823e-01
9.737745929692588e-01	7.550161e-01
9.737959912485254e-01	7.544886e-01
9.738153430566656e-01	7.539712e-01
9.738418141989588e-01	7.532097e-01
9.738791119507422e-01	7.520358e-01
9.739537074543089e-01	7.493342e-01
9.741028984614423e-01	7.422889e-01
9.744012804757091e-01	7.226348e-01
9.749980445042428e-01	6.756104e-01
9.755265739155956e-01	6.348504e-01
9.760763131710738e-01	5.976083e-01
9.770528746945113e-01	5.411421e-01
9.780294362179488e-01	4.933819e-01
9.790059977413863e-01	4.533894e-01
9.799825592648238e-01	4.194165e-01
9.809591207882613e-01	3.902091e-01
9.819356823116988e-01	3.648534e-01
9.829122438351363e-01	3.426721e-01
9.838888053585738e-01	3.231623e-01
9.848653668820113e-01	3.059462e-01
9.858419284054488e-01	2.907382e-01
9.868184899288863e-01	2.773136e-01
9.877950514523238e-01	2.654862e-01
9.887716129757613e-01	2.550874e-01
9.897481744991988e-01	2.459597e-01
9.907247360226363e-01	2.379539e-01
9.917012975460738e-01	2.309256e-01
9.926778590695113e-01	2.247384e-01
9.936544205929488e-01	2.192719e-01
9.946309821163863e-01	2.144207e-01
9.956075436398238e-01	2.100952e-01
9.965841051632613e-01	2.062198e-01
9.975606666866988e-01	2.027318e-01
9.985372282101364e-01	1.995788e-01
9.995137897335739e-01	1.966867e-01
9.999990000000000e-01	1.953625e-01
