time	I(R4)
0.000000000000000e+00	3.233875e-08
2.929687603625553e-10	3.237523e-08
2.343750082900442e-09	3.236671e-08
1.000000000000000e-03	3.234171e-08
1.000100460528146e-03	4.674024e-08
1.000301381584437e-03	5.063408e-08
1.000496264110597e-03	4.682925e-08
1.000711117629828e-03	4.355418e-08
1.000937524574069e-03	4.095685e-08
1.001276106992432e-03	3.820786e-08
1.001729553735653e-03	3.582473e-08
1.002265628487681e-03	3.415290e-08
1.002755268044648e-03	3.317144e-08
1.003252838004241e-03	3.189161e-08
1.003539102147746e-03	2.975516e-08
1.003774030820045e-03	2.416697e-08
1.004042505388817e-03	8.530587e-09
1.004235783219388e-03	-1.489266e-08
1.004421831651000e-03	-5.048879e-08
1.004598239471262e-03	-7.300695e-08
1.004743407829935e-03	-5.893205e-08
1.004867639749056e-03	-2.056526e-08
1.004969100201056e-03	1.299748e-08
1.005085105253950e-03	3.205172e-08
1.005168813541918e-03	5.279383e-08
1.005243937054445e-03	1.867017e-07
1.005294226298633e-03	5.134352e-07
1.005326878218922e-03	9.417527e-07
1.005361896009662e-03	1.478667e-06
1.005398469801876e-03	1.867092e-06
1.005450750087998e-03	2.115241e-06
1.005505427079367e-03	2.215296e-06
1.005600010300983e-03	2.319226e-06
1.005774992420427e-03	2.510021e-06
1.005949486460297e-03	2.700882e-06
1.006159632113892e-03	2.937523e-06
1.006444476041637e-03	3.335111e-06
1.006883747621758e-03	4.493655e-06
1.007238827951887e-03	7.355464e-06
1.007545579798559e-03	1.472470e-05
1.007754233525974e-03	2.641025e-05
1.007860078777916e-03	3.924131e-05
1.008014624455167e-03	7.299244e-05
1.008126034739365e-03	1.183973e-04
1.008279584870484e-03	2.384550e-04
1.008419626175624e-03	5.559081e-04
1.008540416375170e-03	1.844579e-03
1.008638223450784e-03	5.074773e-03
1.008737288831295e-03	1.168627e-02
1.008850324014188e-03	2.401245e-02
1.008975553710132e-03	4.496501e-02
1.009127353991208e-03	8.236273e-02
1.009305116986531e-03	1.436077e-01
1.009530643470546e-03	2.443477e-01
1.009793348986171e-03	3.827621e-01
1.010000000000000e-03	5.009791e-01
1.010023170860701e-03	5.147184e-01
1.010069512582102e-03	5.419421e-01
1.010162196024904e-03	5.954012e-01
1.010213280205234e-03	6.240165e-01
1.010267574519062e-03	6.532907e-01
1.010327621516244e-03	6.841080e-01
1.010433292285638e-03	7.350464e-01
1.010521666515865e-03	7.744946e-01
1.010610975479038e-03	8.108310e-01
1.010707828931578e-03	8.467889e-01
1.010781847087402e-03	8.720273e-01
1.010826517095053e-03	8.861693e-01
1.010864288077211e-03	8.974462e-01
1.010901537980495e-03	9.081342e-01
1.010908843377273e-03	9.101714e-01
1.010914322424857e-03	9.116729e-01
1.010915235599454e-03	9.119224e-01
1.010917061948649e-03	9.124202e-01
1.010917468030220e-03	9.125308e-01
1.010918280193362e-03	9.127516e-01
1.010919904519646e-03	9.131924e-01
1.010922616044359e-03	9.139263e-01
1.010925813652269e-03	9.147887e-01
1.010929395690851e-03	9.157496e-01
1.010936559768016e-03	9.176539e-01
1.010950887922345e-03	9.213969e-01
1.010979544231004e-03	9.286953e-01
1.011007137037235e-03	9.354963e-01
1.011035528595132e-03	9.422370e-01
1.011061905995906e-03	9.482708e-01
1.011087976020057e-03	9.540110e-01
1.011116478460257e-03	9.600437e-01
1.011146664682141e-03	9.661563e-01
1.011184177169415e-03	9.733622e-01
1.011230512482005e-03	9.816712e-01
1.011297703891200e-03	9.925745e-01
1.011400647337136e-03	1.006809e+00
1.011570009438622e-03	1.024949e+00
1.011785494129752e-03	1.040601e+00
1.011992117252589e-03	1.048448e+00
1.012221475130378e-03	1.050231e+00
1.012444257194164e-03	1.046771e+00
1.012642180874686e-03	1.040190e+00
1.012794510813534e-03	1.033239e+00
1.012864833669640e-03	1.029380e+00
1.012966318702938e-03	1.023152e+00
1.013038919252977e-03	1.018368e+00
1.013114564314567e-03	1.013065e+00
1.013304832618482e-03	9.986927e-01
1.013444479170177e-03	9.873848e-01
1.013680861102214e-03	9.673704e-01
1.013946877718899e-03	9.440588e-01
1.014206982423584e-03	9.208346e-01
1.014651456145076e-03	8.814184e-01
1.015226350093948e-03	8.333805e-01
1.016376137991693e-03	7.483366e-01
1.017578981111617e-03	6.725475e-01
1.018514572890470e-03	6.204653e-01
1.019425887186224e-03	5.681722e-01
1.020407892964275e-03	5.051083e-01
1.020553388345157e-03	4.946955e-01
1.020844379106922e-03	4.726126e-01
1.021098996023466e-03	4.530505e-01
1.021189930636518e-03	4.460783e-01
1.021226304481738e-03	4.433038e-01
1.021299052172179e-03	4.377914e-01
1.021444547553062e-03	4.269153e-01
1.021615548142207e-03	4.145022e-01
1.021890325985593e-03	3.955292e-01
1.022162305709074e-03	3.786061e-01
1.022706265156035e-03	3.502849e-01
1.023212473310893e-03	3.311144e-01
1.023841958851171e-03	3.184838e-01
1.024536868914626e-03	3.166969e-01
1.025337977238778e-03	3.249229e-01
1.026128613981723e-03	3.360077e-01
1.026954945916027e-03	3.438975e-01
1.027866072546015e-03	3.452889e-01
1.028871151682557e-03	3.408675e-01
1.029918275213594e-03	3.353516e-01
1.031066442211821e-03	3.326569e-01
1.032214784251515e-03	3.334163e-01
1.033648884959434e-03	3.350909e-01
1.035158139687724e-03	3.350104e-01
1.036726611256670e-03	3.341101e-01
1.038584674791305e-03	3.341142e-01
1.040607980771778e-03	3.348135e-01
1.043045478374709e-03	3.352935e-01
1.045747118998509e-03	3.359160e-01
1.050397073333502e-03	3.376515e-01
1.054869005108421e-03	3.395022e-01
1.061094603539128e-03	3.425310e-01
1.070195783570317e-03	3.477589e-01
1.083926400306651e-03	3.565992e-01
1.085788807074303e-03	3.579144e-01
1.087651213841954e-03	3.592674e-01
1.089513620609605e-03	3.606580e-01
1.091376027377257e-03	3.620863e-01
1.093238434144908e-03	3.635524e-01
1.095100840912559e-03	3.650561e-01
1.096963247680210e-03	3.665976e-01
1.107259994082466e-03	3.751949e-01
1.127853486886977e-03	3.910536e-01
1.129767919662371e-03	3.902067e-01
1.133596785213159e-03	3.801695e-01
1.141254516314736e-03	3.451397e-01
1.148381312866464e-03	3.019215e-01
1.148946284220743e-03	2.981775e-01
1.150076226929301e-03	2.913077e-01
1.152336112346418e-03	2.798880e-01
1.154667106272730e-03	2.702267e-01
1.157439801379735e-03	2.603497e-01
1.157997182650492e-03	2.585339e-01
1.159111945192007e-03	2.551245e-01
1.161341470275037e-03	2.486202e-01
1.165758793452289e-03	2.365939e-01
1.174422629610416e-03	2.144651e-01
1.176340648552095e-03	2.098788e-01
1.178258667493773e-03	2.054060e-01
1.180176686435452e-03	2.010467e-01
1.182094705377130e-03	1.968008e-01
1.184012724318809e-03	1.926683e-01
1.185930743260488e-03	1.886494e-01
1.187848762202166e-03	1.847439e-01
1.191045130135330e-03	1.783726e-01
1.194032051694801e-03	1.726299e-01
1.196923646034318e-03	1.672771e-01
1.200140070437408e-03	1.615816e-01
1.205588712140342e-03	1.524205e-01
1.211000663049958e-03	1.438212e-01
1.215342420473674e-03	1.373125e-01
1.218918063747911e-03	1.322212e-01
1.222166593106230e-03	1.278028e-01
1.225803752964864e-03	1.230714e-01
1.229781666991527e-03	1.181490e-01
1.235194846537577e-03	1.118487e-01
1.242183054856236e-03	1.043906e-01
1.254564488049687e-03	9.288005e-02
1.276652565168297e-03	7.615894e-02
1.305949440168297e-03	5.930421e-02
1.335246315168297e-03	4.724031e-02
1.364543190168297e-03	3.880858e-02
1.389971096389248e-03	3.364504e-02
1.415438478326236e-03	2.996117e-02
1.440030235819042e-03	2.742261e-02
1.469327110819042e-03	2.530749e-02
1.498623985819042e-03	2.386093e-02
1.527920860819042e-03	2.290787e-02
1.557217735819042e-03	2.229216e-02
1.586514610819043e-03	2.190256e-02
1.615811485819043e-03	2.165909e-02
1.645108360819043e-03	2.150877e-02
1.674405235819043e-03	2.141709e-02
1.703702110819043e-03	2.136164e-02
1.732998985819043e-03	2.132828e-02
1.762295860819043e-03	2.130829e-02
1.791592735819043e-03	2.129634e-02
1.820889610819043e-03	2.128920e-02
1.850186485819043e-03	2.128494e-02
1.879483360819043e-03	2.128240e-02
1.908780235819043e-03	2.128089e-02
1.938077110819043e-03	2.127999e-02
1.967373985819043e-03	2.127945e-02
1.996670860819043e-03	2.127913e-02
2.025967735819042e-03	2.127894e-02
2.055264610819042e-03	2.127883e-02
2.084561485819042e-03	2.127876e-02
2.113858360819042e-03	2.127872e-02
2.143155235819042e-03	2.127870e-02
2.172452110819042e-03	2.127868e-02
2.201748985819041e-03	2.127868e-02
2.231045860819041e-03	2.127867e-02
2.260342735819041e-03	2.127867e-02
2.289639610819041e-03	2.127867e-02
2.318936485819041e-03	2.127866e-02
2.348233360819040e-03	2.127866e-02
2.377530235819040e-03	2.127866e-02
2.406827110819040e-03	2.127866e-02
2.436123985819040e-03	2.127866e-02
2.465420860819040e-03	2.127866e-02
2.494717735819039e-03	2.127866e-02
2.524014610819039e-03	2.127866e-02
2.553311485819039e-03	2.127866e-02
2.582608360819039e-03	2.127866e-02
2.611905235819039e-03	2.127866e-02
2.641202110819038e-03	2.127866e-02
2.670498985819038e-03	2.127866e-02
2.699795860819038e-03	2.127866e-02
2.729092735819038e-03	2.127866e-02
2.758389610819038e-03	2.127866e-02
2.787686485819037e-03	2.127866e-02
2.816983360819037e-03	2.127866e-02
2.846280235819037e-03	2.127866e-02
2.875577110819037e-03	2.127866e-02
2.904873985819037e-03	2.127866e-02
2.934170860819037e-03	2.127866e-02
2.963467735819036e-03	2.127866e-02
2.992764610819036e-03	2.127866e-02
3.000000000000000e-03	2.127866e-02
3.000282437181372e-03	2.130367e-02
3.000847311544117e-03	2.139930e-02
3.001621900362099e-03	2.163252e-02
3.002481839886700e-03	2.201833e-02
3.003420492681161e-03	2.256602e-02
3.004423491168545e-03	2.327692e-02
3.006105448323849e-03	2.465636e-02
3.007840408392591e-03	2.625057e-02
3.010592459290690e-03	2.900481e-02
3.014412720550698e-03	3.297572e-02
3.019627869124597e-03	3.821759e-02
3.027703039953491e-03	4.521796e-02
3.039152635331608e-03	5.274965e-02
3.052877067468014e-03	5.912536e-02
3.066564375625642e-03	6.379376e-02
3.080418695350614e-03	6.751347e-02
3.100000000000000e-03	7.196715e-02
3.101051827375339e-03	7.129694e-02
3.103155482126017e-03	6.925373e-02
3.105159730528775e-03	6.667352e-02
3.107263591257728e-03	6.380894e-02
3.109507563253714e-03	6.113831e-02
3.112678191286645e-03	5.814790e-02
3.116557810021372e-03	5.543034e-02
3.122477713754953e-03	5.239545e-02
3.129533286688619e-03	4.958533e-02
3.139280099130075e-03	4.638309e-02
3.152641305662490e-03	4.268946e-02
3.172932952232397e-03	3.818855e-02
3.202229827232396e-03	3.327913e-02
3.231526702232396e-03	2.978917e-02
3.260823577232396e-03	2.743207e-02
3.290120452232396e-03	2.585983e-02
3.319417327232396e-03	2.482717e-02
3.348714202232395e-03	2.416147e-02
3.378011077232395e-03	2.373838e-02
3.407307952232395e-03	2.347261e-02
3.436604827232395e-03	2.330726e-02
3.465901702232395e-03	2.320548e-02
3.495198577232394e-03	2.314317e-02
3.524495452232394e-03	2.310521e-02
3.553792327232394e-03	2.308213e-02
3.583089202232394e-03	2.306812e-02
3.612386077232394e-03	2.305963e-02
3.641682952232393e-03	2.305449e-02
3.670979827232393e-03	2.305137e-02
3.700276702232393e-03	2.304948e-02
3.729573577232393e-03	2.304834e-02
3.758870452232393e-03	2.304765e-02
3.788167327232392e-03	2.304723e-02
3.817464202232392e-03	2.304698e-02
3.846761077232392e-03	2.304683e-02
3.876057952232392e-03	2.304673e-02
3.905354827232392e-03	2.304668e-02
3.934651702232392e-03	2.304664e-02
3.963948577232392e-03	2.304662e-02
3.993245452232392e-03	2.304661e-02
4.022542327232393e-03	2.304660e-02
4.051839202232393e-03	2.304660e-02
