Freq.	V(n012)
1.00000000000000e+00	1.56049812346495e+01	1.76847316558802e+02
1.04712854805090e+00	1.56034046698229e+01	1.76699188671572e+02
1.09647819614319e+00	1.56016766746076e+01	1.76544146680390e+02
1.14815362149688e+00	1.55997827748874e+01	1.76381874590045e+02
1.20226443461741e+00	1.55977071273353e+01	1.76212042957214e+02
1.25892541179417e+00	1.55954323927643e+01	1.76034308466551e+02
1.31825673855641e+00	1.55929395983114e+01	1.75848313516834e+02
1.38038426460289e+00	1.55902079876373e+01	1.75653685821841e+02
1.44543977074593e+00	1.55872148582411e+01	1.75450038031395e+02
1.51356124843621e+00	1.55839353848677e+01	1.75236967378860e+02
1.58489319246111e+00	1.55803424281504e+01	1.75014055362411e+02
1.65958690743756e+00	1.55764063273555e+01	1.74780867468459e+02
1.73780082874938e+00	1.55720946763363e+01	1.74536952946898e+02
1.81970085860998e+00	1.55673720815611e+01	1.74281844649195e+02
1.90546071796325e+00	1.55621999012809e+01	1.74015058941913e+02
1.99526231496888e+00	1.55565359648161e+01	1.73736095709967e+02
2.08929613085404e+00	1.55503342710668e+01	1.73444438465768e+02
2.18776162394955e+00	1.55435446654264e+01	1.73139554582508e+02
2.29086765276778e+00	1.55361124943714e+01	1.72820895672060e+02
2.39883291901949e+00	1.55279782372544e+01	1.72487898130370e+02
2.51188643150958e+00	1.55190771149590e+01	1.72139983875834e+02
2.63026799189538e+00	1.55093386754763e+01	1.71776561308843e+02
2.75422870333817e+00	1.54986863567784e+01	1.71397026523562e+02
2.88403150312661e+00	1.54870370278022e+01	1.71000764805894e+02
3.01995172040202e+00	1.54743005090022e+01	1.70587152454525e+02
3.16227766016838e+00	1.54603790745632e+01	1.70155558964810e+02
3.31131121482592e+00	1.54451669391218e+01	1.69705349617928e+02
3.46736850452532e+00	1.54285497329352e+01	1.69235888520099e+02
3.63078054770102e+00	1.54104039703946e+01	1.68746542138562e+02
3.80189396320562e+00	1.53905965181666e+01	1.68236683382171e+02
3.98107170553498e+00	1.53689840706109e+01	1.67705696274748e+02
4.16869383470336e+00	1.53454126418075e+01	1.67152981268343e+02
4.36515832240167e+00	1.53197170852645e+01	1.66577961241022e+02
4.57088189614876e+00	1.52917206543234e+01	1.65980088219314e+02
4.78630092322639e+00	1.52612346183831e+01	1.65358850858631e+02
5.01187233627273e+00	1.52280579521179e+01	1.64713782705364e+02
5.24807460249774e+00	1.51919771171232e+01	1.64044471251535e+02
5.49540873857626e+00	1.51527659574388e+01	1.63350567776403e+02
5.75439937337158e+00	1.51101857323286e+01	1.62631797948978e+02
6.02559586074359e+00	1.50639853113415e+01	1.61887973140654e+02
6.30957344480195e+00	1.50139015577706e+01	1.61119002368083e+02
6.60693448007598e+00	1.49596599270952e+01	1.60324904753053e+02
6.91830970918938e+00	1.49009753067306e+01	1.59505822348919e+02
7.24435960074992e+00	1.48375531217764e+01	1.58662033142790e+02
7.58577575029186e+00	1.47690907289624e+01	1.57793964000396e+02
7.94328234724284e+00	1.46952791165137e+01	1.56902203277985e+02
8.31763771102674e+00	1.46158049221950e+01	1.55987512784787e+02
8.70963589956084e+00	1.45303527738290e+01	1.55050838743263e+02
9.12010839355913e+00	1.44386079477147e+01	1.54093321365381e+02
9.54992586021439e+00	1.43402593292976e+01	1.53116302644861e+02
1.00000000000000e+01	1.42350026484074e+01	1.52121331961067e+02
1.04712854805090e+01	1.41225439482923e+01	1.51110169102954e+02
1.09647819614319e+01	1.40026032343246e+01	1.50084784353959e+02
1.14815362149689e+01	1.38749182353090e+01	1.49047355332404e+02
1.20226443461742e+01	1.37392481987687e+01	1.48000260357446e+02
1.25892541179417e+01	1.35953776317402e+01	1.46946068206505e+02
1.31825673855641e+01	1.34431198926000e+01	1.45887524243694e+02
1.38038426460289e+01	1.32823205363208e+01	1.44827533025236e+02
1.44543977074593e+01	1.31128603177340e+01	1.43769137620782e+02
1.51356124843621e+01	1.29346577637075e+01	1.42715496021665e+02
1.58489319246112e+01	1.27476712364514e+01	1.41669855129571e+02
1.65958690743757e+01	1.25519004260312e+01	1.40635522924166e+02
1.73780082874938e+01	1.23473872293216e+01	1.39615839487982e+02
1.81970085860999e+01	1.21342159946398e+01	1.38614147615540e+02
1.90546071796326e+01	1.19125131345186e+01	1.37633763747500e+02
1.99526231496889e+01	1.16824461321208e+01	1.36677949948323e+02
2.08929613085405e+01	1.14442219884085e+01	1.35749887589076e+02
2.18776162394956e+01	1.11980851759618e+01	1.34852653309681e+02
2.29086765276778e+01	1.09443151801232e+01	1.33989197723336e+02
2.39883291901950e+01	1.06832237187739e+01	1.33162327197543e+02
2.51188643150959e+01	1.04151517373275e+01	1.32374688909737e+02
2.63026799189540e+01	1.01404662764582e+01	1.31628759239078e+02
2.75422870333818e+01	9.85955730616063e+00	1.30926835426820e+02
2.88403150312662e+01	9.57283461208398e+00	1.30271030322939e+02
3.01995172040203e+01	9.28072480948488e+00	1.29663269939535e+02
3.16227766016840e+01	8.98366854724444e+00	1.29105293456068e+02
3.31131121482593e+01	8.68211794996780e+00	1.28598655268294e+02
