v1	-100*((V(vo)*I(RL))/(V(Vreg)*I(V1)))
2.000000000000000e+00	5.737767e+01
2.100000000000000e+00	5.922060e+01
2.200000000000000e+00	6.090382e+01
2.300000000000000e+00	6.244708e+01
2.400000000000000e+00	6.386703e+01
2.500000000000000e+00	6.517782e+01
2.600000000000001e+00	6.639152e+01
2.700000000000001e+00	6.751850e+01
2.800000000000001e+00	6.856774e+01
2.900000000000001e+00	6.954699e+01
3.000000000000001e+00	7.046304e+01
3.100000000000001e+00	7.132180e+01
3.200000000000001e+00	7.212850e+01
3.300000000000001e+00	7.288772e+01
3.400000000000001e+00	7.360348e+01
3.500000000000001e+00	7.427924e+01
3.600000000000001e+00	7.491755e+01
3.700000000000002e+00	7.551865e+01
3.800000000000002e+00	7.607543e+01
3.900000000000002e+00	7.656015e+01
4.000000000000002e+00	7.685601e+01
4.100000000000001e+00	7.660465e+01
4.200000000000001e+00	7.519470e+01
4.300000000000001e+00	7.345680e+01
4.400000000000000e+00	7.179325e+01
4.500000000000000e+00	7.020148e+01
4.600000000000000e+00	6.867879e+01
4.699999999999999e+00	6.722089e+01
4.799999999999999e+00	6.582373e+01
4.899999999999999e+00	6.448359e+01
4.999999999999998e+00	6.319703e+01
5.099999999999998e+00	6.196092e+01
5.199999999999998e+00	6.077235e+01
5.299999999999997e+00	5.962861e+01
5.399999999999997e+00	5.852723e+01
5.499999999999996e+00	5.746589e+01
5.599999999999996e+00	5.644245e+01
5.699999999999996e+00	5.545492e+01
5.799999999999995e+00	5.450141e+01
5.899999999999995e+00	5.358023e+01
5.999999999999995e+00	5.268975e+01
6.099999999999994e+00	5.182846e+01
6.199999999999994e+00	5.099494e+01
6.299999999999994e+00	5.018788e+01
6.399999999999993e+00	4.940603e+01
6.499999999999993e+00	4.864823e+01
6.599999999999993e+00	4.791338e+01
6.699999999999992e+00	4.720048e+01
6.799999999999992e+00	4.650852e+01
6.899999999999991e+00	4.583662e+01
6.999999999999991e+00	4.518391e+01
7.099999999999991e+00	4.454958e+01
7.199999999999990e+00	4.393287e+01
7.299999999999990e+00	4.333305e+01
7.399999999999990e+00	4.274943e+01
7.499999999999989e+00	4.218137e+01
7.599999999999989e+00	4.162825e+01
7.699999999999989e+00	4.108950e+01
7.799999999999988e+00	4.056455e+01
7.899999999999988e+00	4.005290e+01
7.999999999999988e+00	3.955402e+01
8.099999999999987e+00	3.906746e+01
8.199999999999987e+00	3.859276e+01
8.299999999999986e+00	3.812950e+01
8.399999999999986e+00	3.767726e+01
8.499999999999986e+00	3.723566e+01
8.599999999999985e+00	3.680432e+01
8.699999999999985e+00	3.638290e+01
8.799999999999985e+00	3.597105e+01
8.899999999999984e+00	3.556845e+01
8.999999999999984e+00	3.517480e+01
9.099999999999984e+00	3.478979e+01
9.199999999999983e+00	3.441315e+01
9.299999999999983e+00	3.404460e+01
9.399999999999983e+00	3.368390e+01
9.499999999999982e+00	3.333078e+01
9.599999999999982e+00	3.298501e+01
9.699999999999982e+00	3.264637e+01
9.799999999999981e+00	3.231464e+01
9.899999999999981e+00	3.198961e+01
1.000000000000000e+01	3.167107e+01
