time	I(R4)
0.000000000000000e+00	3.228705e-08
9.999999960041972e-12	3.228748e-08
1.999999992008394e-11	3.228788e-08
7.999999968033578e-11	3.228987e-08
1.599999993606716e-10	3.229236e-08
6.399999974426862e-10	3.230408e-08
2.395428561856912e-08	3.229654e-08
4.726857123969555e-08	3.229073e-08
7.058285686082198e-08	3.228665e-08
9.389714248194842e-08	3.228429e-08
1.172114281030749e-07	3.228366e-08
1.405257137242013e-07	3.228475e-08
1.638399993453277e-07	3.228757e-08
1.000000000000000e-03	3.228782e-08
1.000003159324314e-03	3.221198e-08
1.000009477972942e-03	3.216289e-08
1.000020104261994e-03	3.215969e-08
1.000030907588639e-03	3.215941e-08
1.000043025408582e-03	3.215946e-08
1.000061915383778e-03	3.216136e-08
1.000092990020345e-03	3.216376e-08
1.000151317534623e-03	3.216864e-08
1.000267972563178e-03	3.217626e-08
1.000462970786107e-03	3.218578e-08
1.000675690349242e-03	3.219252e-08
1.000924270903275e-03	3.219682e-08
1.001236486617332e-03	3.219884e-08
1.001691916627392e-03	3.219841e-08
1.002262358971522e-03	3.219536e-08
1.002758005802302e-03	3.219251e-08
1.003261773450818e-03	3.219374e-08
1.003546401790506e-03	3.220473e-08
1.003781675439602e-03	3.224100e-08
1.004049079205524e-03	3.234977e-08
1.004256130403586e-03	3.253021e-08
1.004449306864111e-03	3.279134e-08
1.004630856078825e-03	3.290752e-08
1.004757186887246e-03	3.251720e-08
1.004877149956728e-03	3.127326e-08
1.004980197835517e-03	2.974467e-08
1.005091925478034e-03	2.870278e-08
1.005195454779840e-03	3.341473e-08
1.005299331228410e-03	6.272633e-08
1.005398284439543e-03	1.096836e-07
1.005516947805626e-03	1.489891e-07
1.005629713096650e-03	1.679411e-07
1.005760123360854e-03	1.889445e-07
1.006020943889261e-03	2.332515e-07
1.006266552233771e-03	2.759967e-07
1.006529478228281e-03	3.231154e-07
1.006799876858169e-03	3.728588e-07
1.007254725200628e-03	4.592744e-07
1.007914586318385e-03	5.897994e-07
1.008514673842859e-03	7.155629e-07
1.009178682640707e-03	8.673209e-07
1.009854732077594e-03	1.037566e-06
1.010000000000000e-03	1.078560e-06
1.010004463969726e-03	1.078888e-06
1.010013391909179e-03	1.079602e-06
1.010031247788085e-03	1.081145e-06
1.010066959545896e-03	1.084754e-06
1.010124649166864e-03	1.090999e-06
1.010188948813771e-03	1.098304e-06
1.010253847523695e-03	1.106116e-06
1.010318859357414e-03	1.114473e-06
1.010409418570286e-03	1.126935e-06
1.010479855616674e-03	1.137359e-06
1.010559493482464e-03	1.150147e-06
1.010657782454412e-03	1.167353e-06
1.010761803370738e-03	1.187582e-06
1.010899900159525e-03	1.217958e-06
1.011046071314526e-03	1.255178e-06
1.011223034488838e-03	1.308401e-06
1.011400674828184e-03	1.373957e-06
1.011658866410119e-03	1.500795e-06
1.012064873936599e-03	1.800849e-06
1.012613029176683e-03	2.510164e-06
1.013270767239100e-03	4.168156e-06
1.013935688513438e-03	7.821062e-06
1.014705899756165e-03	1.813888e-05
1.015590441710214e-03	4.664140e-05
1.016245992781034e-03	1.154146e-04
1.016700405736513e-03	4.134507e-04
1.017011262292084e-03	1.234452e-03
1.017222120515737e-03	2.537220e-03
1.017400581498302e-03	4.280569e-03
1.017583217744674e-03	6.584370e-03
1.017806197991964e-03	9.958197e-03
1.018087433822329e-03	1.483696e-02
1.018459534403853e-03	2.171459e-02
1.018932875992495e-03	2.990503e-02
1.019456538918125e-03	3.700911e-02
1.019908471616936e-03	4.074744e-02
1.020345972076610e-03	4.212752e-02
1.020773709027649e-03	4.187411e-02
1.021151865490539e-03	4.082506e-02
1.021200227308090e-03	4.063572e-02
1.021296950943190e-03	4.020331e-02
1.021394234321478e-03	3.974773e-02
1.021507816714819e-03	3.919015e-02
1.021650796460986e-03	3.846166e-02
1.021773324362692e-03	3.781993e-02
1.021894631859054e-03	3.717296e-02
1.022025610998695e-03	3.646865e-02
1.022195111021983e-03	3.555777e-02
1.022362796952260e-03	3.466891e-02
1.022624632062724e-03	3.333778e-02
1.023089603809615e-03	3.115812e-02
1.023556105979088e-03	2.930436e-02
1.024267079348147e-03	2.715443e-02
1.024848118128194e-03	2.597626e-02
1.025241962589473e-03	2.556944e-02
1.025654602688155e-03	2.549172e-02
1.026090705948741e-03	2.571856e-02
1.026524916092237e-03	2.621160e-02
1.026921157771645e-03	2.685717e-02
1.027381119533510e-03	2.775920e-02
1.028016359076538e-03	2.904513e-02
1.028955651168312e-03	3.066218e-02
1.029955651168312e-03	3.173757e-02
1.030955651168312e-03	3.204619e-02
1.031955651168312e-03	3.176659e-02
1.032955651168312e-03	3.122799e-02
1.033955651168312e-03	3.074165e-02
1.034955651168312e-03	3.050059e-02
1.035955651168312e-03	3.055106e-02
1.036955651168312e-03	3.082257e-02
1.037955651168312e-03	3.118861e-02
1.038955651168312e-03	3.152905e-02
1.039955651168312e-03	3.177098e-02
1.041955651168311e-03	3.194605e-02
1.043955651168311e-03	3.198668e-02
1.045955651168311e-03	3.216298e-02
1.048955651168311e-03	3.259512e-02
1.051955651168310e-03	3.293023e-02
1.054955651168310e-03	3.323328e-02
1.056955651168310e-03	3.346094e-02
1.058955651168310e-03	3.368709e-02
1.060955651168310e-03	3.391174e-02
1.062955651168310e-03	3.413487e-02
1.064955651168309e-03	3.435651e-02
1.066955651168309e-03	3.457663e-02
1.068955651168309e-03	3.479525e-02
1.072050238221880e-03	3.513582e-02
1.075144825275451e-03	3.547615e-02
1.078239412329023e-03	3.581625e-02
1.081333999382594e-03	3.615611e-02
1.084428586436165e-03	3.649574e-02
1.087523173489736e-03	3.683514e-02
1.090617760543307e-03	3.717430e-02
1.092260617686164e-03	3.735414e-02
1.093903474829021e-03	3.753380e-02
1.095546331971878e-03	3.771330e-02
1.097189189114735e-03	3.789262e-02
1.098832046257592e-03	3.807177e-02
1.100474903400449e-03	3.825075e-02
1.102117760543306e-03	3.842955e-02
1.104117760543306e-03	3.864666e-02
1.105117760543306e-03	3.875493e-02
1.106117760543306e-03	3.886290e-02
1.107117760543306e-03	3.897049e-02
1.108117760543306e-03	3.907751e-02
1.109117760543306e-03	3.918372e-02
1.110117760543306e-03	3.928878e-02
1.111117760543306e-03	3.939212e-02
1.112117760543306e-03	3.949296e-02
1.113117760543305e-03	3.959010e-02
1.114117760543305e-03	3.968176e-02
1.115117760543305e-03	3.976533e-02
1.116117760543305e-03	3.983696e-02
1.117117760543305e-03	3.989099e-02
1.118117760543305e-03	3.991920e-02
1.119117760543305e-03	3.990982e-02
1.120117760543305e-03	3.984619e-02
1.121117760543305e-03	3.970547e-02
1.122117760543305e-03	3.945741e-02
1.123117760543305e-03	3.906424e-02
1.124117760543305e-03	3.848263e-02
1.125117760543304e-03	3.766920e-02
