Freq.	V(n012)
1.00000000000000e+00	1.56210342741177e+01	-1.79997208276230e+02
1.04712854805090e+00	1.56210342769641e+01	-1.79997076710165e+02
1.09647819614319e+00	1.56210342800868e+01	-1.79996938943411e+02
1.14815362149688e+00	1.56210342835105e+01	-1.79996794683746e+02
1.20226443461741e+00	1.56210342872626e+01	-1.79996643625176e+02
1.25892541179417e+00	1.56210342913774e+01	-1.79996485447285e+02
1.31825673855641e+00	1.56210342958895e+01	-1.79996319814556e+02
1.38038426460289e+00	1.56210343008358e+01	-1.79996146375662e+02
1.44543977074593e+00	1.56210343062622e+01	-1.79995964762714e+02
1.51356124843621e+00	1.56210343122103e+01	-1.79995774590488e+02
1.58489319246111e+00	1.56210343187350e+01	-1.79995575455603e+02
1.65958690743756e+00	1.56210343258852e+01	-1.79995366935666e+02
1.73780082874938e+00	1.56210343337253e+01	-1.79995148588380e+02
1.81970085860998e+00	1.56210343423247e+01	-1.79994919950601e+02
1.90546071796325e+00	1.56210343517498e+01	-1.79994680537357e+02
1.99526231496888e+00	1.56210343620887e+01	-1.79994429840821e+02
2.08929613085404e+00	1.56210343734230e+01	-1.79994167329232e+02
2.18776162394955e+00	1.56210343858492e+01	-1.79993892445769e+02
2.29086765276778e+00	1.56210343994754e+01	-1.79993604607367e+02
2.39883291901949e+00	1.56210344144164e+01	-1.79993303203482e+02
2.51188643150958e+00	1.56210344307987e+01	-1.79992987594798e+02
2.63026799189538e+00	1.56210344487655e+01	-1.79992657111865e+02
2.75422870333817e+00	1.56210344684620e+01	-1.79992311053686e+02
2.88403150312661e+00	1.56210344900599e+01	-1.79991948686225e+02
3.01995172040202e+00	1.56210345137399e+01	-1.79991569240854e+02
3.16227766016838e+00	1.56210345397054e+01	-1.79991171912719e+02
3.31131121482592e+00	1.56210345681763e+01	-1.79990755859034e+02
3.46736850452532e+00	1.56210345993947e+01	-1.79990320197295e+02
3.63078054770102e+00	1.56210346336254e+01	-1.79989864003406e+02
3.80189396320562e+00	1.56210346711555e+01	-1.79989386309720e+02
3.98107170553498e+00	1.56210347123096e+01	-1.79988886102986e+02
4.16869383470336e+00	1.56210347574324e+01	-1.79988362322201e+02
4.36515832240167e+00	1.56210348069082e+01	-1.79987813856357e+02
4.57088189614876e+00	1.56210348611601e+01	-1.79987239542088e+02
4.78630092322639e+00	1.56210349206451e+01	-1.79986638161197e+02
5.01187233627273e+00	1.56210349858677e+01	-1.79986008438080e+02
5.24807460249774e+00	1.56210350573836e+01	-1.79985349037012e+02
5.49540873857626e+00	1.56210351358000e+01	-1.79984658559320e+02
5.75439937337158e+00	1.56210352217796e+01	-1.79983935540413e+02
6.02559586074359e+00	1.56210353160561e+01	-1.79983178446676e+02
6.30957344480195e+00	1.56210354194284e+01	-1.79982385672218e+02
6.60693448007598e+00	1.56210355327704e+01	-1.79981555535465e+02
6.91830970918938e+00	1.56210356570504e+01	-1.79980686275596e+02
7.24435960074992e+00	1.56210357933214e+01	-1.79979776048802e+02
7.58577575029186e+00	1.56210359427441e+01	-1.79978822924381e+02
7.94328234724284e+00	1.56210361065762e+01	-1.79977824880641e+02
8.31763771102674e+00	1.56210362862129e+01	-1.79976779800613e+02
8.70963589956084e+00	1.56210364831849e+01	-1.79975685467557e+02
9.12010839355913e+00	1.56210366991585e+01	-1.79974539560267e+02
9.54992586021439e+00	1.56210369359724e+01	-1.79973339648141e+02
1.00000000000000e+01	1.56210371956246e+01	-1.79972083186030e+02
1.04712854805090e+01	1.56210374803331e+01	-1.79970767508839e+02
1.09647819614319e+01	1.56210377925085e+01	-1.79969389825871e+02
1.14815362149689e+01	1.56210381348043e+01	-1.79967947214917e+02
1.20226443461742e+01	1.56210385101248e+01	-1.79966436616048e+02
1.25892541179417e+01	1.56210389216556e+01	-1.79964854825132e+02
1.31825673855641e+01	1.56210393728951e+01	-1.79963198487036e+02
1.38038426460289e+01	1.56210398676629e+01	-1.79961464088509e+02
1.44543977074593e+01	1.56210404101630e+01	-1.79959647950741e+02
1.51356124843621e+01	1.56210410050027e+01	-1.79957746221542e+02
1.58489319246112e+01	1.56210416572316e+01	-1.79955754867194e+02
1.65958690743757e+01	1.56210423723865e+01	-1.79953669663881e+02
1.73780082874938e+01	1.56210431565385e+01	-1.79951486188738e+02
1.81970085860999e+01	1.56210440163404e+01	-1.79949199810477e+02
1.90546071796326e+01	1.56210449590936e+01	-1.79946805679557e+02
1.99526231496889e+01	1.56210459928104e+01	-1.79944298717902e+02
2.08929613085405e+01	1.56210471262550e+01	-1.79941673608144e+02
2.18776162394956e+01	1.56210483690484e+01	-1.79938924782338e+02
2.29086765276778e+01	1.56210497317418e+01	-1.79936046410155e+02
2.39883291901950e+01	1.56210512259127e+01	-1.79933032386532e+02
2.51188643150959e+01	1.56210528642356e+01	-1.79929876318725e+02
2.63026799189540e+01	1.56210546606128e+01	-1.79926571512747e+02
2.75422870333818e+01	1.56210566303114e+01	-1.79923110959184e+02
2.88403150312662e+01	1.56210587900338e+01	-1.79919487318350e+02
3.01995172040203e+01	1.56210611581218e+01	-1.79915692904711e+02
3.16227766016840e+01	1.56210637546764e+01	-1.79911719670602e+02
3.31131121482593e+01	1.56210666017408e+01	-1.79907559189179e+02
3.46736850452534e+01	1.56210697234848e+01	-1.79903202636553e+02
3.63078054770103e+01	1.56210731463972e+01	-1.79898640773098e+02
3.80189396320563e+01	1.56210768995451e+01	-1.79893863923879e+02
3.98107170553500e+01	1.56210810147855e+01	-1.79888861958157e+02
4.16869383470338e+01	1.56210855270524e+01	-1.79883624267904e+02
4.36515832240169e+01	1.56210904746450e+01	-1.79878139745392e+02
4.57088189614878e+01	1.56210958995585e+01	-1.79872396759613e+02
4.78630092322641e+01	1.56211018478543e+01	-1.79866383131691e+02
