Freq.	V(vf)
1.00000000000000e+00	4.83580004243476e+01	1.79210082128751e+02
1.04712854805090e+00	4.83579206276909e+01	1.79172792155574e+02
1.09647819614319e+00	4.83578331338785e+01	1.79133748543109e+02
1.14815362149688e+00	4.83577372010470e+01	1.79092868619647e+02
1.20226443461741e+00	4.83576320150233e+01	1.79050065839976e+02
1.25892541179417e+00	4.83575166839714e+01	1.79005249604830e+02
1.31825673855641e+00	4.83573902293083e+01	1.78958325072529e+02
1.38038426460289e+00	4.83572515787704e+01	1.78909192961849e+02
1.44543977074593e+00	4.83570995567701e+01	1.78857749346306e+02
1.51356124843621e+00	4.83569328738798e+01	1.78803885439307e+02
1.58489319246111e+00	4.83567501170907e+01	1.78747487369597e+02
1.65958690743756e+00	4.83565497371088e+01	1.78688435947086e+02
1.73780082874938e+00	4.83563300354675e+01	1.78626606418359e+02
1.81970085860998e+00	4.83560891500047e+01	1.78561868211673e+02
1.90546071796325e+00	4.83558250399279e+01	1.78494084670863e+02
1.99526231496888e+00	4.83555354672702e+01	1.78423112778323e+02
2.08929613085404e+00	4.83552179795806e+01	1.78348802865864e+02
2.18776162394955e+00	4.83548698877499e+01	1.78270998314146e+02
2.29086765276778e+00	4.83544882447466e+01	1.78189535239290e+02
2.39883291901949e+00	4.83540698200934e+01	1.78104242167280e+02
2.51188643150958e+00	4.83536110729495e+01	1.78014939695324e+02
2.63026799189538e+00	4.83531081222422e+01	1.77921440140155e+02
2.75422870333817e+00	4.83525567147503e+01	1.77823547172853e+02
2.88403150312661e+00	4.83519521889691e+01	1.77721055440427e+02
3.01995172040202e+00	4.83512894363890e+01	1.77613750173676e+02
3.16227766016838e+00	4.83505628587262e+01	1.77501406781547e+02
3.31131121482592e+00	4.83497663219239e+01	1.77383790431765e+02
3.46736850452532e+00	4.83488931044517e+01	1.77260655618499e+02
3.63078054770102e+00	4.83479358423824e+01	1.77131745716548e+02
3.80189396320562e+00	4.83468864679461e+01	1.76996792523335e+02
3.98107170553498e+00	4.83457361430161e+01	1.76855515788775e+02
4.16869383470336e+00	4.83444751868351e+01	1.76707622733857e+02
4.36515832240167e+00	4.83430929966778e+01	1.76552807559251e+02
4.57088189614876e+00	4.83415779606823e+01	1.76390750945395e+02
4.78630092322639e+00	4.83399173641382e+01	1.76221119544948e+02
5.01187233627273e+00	4.83380972853182e+01	1.76043565470924e+02
5.24807460249774e+00	4.83361024852956e+01	1.75857725780733e+02
5.49540873857626e+00	4.83339162831632e+01	1.75663221962464e+02
5.75439937337158e+00	4.83315204242459e+01	1.75459659423179e+02
6.02559586074359e+00	4.83288949356824e+01	1.75246626985297e+02
6.30957344480195e+00	4.83260179677154e+01	1.75023696396450e+02
6.60693448007598e+00	4.83228656241395e+01	1.74790421856071e+02
6.91830970918938e+00	4.83194117759665e+01	1.74546339567866e+02
7.24435960074992e+00	4.83156278611110e+01	1.74290967323621e+02
7.58577575029186e+00	4.83114826667763e+01	1.74023804128334e+02
7.94328234724284e+00	4.83069420946268e+01	1.73744329875975e+02
8.31763771102674e+00	4.83019689063789e+01	1.73452005088260e+02
8.70963589956084e+00	4.82965224514301e+01	1.73146270727594e+02
