Freq.	V(vf)
1.00000000000000e+00	4.84149157701291e+01	1.79997367627825e+02
1.04712854805090e+00	4.84149157696432e+01	1.79997176478139e+02
1.09647819614319e+00	4.84149157690993e+01	1.79996979339383e+02
1.14815362149688e+00	4.84149157683115e+01	1.79996775793402e+02
1.20226443461741e+00	4.84149157674559e+01	1.79996565408446e+02
1.25892541179417e+00	4.84149157667075e+01	1.79996347738261e+02
1.31825673855641e+00	4.84149157656983e+01	1.79996122321140e+02
1.38038426460289e+00	4.84149157646020e+01	1.79995888678941e+02
1.44543977074593e+00	4.84149157635918e+01	1.79995646316080e+02
1.51356124843621e+00	4.84149157622973e+01	1.79995394718471e+02
1.58489319246111e+00	4.84149157608900e+01	1.79995133352443e+02
1.65958690743756e+00	4.84149157593593e+01	1.79994861663602e+02
1.73780082874938e+00	4.84149157576940e+01	1.79994579075662e+02
1.81970085860998e+00	4.84149157557003e+01	1.79994284989214e+02
1.90546071796325e+00	4.84149157537267e+01	1.79993978780462e+02
1.99526231496888e+00	4.84149157513954e+01	1.79993659799897e+02
2.08929613085404e+00	4.84149157490521e+01	1.79993327370916e+02
2.18776162394955e+00	4.84149157463165e+01	1.79992980788396e+02
2.29086765276778e+00	4.84149157433492e+01	1.79992619317186e+02
2.39883291901949e+00	4.84149157401282e+01	1.79992242190559e+02
2.51188643150958e+00	4.84149157364482e+01	1.79991848608578e+02
2.63026799189538e+00	4.84149157326448e+01	1.79991437736404e+02
2.75422870333817e+00	4.84149157283261e+01	1.79991008702520e+02
2.88403150312661e+00	4.84149157234610e+01	1.79990560596890e+02
3.01995172040202e+00	4.84149157183756e+01	1.79990092469020e+02
3.16227766016838e+00	4.84149157126698e+01	1.79989603325949e+02
3.31131121482592e+00	4.84149157064820e+01	1.79989092130139e+02
3.46736850452532e+00	4.84149156995848e+01	1.79988557797275e+02
3.63078054770102e+00	4.84149156921087e+01	1.79987999193966e+02
3.80189396320562e+00	4.84149156839976e+01	1.79987415135339e+02
3.98107170553498e+00	4.84149156750093e+01	1.79986804382527e+02
4.16869383470336e+00	4.84149156650769e+01	1.79986165640043e+02
4.36515832240167e+00	4.84149156543078e+01	1.79985497553027e+02
4.57088189614876e+00	4.84149156424402e+01	1.79984798704378e+02
4.78630092322639e+00	4.84149156293859e+01	1.79984067611745e+02
5.01187233627273e+00	4.84149156150477e+01	1.79983302724382e+02
5.24807460249774e+00	4.84149155993194e+01	1.79982502419860e+02
5.49540873857626e+00	4.84149155822651e+01	1.79981665000627e+02
5.75439937337158e+00	4.84149155633952e+01	1.79980788690405e+02
6.02559586074359e+00	4.84149155425694e+01	1.79979871630422e+02
6.30957344480195e+00	4.84149155192721e+01	1.79978911875474e+02
6.60693448007598e+00	4.84149154944205e+01	1.79977907389788e+02
6.91830970918938e+00	4.84149154672869e+01	1.79976856042718e+02
7.24435960074992e+00	4.84149154373066e+01	1.79975755604218e+02
7.58577575029186e+00	4.84149154046190e+01	1.79974603740108e+02
7.94328234724284e+00	4.84149153687999e+01	1.79973398007133e+02
8.31763771102674e+00	4.84149153295820e+01	1.79972135847772e+02
8.70963589956084e+00	4.84149152863102e+01	1.79970814584818e+02
9.12010839355913e+00	4.84149152390257e+01	1.79969431415694e+02
9.54992586021439e+00	4.84149151871945e+01	1.79967983406517e+02
1.00000000000000e+01	4.84149151304312e+01	1.79966467485864e+02
1.04712854805090e+01	4.84149150681305e+01	1.79964880438269e+02
1.09647819614319e+01	4.84149149996475e+01	1.79963218897393e+02
1.14815362149689e+01	4.84149149248350e+01	1.79961479338885e+02
1.20226443461742e+01	4.84149148425917e+01	1.79959658072914e+02
1.25892541179417e+01	4.84149147524868e+01	1.79957751236333e+02
1.31825673855641e+01	4.84149146536677e+01	1.79955754784490e+02
1.38038426460289e+01	4.84149145446747e+01	1.79953664482650e+02
1.44543977074593e+01	4.84149144259680e+01	1.79951475897001e+02
1.51356124843621e+01	4.84149142957573e+01	1.79949184385270e+02
1.58489319246112e+01	4.84149141527108e+01	1.79946785086861e+02
1.65958690743757e+01	4.84149139961268e+01	1.79944272912545e+02
1.73780082874938e+01	4.84149138244769e+01	1.79941642533673e+02
1.81970085860999e+01	4.84149136363010e+01	1.79938888370870e+02
1.90546071796326e+01	4.84149134291108e+01	1.79936004582204e+02
1.99526231496889e+01	4.84149132028171e+01	1.79932985050776e+02
2.08929613085405e+01	4.84149129546479e+01	1.79929823371775e+02
2.18776162394956e+01	4.84149126825732e+01	1.79926512838873e+02
2.29086765276778e+01	4.84149123842043e+01	1.79923046430008e+02
2.39883291901950e+01	4.84149120562326e+01	1.79919416792491e+02
2.51188643150959e+01	4.84149116976690e+01	1.79915616227387e+02
2.63026799189540e+01	4.84149113043945e+01	1.79911636673226e+02
2.75422870333818e+01	4.84149108729355e+01	1.79907469688877e+02
2.88403150312662e+01	4.84149103995372e+01	1.79903106435651e+02
