time	I(Rl)
0.000000000000000e+00	2.000969e-02
4.386408228147780e-02	2.088062e-02
8.772816456295560e-02	2.188343e-02
1.315922468444334e-01	2.301813e-02
1.754563291259112e-01	2.428472e-02
2.193204114073890e-01	2.568320e-02
2.631844936888668e-01	2.721356e-02
3.070485759703445e-01	2.887582e-02
3.373342902560588e-01	3.012853e-02
3.676200045417731e-01	3.156976e-02
3.979057188274874e-01	3.319950e-02
4.281914331132017e-01	3.501777e-02
4.584771473989160e-01	3.702455e-02
4.887628616846303e-01	3.921985e-02
5.190485759703446e-01	4.160368e-02
5.400485759703446e-01	4.340698e-02
5.610485759703446e-01	4.548121e-02
5.820485759703447e-01	4.782636e-02
6.030485759703447e-01	5.044244e-02
6.240485759703447e-01	5.332945e-02
6.450485759703448e-01	5.648738e-02
6.660485759703447e-01	5.991624e-02
6.806200045417733e-01	6.251167e-02
6.951914331132019e-01	6.549656e-02
7.097628616846305e-01	6.887092e-02
7.243342902560591e-01	7.263475e-02
7.389057188274877e-01	7.678805e-02
7.534771473989162e-01	8.133082e-02
7.680485759703448e-01	8.626306e-02
7.779057188274877e-01	8.991119e-02
7.877628616846306e-01	9.408257e-02
7.976200045417734e-01	9.877721e-02
8.074771473989163e-01	1.039951e-01
8.173342902560592e-01	1.097363e-01
8.271914331132020e-01	1.160007e-01
8.370485759703449e-01	1.227883e-01
8.437628616846305e-01	1.278358e-01
8.504771473989163e-01	1.335708e-01
8.571914331132020e-01	1.399932e-01
8.639057188274878e-01	1.471030e-01
8.706200045417735e-01	1.549002e-01
8.773342902560592e-01	1.633849e-01
8.840485759703449e-01	1.725571e-01
8.887628616846306e-01	1.795632e-01
8.934771473989164e-01	1.875028e-01
8.981914331132020e-01	1.963757e-01
9.029057188274878e-01	2.061821e-01
9.076200045417735e-01	2.169218e-01
9.123342902560593e-01	2.285949e-01
9.170485759703449e-01	2.412015e-01
9.201914331132021e-01	2.503679e-01
9.233342902560593e-01	2.606245e-01
9.264771473989164e-01	2.719713e-01
9.296200045417735e-01	2.844085e-01
9.327628616846306e-01	2.979358e-01
9.359057188274879e-01	3.125534e-01
9.390485759703450e-01	3.282613e-01
9.413342902560593e-01	3.406158e-01
9.436200045417735e-01	3.544164e-01
9.459057188274879e-01	3.696632e-01
9.481914331132021e-01	3.863562e-01
9.504771473989164e-01	4.044954e-01
9.527628616846306e-01	4.240808e-01
9.550485759703450e-01	4.451123e-01
9.580485759703450e-01	4.769477e-01
9.610485759703450e-01	5.136889e-01
9.640485759703450e-01	5.565650e-01
9.660485759703450e-01	5.893609e-01
9.680485759703450e-01	6.262652e-01
9.700485759703450e-01	6.681018e-01
9.720485759703450e-01	7.159306e-01
9.730485759703450e-01	7.425095e-01
9.740485759703450e-01	7.711389e-01
9.750485759703450e-01	8.020658e-01
9.760485759703450e-01	8.355783e-01
9.770485759703450e-01	8.720149e-01
9.780485759703450e-01	9.117762e-01
9.790485759703450e-01	9.553389e-01
9.800485759703450e-01	1.003276e+00
9.810485759703450e-01	1.056281e+00
9.820485759703450e-01	1.115203e+00
9.830485759703450e-01	1.181091e+00
9.840485759703450e-01	1.255256e+00
9.850485759703450e-01	1.338221e+00
9.856820520104539e-01	1.396310e+00
9.861419279195411e-01	1.441964e+00
9.864209142896934e-01	1.471170e+00
9.865715923129743e-01	1.487502e+00
9.866539211401368e-01	1.495370e+00
9.867329177690149e-01	1.500211e+00
9.867413226890253e-01	1.500183e+00
9.867581325290459e-01	1.499330e+00
9.867917522090871e-01	1.497430e+00
9.868326478131201e-01	1.494740e+00
9.869144390211861e-01	1.487611e+00
9.870780214373182e-01	1.465635e+00
9.872572397148306e-01	1.430026e+00
9.873423821631344e-01	1.408355e+00
9.873985094188177e-01	1.392595e+00
9.874721938202465e-01	1.371686e+00
9.875093085059211e-01	1.361260e+00
9.875442324626047e-01	1.351532e+00
9.875789301458907e-01	1.341996e+00
9.876264472845977e-01	1.329193e+00
9.877038835214681e-01	1.308733e+00
9.877833277309501e-01	1.288486e+00
9.879422161499142e-01	1.249838e+00
9.881303668017116e-01	1.207327e+00
9.885066681053065e-01	1.130881e+00
9.890021129402349e-01	1.044514e+00
9.898660750768443e-01	9.205459e-01
9.907174938330118e-01	8.222038e-01
9.917174938330118e-01	7.307415e-01
9.927174938330118e-01	6.569999e-01
9.937174938330118e-01	5.969110e-01
9.947174938330118e-01	5.472382e-01
9.957174938330118e-01	5.061812e-01
9.967174938330118e-01	4.729775e-01
9.977174938330118e-01	4.472239e-01
9.987174938330118e-01	4.280547e-01
9.997174938330118e-01	4.134464e-01
9.999998999999999e-01	4.102359e-01
