Freq.	Vn001)
1.00000000000000e+01	6.65584896984423e+01	-2.42608290478841e-03
1.00200000000000e+04	6.65531691035797e+01	-2.43017966821162e+00
2.00300000000000e+04	6.65372633093635e+01	-4.85342410860761e+00
3.00400000000000e+04	6.65108749839568e+01	-7.26772184649313e+00
4.00500000000000e+04	6.64741713717736e+01	-9.66875831289371e+00
5.00600000000000e+04	6.64273805504191e+01	-1.20523909150550e+01
6.00700000000000e+04	6.63707869554962e+01	-1.44146956966420e+01
7.00800000000000e+04	6.63047257665809e+01	-1.67520096564870e+01
8.00900000000000e+04	6.62295763138931e+01	-1.90609656618767e+01
9.01000000000000e+04	6.61457548785035e+01	-2.13385185909424e+01
1.00110000000000e+05	6.60537072306249e+01	-2.35819625742324e+01
1.10120000000000e+05	6.59539011882040e+01	-2.57889397752498e+01
1.20130000000000e+05	6.58468194158862e+01	-2.79574414055928e+01
1.30140000000000e+05	6.57329526484215e+01	-3.00858018681933e+01
1.40150000000000e+05	6.56127934764270e+01	-3.21726870375329e+01
1.50160000000000e+05	6.54868307914219e+01	-3.42170777513813e+01
1.60170000000000e+05	6.53555449515401e+01	-3.62182496123867e+01
1.70180000000000e+05	6.52194036884553e+01	-3.81757501367095e+01
1.80190000000000e+05	6.50788587528741e+01	-4.00893742325045e+01
1.90200000000000e+05	6.49343432666544e+01	-4.19591388629336e+01
2.00210000000000e+05	6.47862697327831e+01	-4.37852576259463e+01
2.10220000000000e+05	6.46350286426002e+01	-4.55681158534390e+01
2.20230000000000e+05	6.44809876129442e+01	-4.73082467068388e+01
2.30240000000000e+05	6.43244909811573e+01	-4.90063086155369e+01
2.40250000000000e+05	6.41658597876848e+01	-5.06630643028459e+01
2.50260000000000e+05	6.40053920783549e+01	-5.22793615465383e+01
2.60270000000000e+05	6.38433634646286e+01	-5.38561157526675e+01
2.70280000000000e+05	6.36800278829539e+01	-5.53942943364676e+01
2.80290000000000e+05	6.35156185057052e+01	-5.68949028902634e+01
2.90300000000000e+05	6.33503487575071e+01	-5.83589730428577e+01
3.00310000000000e+05	6.31844134018273e+01	-5.97875519241988e+01
3.10320000000000e+05	6.30179896653304e+01	-6.11816931045473e+01
3.20330000000000e+05	6.28512383764412e+01	-6.25424488975004e+01
3.30340000000000e+05	6.26843050966112e+01	-6.38708638871209e+01
3.40350000000000e+05	6.25173212281355e+01	-6.51679695470225e+01
3.50360000000000e+05	6.23504050882965e+01	-6.64347798471599e+01
3.60370000000000e+05	6.21836629387737e+01	-6.76722877084299e+01
3.70380000000000e+05	6.20171899660571e+01	-6.88814622168692e+01
3.80390000000000e+05	6.18510712073205e+01	-7.00632464791548e+01
3.90400000000000e+05	6.16853824210033e+01	-7.12185560455228e+01
4.00410000000000e+05	6.15201909003551e+01	-7.23482778063629e+01
4.10420000000000e+05	6.13555562308519e+01	-7.34532692964992e+01
4.20430000000000e+05	6.11915309923690e+01	-7.45343583384288e+01
4.30440000000000e+05	6.10281614081768e+01	-7.55923429712356e+01
4.40450000000000e+05	6.08654879429606e+01	-7.66279916148808e+01
4.50460000000000e+05	6.07035458521658e+01	-7.76420434221790e+01
4.60470000000000e+05	6.05423656859951e+01	-7.86352087909982e+01
4.70480000000000e+05	6.03819737502587e+01	-7.96081699938906e+01
4.80490000000000e+05	6.02223925273952e+01	-8.05615819055869e+01
4.90500000000000e+05	6.00636410603271e+01	-8.14960728026549e+01
5.00510000000000e+05	5.99057353017272e+01	-8.24122452115126e+01
5.10520000000000e+05	5.97486884319046e+01	-8.33106768006408e+01
5.20530000000000e+05	5.95925111469254e+01	-8.41919212830059e+01
5.30540000000000e+05	5.94372119204214e+01	-8.50565093413592e+01
5.40550000000000e+05	5.92827972403455e+01	-8.59049495438969e+01
5.50560000000000e+05	5.91292718235551e+01	-8.67377292615716e+01
5.60570000000000e+05	5.89766388096902e+01	-8.75553155689732e+01
5.70580000000000e+05	5.88248999363217e+01	-8.83581561272718e+01
5.80590000000000e+05	5.86740556970736e+01	-8.91466800469375e+01
5.90600000000000e+05	5.85241054842316e+01	-8.99212987259450e+01
6.00610000000000e+05	5.83750477172626e+01	-9.06824066621420e+01
6.10620000000000e+05	5.82268799584666e+01	-9.14303822344533e+01
6.20630000000000e+05	5.80795990171558e+01	-9.21655884604770e+01
6.30640000000000e+05	5.79332010431414e+01	-9.28883737169638e+01
6.40650000000000e+05	5.77876816108763e+01	-9.35990724380664e+01
6.50660000000000e+05	5.76430357948636e+01	-9.42980057790553e+01
6.60670000000000e+05	5.74992582373060e+01	-9.49854822518896e+01
6.70680000000000e+05	5.73563432086870e+01	-9.56617983302565e+01
6.80690000000000e+05	5.72142846620573e+01	-9.63272390311556e+01
6.90700000000000e+05	5.70730762814627e+01	-9.69820784609697e+01
7.00710000000000e+05	5.69327115252971e+01	-9.76265803431502e+01
7.10720000000000e+05	5.67931836649116e+01	-9.82609985149545e+01
7.20730000000000e+05	5.66544858190072e+01	-9.88855773988206e+01
7.30740000000000e+05	5.65166109842754e+01	-9.95005524547590e+01
7.40750000000000e+05	5.63795520625604e+01	-1.00106150604026e+02
7.50760000000000e+05	5.62433018849912e+01	-1.00702590636765e+02
7.60770000000000e+05	5.61078532332974e+01	-1.01290083592074e+02
7.70780000000000e+05	5.59731988586698e+01	-1.01868833124841e+02
7.80790000000000e+05	5.58393314983627e+01	-1.02439035848753e+02
