time	V(n004)
0.000000000000000e+00	4.353402e-01
1.383360386833477e-09	4.338114e-01
4.150081160503820e-09	4.330395e-01
9.683522707844505e-09	4.330346e-01
1.647376763841974e-08	4.330309e-01
2.653596376035839e-08	4.330309e-01
3.790892580927494e-08	4.330309e-01
6.065484990710804e-08	4.330309e-01
8.970084825580889e-08	4.330309e-01
1.236514570665808e-07	4.330309e-01
1.575214025024880e-07	4.330309e-01
1.968973755356722e-07	4.330309e-01
2.390002134425811e-07	4.330309e-01
2.896248805816696e-07	4.330309e-01
3.476569956043657e-07	4.330312e-01
4.236585294273244e-07	1.611678e+00
4.556708013310959e-07	3.867618e+00
4.559743553664584e-07	3.986248e+00
4.565814634371869e-07	4.387896e+00
4.574941233719519e-07	4.969082e+00
4.579302470307113e-07	5.230465e+00
4.584417438634849e-07	5.518214e+00
4.587141814516363e-07	5.660185e+00
4.591120116559186e-07	5.815754e+00
4.599076720644866e-07	5.957876e+00
4.611899970857366e-07	6.000600e+00
4.626288213835271e-07	5.999660e+00
4.644661501885154e-07	6.000243e+00
4.681408077984922e-07	5.999918e+00
4.754901230184456e-07	6.000034e+00
4.901887534583526e-07	5.999987e+00
5.162676399572578e-07	6.000007e+00
5.618610770157749e-07	5.999998e+00
6.248574964472746e-07	6.000002e+00
7.225137464472740e-07	6.000000e+00
1.015482496447272e-06	6.000000e+00
1.210794996447271e-06	6.000000e+00
1.406107496447270e-06	6.000000e+00
1.601419996447269e-06	6.000000e+00
1.699076246447268e-06	6.000000e+00
1.796732496447268e-06	6.000000e+00
1.894388746447267e-06	6.000000e+00
1.992044996447266e-06	6.000000e+00
2.089701246447266e-06	6.000000e+00
2.187357496447265e-06	6.000000e+00
2.285013746447265e-06	6.000002e+00
2.340930067715797e-06	5.999997e+00
2.376523435853413e-06	6.000000e+00
2.413485384775296e-06	5.999987e+00
2.427993909361645e-06	5.999992e+00
2.450245455370508e-06	6.000002e+00
2.475337985982781e-06	5.999998e+00
2.506103116921177e-06	6.000003e+00
2.550687202946208e-06	6.000000e+00
2.596939657796638e-06	6.000003e+00
2.689444567497498e-06	6.000000e+00
2.773297943146844e-06	6.000000e+00
2.870954193146844e-06	6.000000e+00
2.968610443146843e-06	6.000000e+00
3.066266693146842e-06	6.000000e+00
3.163922943146842e-06	6.000000e+00
3.261579193146841e-06	6.000000e+00
3.359235443146841e-06	6.000000e+00
3.456891693146840e-06	6.000000e+00
3.554547943146839e-06	6.000000e+00
3.652204193146839e-06	6.000002e+00
3.701928854777497e-06	5.999662e+00
3.706506491496247e-06	5.999996e+00
3.712610007121246e-06	6.000001e+00
3.722285535541872e-06	6.000001e+00
3.728093429769796e-06	5.894351e+00
3.730942452495416e-06	5.247260e+00
3.733201502192698e-06	3.877141e+00
3.734627389662214e-06	2.786403e+00
3.736349625806689e-06	1.624523e+00
3.738369754748216e-06	5.809208e-01
3.738969609054227e-06	4.540406e-01
3.739465591245641e-06	4.521357e-01
3.740030200485086e-06	4.505356e-01
3.741159418963975e-06	4.481149e-01
3.742381353898773e-06	4.460404e-01
3.744515062183428e-06	4.433457e-01
3.747379111464897e-06	4.406644e-01
3.751712952081976e-06	4.378778e-01
3.758138535728205e-06	4.354193e-01
3.770068442214308e-06	4.336182e-01
3.792340519886574e-06	4.330159e-01
3.836884675231108e-06	4.330385e-01
3.896402961130431e-06	4.330489e-01
3.994059211130430e-06	4.330475e-01
4.091715461130430e-06	4.330415e-01
4.189371711130429e-06	4.330363e-01
4.287027961130429e-06	4.330394e-01
4.384684211130428e-06	4.330394e-01
4.482340461130427e-06	4.330362e-01
4.579996711130427e-06	4.330392e-01
4.677652961130426e-06	4.330423e-01
4.775309211130426e-06	4.330404e-01
4.826180842752070e-06	4.330364e-01
4.865036226839784e-06	4.330339e-01
4.892472149019866e-06	4.330378e-01
4.925572617366529e-06	4.330429e-01
4.960452879660355e-06	4.330440e-01
5.006468949848875e-06	4.330461e-01
5.078848112895523e-06	4.330471e-01
5.150658549719304e-06	4.330455e-01
5.248314799719303e-06	4.330306e-01
5.298361504706079e-06	4.324916e-01
5.299887383612329e-06	4.326611e-01
5.302939141424829e-06	4.330325e-01
5.309042657049828e-06	4.330318e-01
5.319874729796833e-06	4.346167e-01
5.341538875290848e-06	1.030215e+00
5.349621345981755e-06	2.825855e+00
5.354836018123920e-06	5.605559e+00
5.355116845585920e-06	5.758519e+00
5.355678500509915e-06	5.943695e+00
5.356008376224143e-06	5.991813e+00
5.356300293476552e-06	5.999066e+00
5.356610174194263e-06	5.999841e+00
5.357118350375710e-06	5.999990e+00
5.359286338578291e-06	5.999995e+00
5.361454326780872e-06	6.000000e+00
5.363622314983454e-06	6.000002e+00
5.365790303186035e-06	6.000004e+00
5.367958291388617e-06	6.000004e+00
5.370126279591197e-06	6.000003e+00
5.372294267793779e-06	6.000000e+00
5.379702876542394e-06	6.000000e+00
5.392642750853479e-06	6.000000e+00
5.418522499475650e-06	6.000000e+00
5.457419756205010e-06	6.000000e+00
5.535214269663729e-06	6.000000e+00
5.730526769663728e-06	6.000000e+00
5.828183019663727e-06	6.000000e+00
6.023495519663726e-06	6.000000e+00
6.218808019663725e-06	6.000000e+00
6.414120519663724e-06	6.000000e+00
6.511776769663723e-06	6.000000e+00
6.609433019663723e-06	6.000000e+00
6.707089269663722e-06	6.000000e+00
6.804745519663721e-06	6.000000e+00
6.902401769663721e-06	6.000000e+00
7.000058019663720e-06	6.000000e+00
7.097714269663720e-06	6.000000e+00
7.195370519663719e-06	6.000000e+00
7.252102088871920e-06	6.000000e+00
7.288330170553440e-06	6.000000e+00
7.325458389680585e-06	6.000000e+00
7.339700540884700e-06	6.000000e+00
7.362212141234021e-06	6.000000e+00
7.387303670809661e-06	6.000000e+00
7.417308893822864e-06	6.000000e+00
7.459881371986731e-06	6.000000e+00
7.505248272187328e-06	6.000000e+00
7.585006654313056e-06	6.000000e+00
7.667322816684286e-06	6.000000e+00
7.764979066684285e-06	6.000000e+00
7.862635316684285e-06	6.000000e+00
7.960291566684284e-06	6.000000e+00
8.057947816684283e-06	6.000000e+00
8.155604066684283e-06	6.000000e+00
8.253260316684282e-06	6.000000e+00
8.350916566684282e-06	6.000000e+00
8.448572816684281e-06	6.000000e+00
8.546229066684280e-06	6.000000e+00
8.598639203928904e-06	6.000000e+00
8.600165082835154e-06	6.000000e+00
8.603216840647653e-06	6.000000e+00
8.609320356272653e-06	6.000000e+00
8.618294026762991e-06	6.000000e+00
8.633281287288204e-06	6.000000e+00
8.644066739260413e-06	6.000000e+00
8.644134213955647e-06	6.000000e+00
8.644269163346116e-06	5.993086e+00
8.644539062127056e-06	5.930773e+00
8.644748850331046e-06	5.815456e+00
8.644987914408540e-06	5.628115e+00
8.645466042563525e-06	5.232682e+00
8.646176941459292e-06	4.650999e+00
8.647598739250830e-06	3.537100e+00
8.650017194044681e-06	1.772616e+00
8.651688675897748e-06	7.406633e-01
8.652420183569770e-06	5.026192e-01
