time	I(Rl)
0.000000000000000e+00	1.320732e-02
1.436158171375642e-02	1.339905e-02
2.872316342751283e-02	1.359716e-02
4.308474514126925e-02	1.380166e-02
5.744632685502567e-02	1.401253e-02
7.180790856878208e-02	1.422979e-02
8.616949028253851e-02	1.445342e-02
1.005310719962949e-01	1.468343e-02
1.006310719962949e-01	1.468507e-02
1.152453577105795e-01	1.492646e-02
1.298596434248641e-01	1.517714e-02
1.444739291391486e-01	1.543711e-02
1.590882148534332e-01	1.570635e-02
1.737025005677179e-01	1.598488e-02
1.883167862820024e-01	1.627269e-02
2.029310719962870e-01	1.656978e-02
2.030310719962870e-01	1.657186e-02
2.176453577105711e-01	1.687947e-02
2.322596434248552e-01	1.720076e-02
2.468739291391393e-01	1.753571e-02
2.614882148534234e-01	1.788434e-02
2.761025005677076e-01	1.824664e-02
2.907167862819917e-01	1.862261e-02
3.053310719962757e-01	1.901225e-02
3.054310719962757e-01	1.901499e-02
3.200453577105599e-01	1.942018e-02
3.346596434248439e-01	1.984670e-02
3.492739291391281e-01	2.029455e-02
3.638882148534122e-01	2.076374e-02
3.785025005676963e-01	2.125425e-02
3.931167862819804e-01	2.176610e-02
4.077310719962645e-01	2.229929e-02
4.078310719962644e-01	2.230305e-02
4.224453577105486e-01	2.286043e-02
4.370596434248327e-01	2.345380e-02
4.516739291391168e-01	2.408316e-02
4.662882148534009e-01	2.474851e-02
4.809025005676850e-01	2.544985e-02
4.955167862819691e-01	2.618718e-02
5.101310719962532e-01	2.696050e-02
5.102310719962532e-01	2.696601e-02
5.248453577105373e-01	2.777934e-02
5.394596434248214e-01	2.866059e-02
5.540739291391055e-01	2.960973e-02
5.686882148533896e-01	3.062679e-02
5.833025005676737e-01	3.171174e-02
5.979167862819579e-01	3.286461e-02
6.125310719962419e-01	3.408537e-02
6.126310719962419e-01	3.409417e-02
6.272453577105260e-01	3.538464e-02
6.418596434248102e-01	3.682755e-02
6.564739291390942e-01	3.842290e-02
6.710882148533783e-01	4.017070e-02
6.857025005676625e-01	4.207094e-02
7.003167862819466e-01	4.412362e-02
7.149310719962306e-01	4.632875e-02
7.150310719962306e-01	4.634501e-02
7.275310719962292e-01	4.836215e-02
7.400310719962279e-01	5.068476e-02
7.525310719962265e-01	5.331283e-02
7.650310719962251e-01	5.624637e-02
7.775310719962237e-01	5.948537e-02
7.900310719962224e-01	6.302984e-02
8.025310719962210e-01	6.687978e-02
8.174310719962193e-01	7.233775e-02
8.253167862819327e-01	7.544256e-02
8.332025005676462e-01	7.900519e-02
8.410882148533596e-01	8.302565e-02
8.489739291390730e-01	8.750393e-02
8.568596434247865e-01	9.244002e-02
8.647453577104999e-01	9.783395e-02
