time	I(R4)
0.000000000000000e+00	3.233527e-08
9.999999960041972e-12	3.233579e-08
1.999999992008394e-11	3.233628e-08
7.999999968033578e-11	3.233804e-08
1.599999993606716e-10	3.233873e-08
3.199999987213431e-10	3.233851e-08
6.125714261237142e-09	3.233760e-08
1.193142852375294e-08	3.233689e-08
1.773714278626874e-08	3.233641e-08
2.354285704878454e-08	3.233613e-08
2.934857131130034e-08	3.233607e-08
3.515428557381613e-08	3.233623e-08
4.095999983633192e-08	3.233659e-08
1.000000000000000e-03	3.233611e-08
1.000003159324314e-03	3.226041e-08
1.000009477972942e-03	3.221182e-08
1.000022115270199e-03	3.220877e-08
1.000035731252814e-03	3.220892e-08
1.000048535960340e-03	3.220951e-08
1.000070353375865e-03	3.221196e-08
1.000106573448965e-03	3.221507e-08
1.000179013595167e-03	3.222150e-08
1.000323893887570e-03	3.223226e-08
1.000520880535930e-03	3.224416e-08
1.000741633006915e-03	3.225416e-08
1.001000196326671e-03	3.226227e-08
1.001346350330178e-03	3.226878e-08
1.001850101210693e-03	3.227325e-08
1.002349134443945e-03	3.227431e-08
1.002825262082142e-03	3.227446e-08
1.003306771734423e-03	3.227873e-08
1.003573114571316e-03	3.229203e-08
1.003817318838270e-03	3.233524e-08
1.004083623557782e-03	3.245311e-08
1.004278484858657e-03	3.263057e-08
1.004464890011262e-03	3.287580e-08
1.004646802725306e-03	3.293777e-08
1.004776021771069e-03	3.244071e-08
1.004887543569826e-03	3.116751e-08
1.004992012784925e-03	2.960615e-08
1.005104870992625e-03	2.868061e-08
1.005200674777058e-03	3.452783e-08
1.005310602761966e-03	6.821968e-08
1.005412864580928e-03	1.160023e-07
1.005531403334412e-03	1.519270e-07
1.005647455500988e-03	1.705854e-07
1.005779433569052e-03	1.923128e-07
1.006043389705179e-03	2.373235e-07
1.006441089421531e-03	3.075229e-07
1.006839545767171e-03	3.806352e-07
1.007431013252300e-03	4.935837e-07
1.008020907179712e-03	6.121470e-07
1.008884025092260e-03	8.008143e-07
1.009802219278018e-03	1.023783e-06
1.010000000000000e-03	1.078868e-06
1.010004745023438e-03	1.079105e-06
