time	V(Vreg,N001)*(-Ic(Q7))
0.000000000000000e+00	7.502561e-01
9.999999717180685e-10	7.502562e-01
1.999999943436137e-09	7.502562e-01
3.999999886872274e-09	7.502562e-01
3.999999886872275e-08	7.502562e-01
7.599999785057324e-08	7.502562e-01
1.119999968324237e-07	7.502561e-01
1.479999958142742e-07	7.502561e-01
1.839999947961247e-07	7.502561e-01
2.199999937779752e-07	7.502561e-01
2.559999927598255e-07	7.502561e-01
5.119999855196511e-07	7.502562e-01
1.023999971039302e-06	7.502566e-01
2.047999942078604e-06	7.502574e-01
4.095999884157209e-06	7.502590e-01
8.191999768314417e-06	7.502620e-01
1.638399953662883e-05	7.502681e-01
3.276799907325767e-05	7.502802e-01
6.553599814651534e-05	7.503039e-01
1.310719962930307e-04	7.503508e-01
2.621439925860614e-04	7.504447e-01
9.023437500097656e-03	7.567740e-01
9.348160561166979e-03	7.570107e-01
9.355340511250110e-03	7.570158e-01
9.364913778027619e-03	7.570228e-01
9.422353378692671e-03	7.570648e-01
9.916270778062916e-03	7.574252e-01
9.956851672224673e-03	7.574547e-01
9.957851672224672e-03	7.574554e-01
9.959851672224672e-03	7.574570e-01
9.963851672224673e-03	7.574597e-01
9.984000000000000e-03	7.574744e-01
9.986999999999999e-03	7.574766e-01
9.991000000000000e-03	7.574797e-01
9.994000000000003e-03	7.574816e-01
9.995999999999996e-03	7.574832e-01
9.999999999999983e-03	7.574862e-01
1.000000000000000e-02	7.574862e-01
1.000000000000003e-02	7.574862e-01
1.000000000000010e-02	7.574862e-01
1.000000000000024e-02	7.574862e-01
1.000000000000052e-02	7.574862e-01
1.000000000000108e-02	7.574862e-01
1.000000000000219e-02	7.574862e-01
1.000000000000441e-02	7.574862e-01
1.000000000000885e-02	7.574862e-01
1.000000000001773e-02	7.574862e-01
1.000000000003549e-02	7.574862e-01
1.000000000007102e-02	7.574862e-01
1.000000000014207e-02	7.574862e-01
1.000000000028418e-02	7.574862e-01
1.000000000056840e-02	7.574862e-01
1.000014285763006e-02	7.574863e-01
1.000028571469171e-02	7.574864e-01
1.000042857175337e-02	7.574865e-01
1.000057142881503e-02	7.574866e-01
1.000071428587669e-02	7.574867e-01
1.000085714293834e-02	7.574868e-01
1.000100000000000e-02	7.574869e-01
1.000136355819705e-02	7.574872e-01
1.000172711639410e-02	7.574875e-01
1.000209067459116e-02	7.574877e-01
1.000245423278821e-02	7.574880e-01
1.000281779098526e-02	7.574883e-01
1.000318134918231e-02	7.574886e-01
1.000354490737936e-02	7.574889e-01
1.500100000000000e-02	7.611543e-01
1.500200000000000e-02	7.611548e-01
3.000000000000000e-02	7.723727e-01
3.000100000000000e-02	7.723735e-01
3.500100000000000e-02	7.761872e-01
3.500200000000000e-02	7.761880e-01
5.000000000000000e-02	7.878587e-01
5.000100000000000e-02	7.878595e-01
5.500100000000000e-02	7.918287e-01
5.500200000000000e-02	7.918296e-01
7.000000000000001e-02	8.039814e-01
7.000099999999999e-02	8.039819e-01
7.500100000000000e-02	8.081167e-01
7.500200000000000e-02	8.081176e-01
9.000000000000000e-02	8.207806e-01
9.000100000000000e-02	8.207814e-01
9.500100000000000e-02	8.250922e-01
9.500200000000000e-02	8.250930e-01
1.100000000000000e-01	8.383004e-01
1.100010000000000e-01	8.383013e-01
1.150010000000000e-01	8.427992e-01
1.150020000000000e-01	8.428001e-01
1.300000000000000e-01	8.565883e-01
1.300010000000000e-01	8.565893e-01
1.350010000000000e-01	8.612871e-01
1.350020000000000e-01	8.612881e-01
1.500000000000000e-01	8.756960e-01
1.500006076655203e-01	8.756967e-01
1.500010000000000e-01	8.756970e-01
1.550010000000000e-01	8.806086e-01
1.550020000000000e-01	8.806093e-01
1.700000000000000e-01	8.956802e-01
1.700010000000000e-01	8.956813e-01
1.750010000000000e-01	9.008214e-01
1.750020000000000e-01	9.008225e-01
1.900000000000000e-01	9.166031e-01
1.900010000000000e-01	9.166038e-01
1.950010000000000e-01	9.219890e-01
1.950020000000000e-01	9.219902e-01
2.100000000000000e-01	9.385323e-01
2.100010000000000e-01	9.385334e-01
2.150010000000000e-01	9.441816e-01
2.150020000000000e-01	9.441828e-01
2.300000000000000e-01	9.615434e-01
2.300010000000000e-01	9.615447e-01
2.350010000000000e-01	9.674756e-01
2.350020000000000e-01	9.674768e-01
2.500000000000000e-01	9.857182e-01
2.500010000000000e-01	9.857195e-01
2.550010000000000e-01	9.919557e-01
2.550020000000000e-01	9.919571e-01
2.700000000000000e-01	1.011149e+00
2.700010000000000e-01	1.011150e+00
2.750010000000000e-01	1.017715e+00
2.750020000000000e-01	1.017717e+00
2.900000000000000e-01	1.037936e+00
2.900010000000000e-01	1.037937e+00
2.950010000000000e-01	1.044859e+00
2.950020000000000e-01	1.044860e+00
3.080314299988660e-01	1.063343e+00
3.100000000000001e-01	1.066192e+00
3.100010000000000e-01	1.066193e+00
3.150010000000000e-01	1.073501e+00
3.150019999999999e-01	1.073503e+00
3.300000000000000e-01	1.096043e+00
3.300010000000000e-01	1.096045e+00
3.350010000000000e-01	1.103772e+00
3.350020000000000e-01	1.103774e+00
3.500000000000000e-01	1.127628e+00
3.500010000000000e-01	1.127630e+00
3.550010000000000e-01	1.135816e+00
3.550020000000000e-01	1.135817e+00
3.700000000000001e-01	1.161107e+00
3.700010000000000e-01	1.161108e+00
3.750010000000000e-01	1.169794e+00
3.750019999999999e-01	1.169796e+00
3.900000000000000e-01	1.196655e+00
3.900010000000000e-01	1.196657e+00
3.950010000000000e-01	1.205891e+00
3.950020000000000e-01	1.205893e+00
4.100000000000000e-01	1.234475e+00
4.100010000000000e-01	1.234477e+00
4.150010000000000e-01	1.244314e+00
4.150020000000000e-01	1.244316e+00
4.300000000000000e-01	1.274796e+00
4.300010000000000e-01	1.274798e+00
4.350010000000000e-01	1.285299e+00
4.350019999999999e-01	1.285301e+00
4.500000000000000e-01	1.317879e+00
4.500010000000000e-01	1.317881e+00
4.549840000000004e-01	1.329079e+00
4.550010000000000e-01	1.329118e+00
4.550020000000000e-01	1.329120e+00
4.700000000000000e-01	1.364024e+00
4.700010000000000e-01	1.364026e+00
4.750010000000000e-01	1.376080e+00
4.750020000000000e-01	1.376083e+00
4.900000000000000e-01	1.413578e+00
4.900010000000000e-01	1.413580e+00
4.950010000000000e-01	1.426548e+00
4.950019999999999e-01	1.426550e+00
5.100000000000000e-01	1.466946e+00
5.100010000000000e-01	1.466948e+00
5.150010000000000e-01	1.480940e+00
5.150020000000001e-01	1.480943e+00
5.171445714285715e-01	1.487022e+00
5.192871428571429e-01	1.493154e+00
5.214297142857144e-01	1.499339e+00
5.235722857142857e-01	1.505576e+00
5.257148571428572e-01	1.511865e+00
5.278574285714286e-01	1.518207e+00
5.300000000000000e-01	1.524601e+00
5.300010000000001e-01	1.524604e+00
5.350010000000001e-01	1.539751e+00
5.350020000000001e-01	1.539754e+00
5.367238382141376e-01	1.545043e+00
5.384456764282752e-01	1.550369e+00
5.401675146424127e-01	1.555734e+00
5.418893528565504e-01	1.561137e+00
5.436111910706879e-01	1.566578e+00
5.453330292848255e-01	1.572057e+00
5.470548674989630e-01	1.577574e+00
5.474756007133968e-01	1.578928e+00
5.478963339278308e-01	1.580284e+00
5.483170671422646e-01	1.581643e+00
5.487378003566985e-01	1.583004e+00
5.491585335711323e-01	1.584368e+00
5.495792667855662e-01	1.585734e+00
5.500000000000000e-01	1.587104e+00
5.500010000000001e-01	1.587107e+00
5.507152857142857e-01	1.589437e+00
5.514295714285715e-01	1.591774e+00
5.521438571428572e-01	1.594119e+00
5.528581428571430e-01	1.596470e+00
5.535724285714286e-01	1.598828e+00
5.542867142857144e-01	1.601193e+00
5.550010000000001e-01	1.603566e+00
5.550020000000001e-01	1.603569e+00
5.561658024999078e-01	1.607452e+00
5.573296049998154e-01	1.611354e+00
5.584934074997231e-01	1.615275e+00
5.596572099996309e-01	1.619217e+00
5.608210124995385e-01	1.623177e+00
5.619848149994462e-01	1.627157e+00
5.631486174993539e-01	1.631157e+00
5.641251799992562e-01	1.634530e+00
5.651017424991585e-01	1.637916e+00
5.660783049990608e-01	1.641318e+00
5.670548674989631e-01	1.644734e+00
5.680314299988654e-01	1.648165e+00
5.683126542847418e-01	1.649154e+00
5.685938785706182e-01	1.650145e+00
5.688751028564946e-01	1.651138e+00
5.691563271423709e-01	1.652132e+00
5.694375514282473e-01	1.653127e+00
5.697187757141237e-01	1.654124e+00
5.700000000000001e-01	1.655122e+00
5.700010000000001e-01	1.655126e+00
5.705939196428718e-01	1.657236e+00
5.711868392857433e-01	1.659351e+00
5.717797589286150e-01	1.661472e+00
5.723726785714865e-01	1.663597e+00
5.729655982143582e-01	1.665728e+00
5.735585178572298e-01	1.667863e+00
5.741514375001014e-01	1.670004e+00
5.742728035715156e-01	1.670443e+00
5.743941696429297e-01	1.670883e+00
5.745155357143438e-01	1.671323e+00
5.746369017857578e-01	1.671763e+00
5.747582678571719e-01	1.672203e+00
5.748796339285860e-01	1.672643e+00
5.750010000000001e-01	1.673084e+00
5.750020000000001e-01	1.673087e+00
5.753287489285630e-01	1.674275e+00
5.756554978571258e-01	1.675465e+00
5.759822467856887e-01	1.676657e+00
5.763089957142515e-01	1.677850e+00
5.766357446428144e-01	1.679046e+00
5.769624935713772e-01	1.680243e+00
5.772892424999401e-01	1.681441e+00
5.782658049998424e-01	1.685033e+00
5.792423674997447e-01	1.688641e+00
5.802189299996470e-01	1.692265e+00
5.811954924995493e-01	1.695904e+00
5.821720549994516e-01	1.699560e+00
5.831486174993539e-01	1.703233e+00
5.841251799992562e-01	1.706924e+00
5.851017424991585e-01	1.710654e+00
5.860783049990608e-01	1.714789e+00
5.870548674989631e-01	1.723864e+00
5.880314299988654e-01	1.752626e+00
5.890079924987677e-01	1.807089e+00
5.890276820164253e-01	1.808614e+00
5.890670610517406e-01	1.812074e+00
5.891458191223711e-01	1.818987e+00
5.893033352636321e-01	1.833044e+00
5.896183675461542e-01	1.861446e+00
5.896213675461539e-01	1.861728e+00
5.896333675461529e-01	1.862842e+00
5.896493675461516e-01	1.864318e+00
5.896994578967014e-01	1.868933e+00
5.897495482472511e-01	1.873550e+00
5.897996385978009e-01	1.878169e+00
5.898497289483507e-01	1.882790e+00
5.898998192989006e-01	1.887413e+00
5.899499096494503e-01	1.892037e+00
5.900000000000001e-01	1.896663e+00
5.900010000000000e-01	1.896756e+00
5.901056676382549e-01	1.906424e+00
5.902103352765097e-01	1.916026e+00
5.903150029147646e-01	1.925562e+00
5.904196705530194e-01	1.935033e+00
5.905243381912743e-01	1.944438e+00
5.906290058295290e-01	1.953778e+00
5.907336734677839e-01	1.963053e+00
5.911877529271421e-01	2.001894e+00
5.918926538650334e-01	2.057721e+00
5.928692163649357e-01	2.126990e+00
5.938457788648380e-01	2.189032e+00
5.940244375000977e-01	2.199463e+00
5.941330192202643e-01	2.205600e+00
5.942416009404308e-01	2.211658e+00
5.943501826605974e-01	2.217637e+00
5.944587643807638e-01	2.223539e+00
5.945673461009304e-01	2.229364e+00
5.946759278210969e-01	2.235113e+00
5.947845095412635e-01	2.240786e+00
5.950010000000000e-01	2.251945e+00
5.950020000000000e-01	2.251997e+00
5.950956171428599e-01	2.256743e+00
5.951892342857197e-01	2.261446e+00
5.952828514285795e-01	2.266104e+00
5.953764685714393e-01	2.270719e+00
5.954700857142992e-01	2.275291e+00
5.955637028571590e-01	2.279819e+00
5.956573200000188e-01	2.284305e+00
5.963126800000377e-01	2.314875e+00
5.972892424999400e-01	2.358149e+00
5.982658049998423e-01	2.399105e+00
5.992423674997446e-01	2.438028e+00
6.002189299996469e-01	2.474129e+00
6.011954924995492e-01	2.505578e+00
6.021720549994515e-01	2.532866e+00
6.031486174993538e-01	2.558606e+00
6.041251799992561e-01	2.584190e+00
6.051017424991584e-01	2.609701e+00
6.060783049990607e-01	2.634977e+00
6.070548674989630e-01	2.659781e+00
6.080314299988653e-01	2.683853e+00
6.090543275027579e-01	2.708228e+00
6.091894235737925e-01	2.711331e+00
6.093245196448270e-01	2.714396e+00
6.094596157158616e-01	2.717424e+00
6.095947117868963e-01	2.720415e+00
6.097298078579309e-01	2.723369e+00
6.098649039289654e-01	2.726286e+00
6.100000000000000e-01	2.729167e+00
6.100010000000000e-01	2.729188e+00
6.100010392329839e-01	2.729189e+00
6.101046927763464e-01	2.731353e+00
6.102083463197089e-01	2.733482e+00
6.103119998630714e-01	2.735577e+00
6.104156534064339e-01	2.737637e+00
6.105193069497964e-01	2.739663e+00
