Freq.	Vn001)
1.00000000000000e+01	1.24111923190989e+01	-4.23724091803667e-04
1.00200000000000e+04	1.24111009387726e+01	-4.24570385186215e-01
2.00300000000000e+04	1.24108271666041e+01	-8.48710131411864e-01
3.00400000000000e+04	1.24103710157272e+01	-1.27283605540795e+00
4.00500000000000e+04	1.24097325080210e+01	-1.69694125102638e+00
5.00600000000000e+04	1.24089116741094e+01	-2.12101881393758e+00
6.00700000000000e+04	1.24079085533575e+01	-2.54506184223630e+00
7.00800000000000e+04	1.24067231938677e+01	-2.96906343704676e+00
8.00900000000000e+04	1.24053556524709e+01	-3.39301670312765e+00
9.01000000000000e+04	1.24038059947204e+01	-3.81691474947600e+00
1.00110000000000e+05	1.24020742948861e+01	-4.24075068993203e+00
1.10120000000000e+05	1.24001606359404e+01	-4.66451764378092e+00
1.20130000000000e+05	1.23980651095551e+01	-5.08820873635661e+00
1.30140000000000e+05	1.23957878160815e+01	-5.51181709964172e+00
1.40150000000000e+05	1.23933288645444e+01	-5.93533587287010e+00
1.50160000000000e+05	1.23906883726265e+01	-6.35875820312497e+00
1.60170000000000e+05	1.23878664666519e+01	-6.78207724593782e+00
1.70180000000000e+05	1.23848632815740e+01	-7.20528616588593e+00
1.80190000000000e+05	1.23816789609539e+01	-7.62837813718892e+00
1.90200000000000e+05	1.23783136569484e+01	-8.05134634430340e+00
2.00210000000000e+05	1.23747675302855e+01	-8.47418398251537e+00
2.10220000000000e+05	1.23710407502471e+01	-8.89688425853216e+00
2.20230000000000e+05	1.23671334946494e+01	-9.31944039107598e+00
2.30240000000000e+05	1.23630459498156e+01	-9.74184561146665e+00
2.40250000000000e+05	1.23587783105586e+01	-1.01640931642136e+01
2.50260000000000e+05	1.23543307801524e+01	-1.05861763075988e+01
2.60270000000000e+05	1.23497035703100e+01	-1.10080883142589e+01
2.70280000000000e+05	1.23448969011520e+01	-1.14298224717678e+01
2.80290000000000e+05	1.23399110011855e+01	-1.18513720832146e+01
2.90300000000000e+05	1.23347461072703e+01	-1.22727304677810e+01
3.00310000000000e+05	1.23294024645918e+01	-1.26938909613146e+01
3.10320000000000e+05	1.23238803266293e+01	-1.31148469169005e+01
3.20330000000000e+05	1.23181799551256e+01	-1.35355917054340e+01
3.30340000000000e+05	1.23123016200537e+01	-1.39561187161836e+01
3.40350000000000e+05	1.23062455995800e+01	-1.43764213573567e+01
3.50360000000000e+05	1.23000121800355e+01	-1.47964930566629e+01
3.60370000000000e+05	1.22936016558738e+01	-1.52163272618679e+01
3.70380000000000e+05	1.22870143296382e+01	-1.56359174413555e+01
3.80390000000000e+05	1.22802505119221e+01	-1.60552570846751e+01
3.90400000000000e+05	1.22733105213303e+01	-1.64743397030947e+01
4.00410000000000e+05	1.22661946844385e+01	-1.68931588301448e+01
