Freq.	Vn001)
1.00000000000000e+01	7.60296995973723e+00	-4.33920397997038e-04
1.00200000000000e+04	7.60287097527595e+00	-4.34786623337037e-01
2.00300000000000e+04	7.60257454114046e+00	-8.69130062005765e-01
3.00400000000000e+04	7.60208087942237e+00	-1.30345634278127e+00
4.00500000000000e+04	7.60139010017978e+00	-1.73775850956196e+00
5.00600000000000e+04	7.60050218242425e+00	-2.17202946745857e+00
6.00700000000000e+04	7.59941706295155e+00	-2.60626154341971e+00
7.00800000000000e+04	7.59813470408337e+00	-3.04044660940287e+00
8.00900000000000e+04	7.59665511503241e+00	-3.47457632886218e+00
9.01000000000000e+04	7.59497834812922e+00	-3.90864232736004e+00
1.00110000000000e+05	7.59310448844698e+00	-4.34263627254593e+00
1.10120000000000e+05	7.59103364466621e+00	-4.77654989864615e+00
1.20130000000000e+05	7.58876594289588e+00	-5.21037500564653e+00
1.30140000000000e+05	7.58630152299635e+00	-5.64410344997117e+00
1.40150000000000e+05	7.58364053658885e+00	-6.07772713413589e+00
1.50160000000000e+05	7.58078314607035e+00	-6.51123799804800e+00
1.60170000000000e+05	7.57772952418375e+00	-6.94462801250147e+00
1.70180000000000e+05	7.57447985387843e+00	-7.37788917465346e+00
1.80190000000000e+05	7.57103432831963e+00	-7.81101350505662e+00
1.90200000000000e+05	7.56739315094412e+00	-8.24399304583932e+00
2.00210000000000e+05	7.56355653554118e+00	-8.67681985971329e+00
2.10220000000000e+05	7.55952470633139e+00	-9.10948602955812e+00
2.20230000000000e+05	7.55529789802338e+00	-9.54198365840052e+00
2.30240000000000e+05	7.55087635586438e+00	-9.97430486967864e+00
2.40250000000000e+05	7.54626033567326e+00	-1.04064418076889e+01
2.50260000000000e+05	7.54145010385109e+00	-1.08383866381677e+01
2.60270000000000e+05	7.53644593739246e+00	-1.12701315489567e+01
2.70280000000000e+05	7.53124812387085e+00	-1.17016687507306e+01
2.80290000000000e+05	7.52585696142823e+00	-1.21329904777599e+01
2.90300000000000e+05	7.52027275874499e+00	-1.25640889887028e+01
3.00310000000000e+05	7.51449583500796e+00	-1.29949565674097e+01
3.10320000000000e+05	7.50852651987613e+00	-1.34255855237340e+01
3.20330000000000e+05	7.50236515342970e+00	-1.38559681943527e+01
3.30340000000000e+05	7.49601208612849e+00	-1.42860969435762e+01
3.40350000000000e+05	7.48946767875532e+00	-1.47159641641657e+01
3.50360000000000e+05	7.48273230235997e+00	-1.51455622781445e+01
3.60370000000000e+05	7.47580633820165e+00	-1.55748837375922e+01
3.70380000000000e+05	7.46869017768286e+00	-1.60039210254482e+01
3.80390000000000e+05	7.46138422228793e+00	-1.64326666562993e+01
3.90400000000000e+05	7.45388888351212e+00	-1.68611131771562e+01
4.00410000000000e+05	7.44620458279447e+00	-1.72892531682299e+01
4.10420000000000e+05	7.43833175143971e+00	-1.77170792436919e+01
4.20430000000000e+05	7.43027083055039e+00	-1.81445840524284e+01
4.30440000000000e+05	7.42202227094453e+00	-1.85717602787882e+01
4.40450000000000e+05	7.41358653308132e+00	-1.89986006433130e+01
4.50460000000000e+05	7.40496408697803e+00	-1.94250979034653e+01
4.60470000000000e+05	7.39615541212753e+00	-1.98512448543448e+01
4.70480000000000e+05	7.38716099741813e+00	-2.02770343293920e+01
4.80490000000000e+05	7.37798134104381e+00	-2.07024592010826e+01
4.90500000000000e+05	7.36861695042001e+00	-2.11275123816184e+01
5.00510000000000e+05	7.35906834209505e+00	-2.15521868235945e+01
5.10520000000000e+05	7.34933604165754e+00	-2.19764755206675e+01
5.20530000000000e+05	7.33942058364881e+00	-2.24003715082083e+01
5.30540000000000e+05	7.32932251146766e+00	-2.28238678639466e+01
5.40550000000000e+05	7.31904237727680e+00	-2.32469577085971e+01
5.50560000000000e+05	7.30858074190809e+00	-2.36696342064897e+01
5.60570000000000e+05	7.29793817476537e+00	-2.40918905661686e+01
5.70580000000000e+05	7.28711525372805e+00	-2.45137200410016e+01
5.80590000000000e+05	7.27611256504981e+00	-2.49351159297606e+01
5.90600000000000e+05	7.26493070326064e+00	-2.53560715771998e+01
6.00610000000000e+05	7.25357027106545e+00	-2.57765803746225e+01
6.10620000000000e+05	7.24203187923959e+00	-2.61966357604325e+01
6.20630000000000e+05	7.23031614652932e+00	-2.66162312206734e+01
6.30640000000000e+05	7.21842369954407e+00	-2.70353602895677e+01
6.40650000000000e+05	7.20635517265526e+00	-2.74540165500224e+01
6.50660000000000e+05	7.19411120788539e+00	-2.78721936341456e+01
6.60670000000000e+05	7.18169245480572e+00	-2.82898852237404e+01
6.70680000000000e+05	7.16909957042619e+00	-2.87070850507819e+01
6.80690000000000e+05	7.15633321908610e+00	-2.91237868978944e+01
6.90700000000000e+05	7.14339407234656e+00	-2.95399845988072e+01
7.00710000000000e+05	7.13028280888055e+00	-2.99556720388046e+01
7.10720000000000e+05	7.11700011436056e+00	-3.03708431551551e+01
7.20730000000000e+05	7.10354668134872e+00	-3.07854919375400e+01
7.30740000000000e+05	7.08992320918396e+00	-3.11996124284600e+01
7.40750000000000e+05	7.07613040386929e+00	-3.16131987236390e+01
7.50760000000000e+05	7.06216897795937e+00	-3.20262449724031e+01
7.60770000000000e+05	7.04803965044590e+00	-3.24387453780582e+01
7.70780000000000e+05	7.03374314664416e+00	-3.28506941982566e+01
7.80790000000000e+05	7.01928019807943e+00	-3.32620857453325e+01
7.90800000000000e+05	7.00465154236889e+00	-3.36729143866599e+01
8.00810000000000e+05	6.98985792310969e+00	-3.40831745449563e+01
8.10820000000000e+05	6.97490008976046e+00	-3.44928606986113e+01
8.20830000000000e+05	6.95977879752637e+00	-3.49019673819773e+01
8.30840000000000e+05	6.94449480724314e+00	-3.53104891856661e+01
8.40850000000000e+05	6.92904888525991e+00	-3.57184207568165e+01
8.50860000000000e+05	6.91344180332375e+00	-3.61257567993630e+01
8.60870000000000e+05	6.89767433845872e+00	-3.65324920742859e+01
8.70880000000000e+05	6.88174727285431e+00	-3.69386213998537e+01
8.80890000000000e+05	6.86566139374372e+00	-3.73441396518459e+01
8.90900000000000e+05	6.84941749328777e+00	-3.77490417637690e+01
9.00910000000000e+05	6.83301636845924e+00	-3.81533227270689e+01
9.10920000000000e+05	6.81645882092350e+00	-3.85569775913082e+01
9.20930000000000e+05	6.79974565692195e+00	-3.89600014643488e+01
9.30940000000000e+05	6.78287768715375e+00	-3.93623895125300e+01
9.40950000000000e+05	6.76585572665928e+00	-3.97641369608155e+01
9.50960000000000e+05	6.74868059470335e+00	-4.01652390929307e+01
9.60970000000000e+05	6.73135311465736e+00	-4.05656912515128e+01
9.70980000000000e+05	6.71387411388298e+00	-4.09654888382132e+01
9.80990000000000e+05	6.69624442361558e+00	-4.13646273138160e+01
9.91000000000000e+05	6.67846487884687e+00	-4.17631021983348e+01
1.00101000000000e+06	6.66053631820807e+00	-4.21609090710943e+01
1.01102000000000e+06	6.64245958385808e+00	-4.25580435708113e+01
1.02103000000000e+06	6.62423552136220e+00	-4.29545013956497e+01
1.03104000000000e+06	6.60586497958101e+00	-4.33502783032821e+01
1.04105000000000e+06	6.58734881055503e+00	-4.37453701109203e+01
1.05106000000000e+06	6.56868786938677e+00	-4.41397726953568e+01
1.06107000000000e+06	6.54988301413110e+00	-4.45334819929773e+01
1.07108000000000e+06	6.53093510567868e+00	-4.49264939997677e+01
1.08109000000000e+06	6.51184500764415e+00	-4.53188047713119e+01
1.09110000000000e+06	6.49261358625304e+00	-4.57104104227863e+01
1.10111000000000e+06	6.47324171022885e+00	-4.61013071289305e+01
1.11112000000000e+06	6.45373025068373e+00	-4.64914911240090e+01
1.12113000000000e+06	6.43408008100426e+00	-4.68809587017808e+01
1.13114000000000e+06	6.41429207674391e+00	-4.72697062154292e+01
1.14115000000000e+06	6.39436711551066e+00	-4.76577300775097e+01
1.15116000000000e+06	6.37430607686010e+00	-4.80450267598675e+01
1.16117000000000e+06	6.35410984218524e+00	-4.84315927935647e+01
1.17118000000000e+06	6.33377929460851e+00	-4.88174247687740e+01
1.18119000000000e+06	6.31331531887815e+00	-4.92025193346825e+01
1.19120000000000e+06	6.29271880125538e+00	-4.95868731993835e+01
1.20121000000000e+06	6.27199062941425e+00	-4.99704831297375e+01
1.21122000000000e+06	6.25113169233454e+00	-5.03533459512676e+01
1.22123000000000e+06	6.23014288019771e+00	-5.07354585479969e+01
1.23124000000000e+06	6.20902508428148e+00	-5.11168178623127e+01
1.24125000000000e+06	6.18777919686257e+00	-5.14974208948006e+01
1.25126000000000e+06	6.16640611111126e+00	-5.18772647040880e+01
1.26127000000000e+06	6.14490672098958e+00	-5.22563464066597e+01
1.27128000000000e+06	6.12328192115297e+00	-5.26346631766841e+01
1.28129000000000e+06	6.10153260685281e+00	-5.30122122458156e+01
1.29130000000000e+06	6.07965967383447e+00	-5.33889909029960e+01
1.30131000000000e+06	6.05766401824253e+00	-5.37649964942562e+01
1.31132000000000e+06	6.03554653652440e+00	-5.41402264224914e+01
1.32133000000000e+06	6.01330812533456e+00	-5.45146781472408e+01
1.33134000000000e+06	5.99094968143687e+00	-5.48883491844617e+01
1.34135000000000e+06	5.96847210161873e+00	-5.52612371062948e+01
1.35136000000000e+06	5.94587628259070e+00	-5.56333395408100e+01
1.36137000000000e+06	5.92316312089893e+00	-5.60046541717657e+01
1.37138000000000e+06	5.90033351283377e+00	-5.63751787383455e+01
1.38139000000000e+06	5.87738835434006e+00	-5.67449110348944e+01
1.39140000000000e+06	5.85432854092898e+00	-5.71138489106506e+01
1.40141000000000e+06	5.83115496759109e+00	-5.74819902694635e+01
1.41142000000000e+06	5.80786852870821e+00	-5.78493330695119e+01
1.42143000000000e+06	5.78447011796977e+00	-5.82158753230166e+01
1.43144000000000e+06	5.76096062828733e+00	-5.85816150959393e+01
1.44145000000000e+06	5.73734095171208e+00	-5.89465505076914e+01
1.45146000000000e+06	5.71361197935294e+00	-5.93106797308055e+01
1.46147000000000e+06	5.68977460129327e+00	-5.96740009906490e+01
1.47148000000000e+06	5.66582970651429e+00	-6.00365125650900e+01
1.48149000000000e+06	5.64177818281430e+00	-6.03982127841747e+01
1.49150000000000e+06	5.61762091672884e+00	-6.07591000298043e+01
1.50151000000000e+06	5.59335879345934e+00	-6.11191727353959e+01
1.51152000000000e+06	5.56899269679005e+00	-6.14784293855583e+01
1.52153000000000e+06	5.54452350902143e+00	-6.18368685157233e+01
1.53154000000000e+06	5.51995211089176e+00	-6.21944887118280e+01
1.54155000000000e+06	5.49527938150425e+00	-6.25512886099445e+01
1.55156000000000e+06	5.47050619826256e+00	-6.29072668959246e+01
1.56157000000000e+06	5.44563343679097e+00	-6.32624223050536e+01
1.57158000000000e+06	5.42066197087267e+00	-6.36167536216744e+01
1.58159000000000e+06	5.39559267238086e+00	-6.39702596788243e+01
1.59160000000000e+06	5.37042641120892e+00	-6.43229393578663e+01
1.60161000000000e+06	5.34516405520892e+00	-6.46747915881120e+01
1.61162000000000e+06	5.31980647012364e+00	-6.50258153464417e+01
1.62163000000000e+06	5.29435451952690e+00	-6.53760096569322e+01
1.63164000000000e+06	5.26880906475818e+00	-6.57253735904648e+01
1.64165000000000e+06	5.24317096486334e+00	-6.60739062643422e+01
1.65166000000000e+06	5.21744107653485e+00	-6.64216068418977e+01
1.66167000000000e+06	5.19162025405245e+00	-6.67684745321093e+01
1.67168000000000e+06	5.16570934922471e+00	-6.71145085891888e+01
1.68169000000000e+06	5.13970921133471e+00	-6.74597083122093e+01
1.69170000000000e+06	5.11362068708077e+00	-6.78040730446826e+01
