time	I(R4)
0.000000000000000e+00	3.129459e-08
2.929687603625553e-10	3.129665e-08
5.859375207251105e-10	3.129741e-08
1.171875041450221e-09	3.129721e-08
2.343750082900442e-09	3.129669e-08
1.000000000000000e-03	3.129575e-08
1.000100460693812e-03	3.121821e-08
1.000301382081436e-03	3.118915e-08
1.000567572730478e-03	3.120470e-08
1.000862546340221e-03	3.121653e-08
1.001216502008536e-03	3.122488e-08
1.001702974142324e-03	3.123031e-08
1.002371673143023e-03	3.123223e-08
1.003142832007553e-03	3.123709e-08
1.003640160989390e-03	3.127093e-08
1.004016406533044e-03	3.137584e-08
1.004244999035028e-03	3.154432e-08
1.004446009338780e-03	3.178991e-08
1.004637009180847e-03	3.189163e-08
1.004770380185137e-03	3.148168e-08
1.004886301341235e-03	3.029408e-08
1.004991549499700e-03	2.875765e-08
1.005108727461183e-03	2.764277e-08
1.005198874407409e-03	3.225914e-08
1.005314538606979e-03	6.512358e-08
1.005416698098905e-03	1.122250e-07
1.005537014581567e-03	1.500783e-07
1.005651408666964e-03	1.686465e-07
1.005783216607435e-03	1.898802e-07
1.006046832488376e-03	2.340776e-07
1.006428439589442e-03	2.995983e-07
1.006811443429029e-03	3.670804e-07
1.007384965146114e-03	4.706196e-07
1.007961255025682e-03	5.782005e-07
1.008794808556514e-03	7.438159e-07
1.009680965712729e-03	9.367350e-07
1.010000000000000e-03	1.014379e-06
1.010004928952679e-03	1.014646e-06
1.010014786858036e-03	1.015141e-06
1.010034502668749e-03	1.016412e-06
1.010073934290177e-03	1.019833e-06
1.010197848460842e-03	1.031804e-06
1.010271042455568e-03	1.039499e-06
1.010360854759263e-03	1.049735e-06
1.010501850617259e-03	1.067553e-06
1.010655974249577e-03	1.089505e-06
1.010796025200799e-03	1.112402e-06
1.010955784028245e-03	1.143061e-06
1.011173633819610e-03	1.193610e-06
1.011428041543178e-03	1.267726e-06
1.011703041396917e-03	1.375757e-06
1.012104728512941e-03	1.596454e-06
1.012469632392872e-03	1.879305e-06
1.012761269446015e-03	2.201285e-06
1.013081419600547e-03	2.699497e-06
1.013422124221510e-03	3.455972e-06
1.013796527852443e-03	4.690070e-06
1.014222927610671e-03	6.940422e-06
1.014775923162285e-03	1.203383e-05
1.015406255537527e-03	2.391816e-05
1.016220667292567e-03	6.624852e-05
1.016994201191616e-03	3.315715e-04
1.017414540752906e-03	1.159092e-03
1.017698199046461e-03	2.737060e-03
1.017947235331313e-03	5.122617e-03
1.018206809414980e-03	8.421980e-03
1.018490009744298e-03	1.270162e-02
1.018853027711988e-03	1.870264e-02
1.019323185478409e-03	2.608538e-02
1.020013191904508e-03	3.401121e-02
1.020918734122006e-03	3.845932e-02
1.021943904930344e-03	3.764960e-02
1.023026962195477e-03	3.362713e-02
1.024180852128323e-03	2.866053e-02
1.025433404935949e-03	2.490984e-02
1.026998140602950e-03	2.381114e-02
1.028866020225841e-03	2.581470e-02
1.030947751874717e-03	2.868031e-02
1.033116507298641e-03	2.966554e-02
1.034885898965621e-03	2.892248e-02
1.036746524101605e-03	2.802586e-02
1.038783024971832e-03	2.792357e-02
1.040830400877320e-03	2.842159e-02
1.043887877901259e-03	2.899032e-02
