v1	-100*((V(vo)*I(RL))/(V(Vreg)*I(V1)))
1.000000000000000e+00	1.845527e+01
1.100000000000000e+00	3.203910e+01
1.200000000000000e+00	3.797019e+01
1.300000000000000e+00	4.208974e+01
1.400000000000000e+00	4.566427e+01
1.500000000000000e+00	4.879628e+01
1.600000000000001e+00	5.155765e+01
1.700000000000001e+00	5.400946e+01
1.800000000000001e+00	5.619967e+01
1.900000000000001e+00	5.816710e+01
2.000000000000001e+00	5.994345e+01
2.100000000000001e+00	6.155465e+01
2.200000000000001e+00	6.302218e+01
2.300000000000001e+00	6.436394e+01
2.400000000000001e+00	6.559496e+01
2.500000000000001e+00	6.672796e+01
2.600000000000001e+00	6.777377e+01
2.700000000000002e+00	6.874166e+01
2.800000000000002e+00	6.963964e+01
2.900000000000002e+00	7.047461e+01
3.000000000000002e+00	7.125262e+01
3.100000000000002e+00	7.197894e+01
3.200000000000002e+00	7.265819e+01
3.300000000000002e+00	7.329452e+01
3.400000000000002e+00	7.389151e+01
3.500000000000002e+00	7.445240e+01
3.600000000000002e+00	7.497995e+01
3.700000000000002e+00	7.547621e+01
3.800000000000002e+00	7.594147e+01
3.900000000000003e+00	7.637024e+01
4.000000000000003e+00	7.673462e+01
4.100000000000002e+00	7.694726e+01
4.200000000000002e+00	7.660818e+01
4.300000000000002e+00	7.514991e+01
4.400000000000001e+00	7.343764e+01
4.500000000000001e+00	7.179022e+01
4.600000000000001e+00	7.021336e+01
4.700000000000000e+00	6.870342e+01
4.800000000000000e+00	6.725638e+01
4.899999999999999e+00	6.586839e+01
4.999999999999999e+00	6.453592e+01
5.099999999999999e+00	6.325571e+01
5.199999999999998e+00	6.202477e+01
5.299999999999998e+00	6.084032e+01
5.399999999999998e+00	5.969982e+01
5.499999999999997e+00	5.860090e+01
5.599999999999997e+00	5.754137e+01
5.699999999999997e+00	5.651921e+01
5.799999999999996e+00	5.553253e+01
5.899999999999996e+00	5.457958e+01
5.999999999999996e+00	5.365871e+01
6.099999999999995e+00	5.276838e+01
6.199999999999995e+00	5.190711e+01
6.299999999999994e+00	5.107351e+01
6.399999999999994e+00	5.026628e+01
6.499999999999994e+00	4.948417e+01
6.599999999999993e+00	4.872600e+01
6.699999999999993e+00	4.799069e+01
6.799999999999993e+00	4.727719e+01
6.899999999999992e+00	4.658454e+01
6.999999999999992e+00	4.591181e+01
7.099999999999992e+00	4.525816e+01
7.199999999999991e+00	4.462276e+01
7.299999999999991e+00	4.400487e+01
7.399999999999991e+00	4.340375e+01
7.499999999999990e+00	4.281873e+01
7.599999999999990e+00	4.224917e+01
7.699999999999990e+00	4.169447e+01
7.799999999999989e+00	4.115402e+01
7.899999999999989e+00	4.062731e+01
7.999999999999988e+00	4.011381e+01
8.099999999999989e+00	3.961302e+01
8.199999999999989e+00	3.912449e+01
8.299999999999988e+00	3.864775e+01
8.399999999999988e+00	3.818240e+01
8.499999999999988e+00	3.772804e+01
8.599999999999987e+00	3.728426e+01
8.699999999999987e+00	3.685071e+01
8.799999999999986e+00	3.642704e+01
8.899999999999986e+00	3.601292e+01
8.999999999999986e+00	3.560803e+01
9.099999999999985e+00	3.521206e+01
9.199999999999985e+00	3.482473e+01
9.299999999999985e+00	3.444575e+01
9.399999999999984e+00	3.407486e+01
9.499999999999984e+00	3.371181e+01
9.599999999999984e+00	3.335634e+01
9.699999999999983e+00	3.300823e+01
9.799999999999983e+00	3.266724e+01
9.899999999999983e+00	3.233319e+01
1.000000000000000e+01	3.200583e+01
