time	I(Rl)
0.000000000000000e+00	3.167688e-01
7.314285507423590e-08	3.167688e-01
1.462857101484718e-07	3.167688e-01
2.194285652227077e-07	3.167688e-01
2.925714202969436e-07	3.167689e-01
3.657142753711795e-07	3.167689e-01
4.388571304454154e-07	3.167689e-01
5.119999855196511e-07	3.167689e-01
1.023999971039302e-06	3.167691e-01
2.047999942078604e-06	3.167694e-01
4.095999884157209e-06	3.167701e-01
8.191999768314417e-06	3.167714e-01
1.638399953662883e-05	3.167740e-01
3.276799907325767e-05	3.167791e-01
6.553599814651534e-05	3.167895e-01
3.829152692051403e-02	3.289157e-01
7.651751784288155e-02	3.425005e-01
1.147435087652491e-01	3.575440e-01
1.529694996876166e-01	3.740462e-01
1.911954906099841e-01	3.920070e-01
2.294214815323516e-01	4.114264e-01
2.676474724547190e-01	4.323045e-01
2.944329188832912e-01	4.481607e-01
3.212183653118633e-01	4.657940e-01
3.480038117404354e-01	4.852044e-01
3.747892581690075e-01	5.063919e-01
4.015747045975796e-01	5.293565e-01
4.283601510261517e-01	5.540982e-01
4.551455974547238e-01	5.806170e-01
4.741186220082957e-01	6.009112e-01
4.930916465618676e-01	6.233103e-01
5.120646711154395e-01	6.478144e-01
5.310376956690114e-01	6.744235e-01
5.500107202225832e-01	7.031374e-01
5.689837447761552e-01	7.339563e-01
5.879567693297271e-01	7.668801e-01
6.016285076109774e-01	7.924162e-01
6.153002458922278e-01	8.204063e-01
6.289719841734781e-01	8.508503e-01
6.426437224547284e-01	8.837483e-01
6.563154607359788e-01	9.191003e-01
6.699871990172291e-01	9.569063e-01
6.836589372984795e-01	9.971662e-01
6.927269269748190e-01	1.025850e+00
7.017949166511586e-01	1.056757e+00
7.108629063274980e-01	1.089887e+00
7.199308960038375e-01	1.125240e+00
7.289988856801771e-01	1.162816e+00
7.380668753565166e-01	1.202615e+00
7.471348650328561e-01	1.244637e+00
7.488089554346419e-01	1.252821e+00
7.504830458364276e-01	1.261119e+00
7.521571362382133e-01	1.269529e+00
7.538312266399991e-01	1.278052e+00
7.555053170417849e-01	1.286689e+00
7.571794074435706e-01	1.295439e+00
7.588534978453564e-01	1.304302e+00
7.608066033141064e-01	1.314802e+00
7.627597087828565e-01	1.325471e+00
7.637362615172315e-01	1.330870e+00
7.647128142516065e-01	1.336313e+00
7.656893669859816e-01	1.341801e+00
7.666659197203566e-01	1.347333e+00
7.676424724547316e-01	1.352911e+00
7.686190251891066e-01	1.358534e+00
7.695955779234817e-01	1.364204e+00
7.705721306578567e-01	1.369921e+00
7.715486833922317e-01	1.375686e+00
7.725252361266067e-01	1.381499e+00
7.735017888609818e-01	1.387361e+00
7.744783415953568e-01	1.393273e+00
7.754548943297318e-01	1.399234e+00
7.764314470641068e-01	1.405246e+00
7.774079997984819e-01	1.411310e+00
7.783845525328569e-01	1.417426e+00
7.793611052672319e-01	1.423594e+00
7.803376580016069e-01	1.429816e+00
7.813142107359820e-01	1.436091e+00
7.822907634703570e-01	1.442422e+00
7.832673162047320e-01	1.448807e+00
7.842438689391070e-01	1.455249e+00
7.852204216734820e-01	1.461748e+00
7.861969744078571e-01	1.468305e+00
7.871735271422321e-01	1.474920e+00
7.881500798766071e-01	1.481590e+00
7.891266326109821e-01	1.487966e+00
7.901031853453572e-01	1.489981e+00
7.906677320687393e-01	1.480193e+00
7.911908894685066e-01	1.457282e+00
7.914258079183136e-01	1.443460e+00
7.916226126263902e-01	1.431359e+00
7.918411849649034e-01	1.418618e+00
7.919844151837255e-01	1.410900e+00
7.921230347957338e-01	1.404142e+00
7.923657437177405e-01	1.393865e+00
7.928511615617539e-01	1.376781e+00
7.933503502204499e-01	1.362818e+00
7.941577092109482e-01	1.344810e+00
7.949004654001848e-01	1.330605e+00
7.958770181345598e-01	1.313672e+00
7.968535708689348e-01	1.297536e+00
7.978301236033098e-01	1.281927e+00
7.988066763376849e-01	1.266725e+00
7.997832290720599e-01	1.251890e+00
8.007597818064349e-01	1.237405e+00
8.017363345408099e-01	1.223255e+00
8.027128872751850e-01	1.209428e+00
8.046659927439350e-01	1.182699e+00
8.068981132796493e-01	1.153791e+00
8.091302338153638e-01	1.126067e+00
8.113623543510781e-01	1.099528e+00
8.135944748867924e-01	1.074173e+00
8.158265954225067e-01	1.050002e+00
8.180587159582211e-01	1.027015e+00
8.202908364939354e-01	1.005212e+00
8.222439419626855e-01	9.867222e-01
8.241970474314355e-01	9.689040e-01
8.271267056345606e-01	9.433573e-01
8.300563638376857e-01	9.191294e-01
8.317304542394715e-01	9.058751e-01
8.334045446412571e-01	8.929636e-01
8.350786350430429e-01	8.803948e-01
8.367527254448287e-01	8.681687e-01
8.384268158466145e-01	8.562854e-01
8.401009062484002e-01	8.447448e-01
8.417749966501860e-01	8.335469e-01
8.427515493845610e-01	8.271158e-01
8.437281021189360e-01	8.207707e-01
8.459602226546503e-01	8.067284e-01
8.481923431903647e-01	7.931095e-01
8.504244637260790e-01	7.799141e-01
8.526565842617934e-01	7.671422e-01
8.548887047975077e-01	7.547937e-01
8.571208253332221e-01	7.428688e-01
8.593529458689364e-01	7.313672e-01
8.603294986033114e-01	7.264245e-01
8.613060513376865e-01	7.215482e-01
8.622826040720615e-01	7.167372e-01
8.632591568064365e-01	7.119900e-01
8.652122622751865e-01	7.026824e-01
8.681419204783116e-01	6.891697e-01
8.710715786814367e-01	6.761682e-01
8.752568046859011e-01	6.585693e-01
8.794420306903655e-01	6.417310e-01
8.836272566948299e-01	6.256533e-01
8.878124826992942e-01	6.103361e-01
8.919977087037587e-01	5.957794e-01
8.961829347082231e-01	5.819833e-01
9.003681607126874e-01	5.689477e-01
9.030188038488483e-01	5.609371e-01
9.056694469850090e-01	5.531414e-01
9.083200901211698e-01	5.455604e-01
9.109707332573306e-01	5.381942e-01
9.136213763934914e-01	5.310428e-01
9.162720195296521e-01	5.241062e-01
9.189226626658129e-01	5.173844e-01
9.198992154001879e-01	5.149530e-01
9.218523208689380e-01	5.101701e-01
9.247819790720631e-01	5.031943e-01
9.267350845408131e-01	4.986752e-01
9.286881900095632e-01	4.942606e-01
9.306412954783132e-01	4.899506e-01
9.325944009470633e-01	4.857451e-01
9.345475064158133e-01	4.816443e-01
9.365006118845633e-01	4.776480e-01
9.384537173533134e-01	4.737563e-01
9.413833755564385e-01	4.681168e-01
9.450105714269743e-01	4.614796e-01
9.486377672975100e-01	4.551951e-01
9.522649631680459e-01	4.492631e-01
9.558921590385817e-01	4.436837e-01
9.595193549091176e-01	4.384568e-01
9.631465507796533e-01	4.335826e-01
9.667737466501891e-01	4.290610e-01
9.726330630564393e-01	4.223706e-01
9.761207513934930e-01	4.187816e-01
9.796084397305466e-01	4.153978e-01
9.830961280676003e-01	4.122193e-01
9.865838164046539e-01	4.092460e-01
9.900715047417076e-01	4.064780e-01
9.935591930787613e-01	4.039152e-01
9.970468814158149e-01	4.015577e-01
9.989999868845649e-01	4.002865e-01
9.999765396189400e-01	3.996618e-01
9.999900000000000e-01	3.996153e-01
