Freq.	Vvf)
1.00000000000000e+01	5.47680914721529e+01	1.79996953548335e+02
1.00200000000000e+04	5.47580859106905e+01	1.76871533791777e+02
2.00300000000000e+04	5.47282398515960e+01	1.73758365180550e+02
3.00400000000000e+04	5.46789393001990e+01	1.70669209601468e+02
4.00500000000000e+04	5.46108087210405e+01	1.67615284568028e+02
5.00600000000000e+04	5.45246847643558e+01	1.64606924792057e+02
6.00700000000000e+04	5.44215827420996e+01	1.61653374839935e+02
7.00800000000000e+04	5.43026585387168e+01	1.58762643399614e+02
8.00900000000000e+04	5.41691687207393e+01	1.55941421231300e+02
9.01000000000000e+04	5.40224313794519e+01	1.53195059454342e+02
1.00110000000000e+05	5.38637897926413e+01	1.50527600613252e+02
1.10120000000000e+05	5.36945804080117e+01	1.47941852319006e+02
1.20130000000000e+05	5.35161060478867e+01	1.45439492141010e+02
1.30140000000000e+05	5.33296146827285e+01	1.43021192611759e+02
1.40150000000000e+05	5.31362836698335e+01	1.40686756347696e+02
1.50160000000000e+05	5.29372090308683e+01	1.38435252974638e+02
1.60170000000000e+05	5.27333991361665e+01	1.36265151473144e+02
1.70180000000000e+05	5.25257720637989e+01	1.34174443457365e+02
1.80190000000000e+05	5.23151558924798e+01	1.32160754545292e+02
1.90200000000000e+05	5.21022912215582e+01	1.30221442405811e+02
2.00210000000000e+05	5.18878352948140e+01	1.28353681101001e+02
2.10220000000000e+05	5.16723671957467e+01	1.26554532124389e+02
2.20230000000000e+05	5.14563936799628e+01	1.24821003043300e+02
2.30240000000000e+05	5.12403553051074e+01	1.23150094934945e+02
2.40250000000000e+05	5.10246325995846e+01	1.21538839958156e+02
2.50260000000000e+05	5.08095520842397e+01	1.19984330408071e+02
2.60270000000000e+05	5.05953920172813e+01	1.18483740563700e+02
2.70280000000000e+05	5.03823877809015e+01	1.17034342520345e+02
2.80290000000000e+05	5.01707368621003e+01	1.15633517087259e+02
2.90300000000000e+05	4.99606034078855e+01	1.14278760686691e+02
3.00310000000000e+05	4.97521223530461e+01	1.12967689070481e+02
3.10320000000000e+05	4.95454031337855e+01	1.11698038526449e+02
