time	V(n002)
0.000000000000000e+00	5.000880e+00
3.572453777812962e-02	5.000804e+00
7.144907555625925e-02	5.000717e+00
1.071736133343889e-01	5.000619e+00
1.428981511125185e-01	5.000510e+00
1.786226888906481e-01	5.000390e+00
2.143472266687778e-01	5.000259e+00
2.500717644469073e-01	5.000116e+00
2.756018728453448e-01	5.000005e+00
3.011319812437824e-01	4.999878e+00
3.266620896422200e-01	4.999734e+00
3.521921980406575e-01	4.999575e+00
3.777223064390951e-01	4.999399e+00
4.032524148375327e-01	4.999207e+00
4.287825232359702e-01	4.998999e+00
4.471976833922203e-01	4.998835e+00
4.656128435484703e-01	4.998648e+00
4.840280037047204e-01	4.998437e+00
5.024431638609704e-01	4.998202e+00
5.208583240172204e-01	4.997944e+00
5.392734841734705e-01	4.997662e+00
5.576886443297205e-01	4.997356e+00
5.655011365172206e-01	4.997212e+00
5.733136287047206e-01	4.997059e+00
5.811261208922206e-01	4.996897e+00
5.889386130797206e-01	4.996725e+00
5.967511052672206e-01	4.996544e+00
6.045635974547207e-01	4.996353e+00
6.123760896422207e-01	4.996153e+00
6.146082302672207e-01	4.996094e+00
6.168403708922207e-01	4.996033e+00
6.190725115172206e-01	4.995971e+00
6.213046521422207e-01	4.995908e+00
6.235367927672207e-01	4.995843e+00
6.257689333922207e-01	4.995778e+00
6.280010740172207e-01	4.995711e+00
6.309307585875332e-01	4.995622e+00
6.338604431578457e-01	4.995531e+00
6.358135662047207e-01	4.995469e+00
6.377666892515957e-01	4.995406e+00
6.397198122984707e-01	4.995341e+00
6.416729353453458e-01	4.995276e+00
6.426494968687833e-01	4.995243e+00
6.436260583922208e-01	4.995210e+00
6.446026199156583e-01	4.995176e+00
6.455791814390958e-01	4.995142e+00
6.465557429625333e-01	4.995108e+00
6.475323044859708e-01	4.995074e+00
6.485088660094083e-01	4.995039e+00
6.494854275328458e-01	4.995004e+00
6.504619890562833e-01	4.994969e+00
6.514385505797208e-01	4.994933e+00
6.524151121031583e-01	4.994897e+00
6.533916736265958e-01	4.994861e+00
6.543682351500333e-01	4.994824e+00
6.553447966734708e-01	4.994788e+00
6.563213581969083e-01	4.994750e+00
6.572979197203458e-01	4.994713e+00
6.582744812437833e-01	4.994675e+00
6.592510427672208e-01	4.994637e+00
6.602276042906583e-01	4.994598e+00
6.612041658140958e-01	4.994559e+00
6.621807273375333e-01	4.994520e+00
6.631572888609708e-01	4.994481e+00
6.641338503844083e-01	4.994441e+00
6.648204891582717e-01	4.994413e+00
6.655563021174359e-01	4.994377e+00
6.665328636408734e-01	4.993465e+00
6.674171424628393e-01	4.987862e+00
6.683937039862768e-01	4.973131e+00
6.693210656891653e-01	4.953863e+00
6.702976272126028e-01	4.931526e+00
6.712741887360403e-01	4.908046e+00
6.722507502594778e-01	4.883448e+00
6.732273117829153e-01	4.857569e+00
6.742038733063528e-01	4.830164e+00
6.751804348297903e-01	4.800929e+00
6.761569963532278e-01	4.769522e+00
6.771335578766653e-01	4.735601e+00
6.781101194001028e-01	4.698895e+00
6.790866809235403e-01	4.659286e+00
6.800632424469778e-01	4.616890e+00
6.810398039704153e-01	4.572082e+00
6.820163654938528e-01	4.525421e+00
6.829929270172903e-01	4.477545e+00
6.839694885407278e-01	4.429034e+00
6.849460500641653e-01	4.380357e+00
6.859226115876028e-01	4.331839e+00
6.868355142064791e-01	4.286839e+00
6.878120757299166e-01	4.239214e+00
6.887886372533542e-01	4.192185e+00
6.897651987767917e-01	4.145804e+00
6.907417603002292e-01	4.100095e+00
6.917183218236667e-01	4.055064e+00
6.926948833471042e-01	4.010711e+00
6.936714448705417e-01	3.967027e+00
6.946480063939792e-01	3.924005e+00
6.956245679174167e-01	3.881631e+00
6.966011294408542e-01	3.839895e+00
6.975776909642917e-01	3.798782e+00
6.985542524877292e-01	3.758280e+00
6.995308140111667e-01	3.718376e+00
7.005073755346042e-01	3.679058e+00
7.014839370580417e-01	3.640311e+00
7.034370601049167e-01	3.564489e+00
7.063667446752292e-01	3.454753e+00
7.099939731908542e-01	3.326152e+00
7.136212017064792e-01	3.202941e+00
7.172484302221043e-01	3.085120e+00
7.208756587377292e-01	2.972687e+00
7.245028872533542e-01	2.865644e+00
7.281301157689792e-01	2.763991e+00
7.317573442846043e-01	2.667726e+00
7.365006431127292e-01	2.548051e+00
7.412439419408543e-01	2.433808e+00
7.459872407689793e-01	2.324999e+00
7.507305395971043e-01	2.221622e+00
7.554738384252293e-01	2.123679e+00
7.602171372533544e-01	2.031168e+00
7.649604360814793e-01	1.944091e+00
7.678901206517919e-01	1.891909e+00
7.708198052221044e-01	1.841087e+00
7.737494897924169e-01	1.791623e+00
7.766791743627294e-01	1.743517e+00
7.796088589330419e-01	1.696770e+00
7.825385435033544e-01	1.651382e+00
7.854682280736669e-01	1.607352e+00
7.864447895971044e-01	1.592892e+00
7.874213511205419e-01	1.578560e+00
