Freq.	Vvo)
1.00000000000000e+00	-1.00408399960110e+02	-1.79986450676162e+02
1.02329299228075e+00	-1.00408399949037e+02	-1.79986135071878e+02
1.04712854805090e+00	-1.00408399937408e+02	-1.79985812116227e+02
1.07151930523761e+00	-1.00408399925379e+02	-1.79985481637973e+02
1.09647819614318e+00	-1.00408399912618e+02	-1.79985143461893e+02
1.12201845430196e+00	-1.00408399899279e+02	-1.79984797408680e+02
1.14815362149688e+00	-1.00408399885455e+02	-1.79984443294854e+02
1.17489755493953e+00	-1.00408399870442e+02	-1.79984080932660e+02
1.20226443461741e+00	-1.00408399855550e+02	-1.79983710129965e+02
1.23026877081238e+00	-1.00408399839463e+02	-1.79983330690168e+02
1.25892541179417e+00	-1.00408399822815e+02	-1.79982942412084e+02
1.28824955169313e+00	-1.00408399805326e+02	-1.79982545089844e+02
1.31825673855641e+00	-1.00408399786955e+02	-1.79982138512781e+02
1.34896288259165e+00	-1.00408399767660e+02	-1.79981722465324e+02
1.38038426460288e+00	-1.00408399747582e+02	-1.79981296726878e+02
1.41253754462275e+00	-1.00408399726491e+02	-1.79980861071712e+02
1.44543977074593e+00	-1.00408399704402e+02	-1.79980415268835e+02
1.47910838816821e+00	-1.00408399681324e+02	-1.79979959081878e+02
1.51356124843621e+00	-1.00408399657084e+02	-1.79979492268965e+02
1.54881661891248e+00	-1.00408399631748e+02	-1.79979014582584e+02
1.58489319246111e+00	-1.00408399605199e+02	-1.79978525769461e+02
1.62181009735893e+00	-1.00408399577499e+02	-1.79978025570421e+02
1.65958690743756e+00	-1.00408399548340e+02	-1.79977513720252e+02
1.69824365246174e+00	-1.00408399517901e+02	-1.79976989947564e+02
1.73780082874937e+00	-1.00408399485990e+02	-1.79976453974647e+02
1.77827941003892e+00	-1.00408399452475e+02	-1.79975905517321e+02
1.81970085860998e+00	-1.00408399417463e+02	-1.79975344284787e+02
1.86208713666287e+00	-1.00408399383134e+02	-1.79974769979466e+02
1.90546071796325e+00	-1.00408399344764e+02	-1.79974182296867e+02
1.94984459975804e+00	-1.00408399304588e+02	-1.79973580925387e+02
1.99526231496888e+00	-1.00408399258177e+02	-1.79972965546185e+02
2.04173794466953e+00	-1.00408399214048e+02	-1.79972335832954e+02
2.08929613085404e+00	-1.00408399168131e+02	-1.79971691451822e+02
2.13796208950223e+00	-1.00408399119834e+02	-1.79971032061133e+02
2.18776162394955e+00	-1.00408399073627e+02	-1.79970357311255e+02
2.23872113856834e+00	-1.00408399020664e+02	-1.79969666844456e+02
2.29086765276777e+00	-1.00408398965220e+02	-1.79968960294627e+02
2.34422881531992e+00	-1.00408398907111e+02	-1.79968237287149e+02
2.39883291901949e+00	-1.00408398846325e+02	-1.79967497438672e+02
2.45470891568503e+00	-1.00408398782605e+02	-1.79966740356922e+02
2.51188643150958e+00	-1.00408398715987e+02	-1.79965965640484e+02
2.57039578276886e+00	-1.00408398646201e+02	-1.79965172878593e+02
2.63026799189538e+00	-1.00408398573087e+02	-1.79964361650919e+02
2.69153480392691e+00	-1.00408398496602e+02	-1.79963531527340e+02
2.75422870333816e+00	-1.00408398416452e+02	-1.79962682067713e+02
2.81838293126445e+00	-1.00408398332393e+02	-1.79961812821646e+02
2.88403150312660e+00	-1.00408398244541e+02	-1.79960923328254e+02
2.95120922666638e+00	-1.00408398152574e+02	-1.79960013115918e+02
3.01995172040201e+00	-1.00408398056285e+02	-1.79959081702033e+02
3.09029543251359e+00	-1.00408397954907e+02	-1.79958128592755e+02
3.16227766016837e+00	-1.00408397849309e+02	-1.79957153282730e+02
