Freq.	V(n002)
3.00000000000000e+01	(-8.68598606145386e-08dB,-2.69999997301156e-05°)
3.06987897684226e+01	(-8.68599059379300e-08dB,-2.76289105153179e-05°)
3.14138564415270e+01	(-8.68599522256489e-08dB,-2.82724705147025e-05°)
3.21455791571282e+01	(-8.68600023706776e-08dB,-2.89310209520938e-05°)
3.28943458842955e+01	(-8.68600544443613e-08dB,-2.96049109999202e-05°)
3.36605536290589e+01	(-8.68601103753549e-08dB,-3.02944979632886e-05°)
3.44446086449065e+01	(-8.68601672706761e-08dB,-3.10001474704197e-05°)
3.52469266481859e+01	(-8.68602270589796e-08dB,-3.17222336662648e-05°)
3.60679330385224e+01	(-8.68602887759380e-08dB,-3.24611394100977e-05°)
3.69080631243714e+01	(-8.68603553145339e-08dB,-3.32172564796659e-05°)
3.77677623538250e+01	(-8.68604237817847e-08dB,-3.39909857785241e-05°)
3.86474865507940e+01	(-8.68604961063454e-08dB,-3.47827375481364e-05°)
3.95477021566922e+01	(-8.68605713238886e-08dB,-3.55929315851487e-05°)
4.04688864777496e+01	(-8.68606503987416e-08dB,-3.64219974658161e-05°)
4.14115279380865e+01	(-8.68607342952321e-08dB,-3.72703747716238e-05°)
4.23761263386826e+01	(-8.68608191560500e-08dB,-3.81385133234552e-05°)
4.33631931223778e+01	(-8.68609107671602e-08dB,-3.90268734199350e-05°)
4.43732516450462e+01	(-8.68610071999078e-08dB,-3.99359260812383e-05°)
4.54068374530862e+01	(-8.68611045969829e-08dB,-4.08661532991620e-05°)
4.64644985673744e+01	(-8.68612097086778e-08dB,-4.18180482925630e-05°)
4.75467957738334e+01	(-8.68613186776826e-08dB,-4.27921157684616e-05°)
4.86543029207679e+01	(-8.68614324683248e-08dB,-4.37888721908981e-05°)
4.97876072231268e+01	(-8.68615510806044e-08dB,-4.48088460527708e-05°)
5.09473095738523e+01	(-8.68616754788488e-08dB,-4.58525781581101e-05°)
5.21340248624812e+01	(-8.68618075917131e-08dB,-4.69206219070363e-05°)
5.33483823011676e+01	(-8.68619445262147e-08dB,-4.80135435908558e-05°)
5.45910257582995e+01	(-8.68620891753361e-08dB,-4.91319226913307e-05°)
5.58626140998860e+01	(-8.68622396104224e-08dB,-5.02763521871062e-05°)
5.71638215388974e+01	(-8.68623967958010e-08dB,-5.14474388703740e-05°)
5.84953379927413e+01	(-8.68625626601269e-08dB,-5.26458036669159e-05°)
5.98578694490663e+01	(-8.68627352747452e-08dB,-5.38720819654898e-05°)
6.12521383400858e+01	(-8.68629165683107e-08dB,-5.51269239547700e-05°)
6.26788839256211e+01	(-8.68631046121685e-08dB,-5.64109949689339e-05°)
6.41388626850669e+01	(-8.68633022993012e-08dB,-5.77249758392131e-05°)
6.56328487184865e+01	(-8.68635115583635e-08dB,-5.90695632558802e-05°)
6.71616341570501e+01	(-8.68637294963731e-08dB,-6.04454701368949e-05°)
6.87260295830331e+01	(-8.68639580419850e-08dB,-6.18534260061912e-05°)
7.03268644595976e+01	(-8.68641952665441e-08dB,-6.32941773806116e-05°)
7.19649875705846e+01	(-8.68644440630330e-08dB,-6.47684881658868e-05°)
7.36412674705508e+01	(-8.68647082887615e-08dB,-6.62771400607640e-05°)
7.53565929452873e+01	(-8.68649802291097e-08dB,-6.78209329724677e-05°)
7.71118734830658e+01	(-8.68652675986977e-08dB,-6.94006854406076e-05°)
7.89080397568613e+01	(-8.68655694331977e-08dB,-7.10172350710260e-05°)
8.07460441178073e+01	(-8.68658828396275e-08dB,-7.26714389792868e-05°)
