Freq.	V(vf)
1.00000000000000e+00	4.84141906498821e+01	1.79255180930905e+02
1.04712854805090e+00	4.84141196296386e+01	1.79220015857848e+02
1.09647819614319e+00	4.84140417586329e+01	1.79183197156254e+02
1.14815362149688e+00	4.84139563765659e+01	1.79144646850497e+02
1.20226443461741e+00	4.84138627587301e+01	1.79104283310092e+02
1.25892541179417e+00	4.84137601113235e+01	1.79062021079079e+02
1.31825673855641e+00	4.84136475632802e+01	1.79017770697967e+02
1.38038426460289e+00	4.84135241601672e+01	1.78971438517373e+02
1.44543977074593e+00	4.84133888555666e+01	1.78922926503465e+02
1.51356124843621e+00	4.84132405016801e+01	1.78872132034727e+02
1.58489319246111e+00	4.84130778407150e+01	1.78818947689482e+02
1.65958690743756e+00	4.84128994935281e+01	1.78763261024224e+02
1.73780082874938e+00	4.84127039479760e+01	1.78704954342134e+02
1.81970085860998e+00	4.84124895468727e+01	1.78643904451371e+02
1.90546071796325e+00	4.84122544729164e+01	1.78579982413159e+02
1.99526231496888e+00	4.84119967339060e+01	1.78513053278822e+02
2.08929613085404e+00	4.84117141464932e+01	1.78442975815610e+02
2.18776162394955e+00	4.84114043165231e+01	1.78369602221305e+02
2.29086765276778e+00	4.84110646201520e+01	1.78292777826520e+02
2.39883291901949e+00	4.84106921810571e+01	1.78212340785136e+02
2.51188643150958e+00	4.84102838462692e+01	1.78128121752111e+02
2.63026799189538e+00	4.84098361602513e+01	1.78039943548375e+02
2.75422870333817e+00	4.84093453355621e+01	1.77947620812846e+02
2.88403150312661e+00	4.84088072204142e+01	1.77850959641299e+02
3.01995172040202e+00	4.84082172657616e+01	1.77749757211184e+02
3.16227766016838e+00	4.84075704853173e+01	1.77643801393822e+02
3.31131121482592e+00	4.84068614154248e+01	1.77532870352166e+02
3.46736850452532e+00	4.84060840686760e+01	1.77416732125635e+02
3.63078054770102e+00	4.84052318848928e+01	1.77295144201114e+02
3.80189396320562e+00	4.84042976760174e+01	1.77167853071252e+02
3.98107170553498e+00	4.84032735673818e+01	1.77034593779612e+02
4.16869383470336e+00	4.84021509321955e+01	1.76895089454069e+02
4.36515832240167e+00	4.84009203203890e+01	1.76749050828755e+02
4.57088189614876e+00	4.83995713821870e+01	1.76596175755147e+02
4.78630092322639e+00	4.83980927824141e+01	1.76436148704804e+02
5.01187233627273e+00	4.83964721081732e+01	1.76268640264188e+02
5.24807460249774e+00	4.83946957690595e+01	1.76093306623420e+02
5.49540873857626e+00	4.83927488868645e+01	1.75909789062259e+02
5.75439937337158e+00	4.83906151754725e+01	1.75717713435554e+02
6.02559586074359e+00	4.83882768117681e+01	1.75516689660667e+02
6.30957344480195e+00	4.83857142933008e+01	1.75306311212331e+02
6.60693448007598e+00	4.83829062843370e+01	1.75086154628424e+02
6.91830970918938e+00	4.83798294491901e+01	1.74855779032020e+02
7.24435960074992e+00	4.83764582698840e+01	1.74614725677080e+02
7.58577575029186e+00	4.83727648507371e+01	1.74362517523007e+02
7.94328234724284e+00	4.83687187041720e+01	1.74098658849174e+02
8.31763771102674e+00	4.83642865210070e+01	1.73822634916510e+02
