v1	-100*((V(vo)*I(RL))/(V(Vreg)*I(V1)))
2.000000000000000e+00	5.338713e+01
2.100000000000000e+00	5.538709e+01
2.200000000000000e+00	5.721233e+01
2.300000000000000e+00	5.888472e+01
2.400000000000000e+00	6.042257e+01
2.500000000000000e+00	6.184146e+01
2.600000000000001e+00	6.315464e+01
2.700000000000001e+00	6.437348e+01
2.800000000000001e+00	6.550780e+01
2.900000000000001e+00	6.656608e+01
3.000000000000001e+00	6.755572e+01
3.100000000000001e+00	6.848319e+01
3.200000000000001e+00	6.935417e+01
3.300000000000001e+00	7.017366e+01
3.400000000000001e+00	7.094612e+01
3.500000000000001e+00	7.167545e+01
3.600000000000001e+00	7.236513e+01
3.700000000000002e+00	7.301811e+01
3.800000000000002e+00	7.363652e+01
3.900000000000002e+00	7.422023e+01
4.000000000000002e+00	7.476220e+01
4.100000000000001e+00	7.523249e+01
4.200000000000001e+00	7.555648e+01
4.300000000000001e+00	7.547049e+01
4.400000000000000e+00	7.430063e+01
4.500000000000000e+00	7.266563e+01
4.600000000000000e+00	7.109521e+01
4.699999999999999e+00	6.958558e+01
4.799999999999999e+00	6.813878e+01
4.899999999999999e+00	6.675102e+01
4.999999999999998e+00	6.541874e+01
5.099999999999998e+00	6.413871e+01
5.199999999999998e+00	6.290791e+01
5.299999999999997e+00	6.172354e+01
5.399999999999997e+00	6.058304e+01
5.499999999999996e+00	5.948400e+01
5.599999999999996e+00	5.842420e+01
5.699999999999996e+00	5.740159e+01
5.799999999999995e+00	5.641422e+01
5.899999999999995e+00	5.546033e+01
5.999999999999995e+00	5.453822e+01
6.099999999999994e+00	5.364635e+01
6.199999999999994e+00	5.278324e+01
6.299999999999994e+00	5.194751e+01
6.399999999999993e+00	5.113791e+01
6.499999999999993e+00	5.035321e+01
6.599999999999993e+00	4.959229e+01
6.699999999999992e+00	4.885407e+01
6.799999999999992e+00	4.813756e+01
6.899999999999991e+00	4.744181e+01
6.999999999999991e+00	4.676594e+01
7.099999999999991e+00	4.610910e+01
7.199999999999990e+00	4.547050e+01
7.299999999999990e+00	4.484939e+01
7.399999999999990e+00	4.424508e+01
7.499999999999989e+00	4.365687e+01
7.599999999999989e+00	4.308413e+01
7.699999999999989e+00	4.252627e+01
7.799999999999988e+00	4.198270e+01
7.899999999999988e+00	4.145290e+01
7.999999999999988e+00	4.093633e+01
8.099999999999987e+00	4.043251e+01
8.199999999999987e+00	3.994099e+01
8.299999999999986e+00	3.946130e+01
8.399999999999986e+00	3.899303e+01
8.499999999999986e+00	3.853577e+01
8.599999999999985e+00	3.808915e+01
8.699999999999985e+00	3.765279e+01
8.799999999999985e+00	3.722634e+01
8.899999999999984e+00	3.680948e+01
8.999999999999984e+00	3.640187e+01
9.099999999999984e+00	3.600321e+01
9.199999999999983e+00	3.561323e+01
9.299999999999983e+00	3.523162e+01
9.399999999999983e+00	3.485814e+01
9.499999999999982e+00	3.449251e+01
9.599999999999982e+00	3.413449e+01
9.699999999999982e+00	3.378386e+01
9.799999999999981e+00	3.344038e+01
9.899999999999981e+00	3.310384e+01
1.000000000000000e+01	3.277402e+01
