v1	-100*((V(vo)*I(RL))/(V(Vreg)*I(V1)))
1.000000000000000e+00	2.284855e+01
1.100000000000000e+00	3.451408e+01
1.200000000000000e+00	3.946340e+01
1.300000000000000e+00	4.323758e+01
1.400000000000000e+00	4.664086e+01
1.500000000000000e+00	4.962840e+01
1.600000000000001e+00	5.226252e+01
1.700000000000001e+00	5.460068e+01
1.800000000000001e+00	5.668888e+01
1.900000000000001e+00	5.856421e+01
2.000000000000001e+00	6.025682e+01
2.100000000000001e+00	6.179143e+01
2.200000000000001e+00	6.318845e+01
2.300000000000001e+00	6.446490e+01
2.400000000000001e+00	6.563506e+01
2.500000000000001e+00	6.671103e+01
2.600000000000001e+00	6.770308e+01
2.700000000000002e+00	6.862006e+01
2.800000000000002e+00	6.946957e+01
2.900000000000002e+00	7.025821e+01
3.000000000000002e+00	7.099180e+01
3.100000000000002e+00	7.167538e+01
3.200000000000002e+00	7.231343e+01
3.300000000000002e+00	7.290997e+01
3.400000000000002e+00	7.346851e+01
3.500000000000002e+00	7.399231e+01
3.600000000000002e+00	7.448422e+01
3.700000000000002e+00	7.494685e+01
3.800000000000002e+00	7.538261e+01
3.900000000000003e+00	7.579361e+01
4.000000000000003e+00	7.618184e+01
4.100000000000002e+00	7.654914e+01
4.200000000000002e+00	7.689712e+01
4.300000000000002e+00	7.722733e+01
4.400000000000001e+00	7.754118e+01
4.500000000000001e+00	7.783998e+01
4.600000000000001e+00	7.812495e+01
4.700000000000000e+00	7.839727e+01
4.800000000000000e+00	7.865806e+01
4.899999999999999e+00	7.890846e+01
4.999999999999999e+00	7.914957e+01
5.099999999999999e+00	7.938250e+01
5.199999999999998e+00	7.960827e+01
5.299999999999998e+00	7.982757e+01
5.399999999999998e+00	8.004000e+01
5.499999999999997e+00	8.024251e+01
5.599999999999997e+00	8.042632e+01
5.699999999999997e+00	8.057321e+01
5.799999999999996e+00	8.063227e+01
5.899999999999996e+00	8.050375e+01
5.999999999999996e+00	7.976440e+01
6.099999999999995e+00	7.848568e+01
6.199999999999995e+00	7.719890e+01
6.299999999999994e+00	7.594732e+01
6.399999999999994e+00	7.473652e+01
6.499999999999994e+00	7.356472e+01
6.599999999999993e+00	7.242998e+01
6.699999999999993e+00	7.133046e+01
6.799999999999993e+00	7.026446e+01
6.899999999999992e+00	6.923034e+01
6.999999999999992e+00	6.822662e+01
7.099999999999992e+00	6.725190e+01
7.199999999999991e+00	6.630487e+01
7.299999999999991e+00	6.538430e+01
7.399999999999991e+00	6.448910e+01
7.499999999999990e+00	6.361814e+01
7.599999999999990e+00	6.277046e+01
7.699999999999990e+00	6.194507e+01
7.799999999999989e+00	6.114111e+01
7.899999999999989e+00	6.035774e+01
7.999999999999988e+00	5.959415e+01
8.099999999999989e+00	5.884958e+01
8.199999999999989e+00	5.812334e+01
8.299999999999988e+00	5.741473e+01
8.399999999999988e+00	5.672313e+01
8.499999999999988e+00	5.604790e+01
8.599999999999987e+00	5.538848e+01
8.699999999999987e+00	5.474432e+01
8.799999999999986e+00	5.411487e+01
8.899999999999986e+00	5.349964e+01
8.999999999999986e+00	5.289816e+01
9.099999999999985e+00	5.230995e+01
9.199999999999985e+00	5.173460e+01
9.299999999999985e+00	5.117167e+01
9.399999999999984e+00	5.062076e+01
9.499999999999984e+00	5.008151e+01
9.599999999999984e+00	4.955353e+01
9.699999999999983e+00	4.903648e+01
9.799999999999983e+00	4.853001e+01
9.899999999999983e+00	4.803382e+01
1.000000000000000e+01	4.754759e+01
