v1	V(vo)
2.000000000000000e+00	1.091934e+00
2.100000000000000e+00	1.187485e+00
2.200000000000000e+00	1.283188e+00
2.300000000000000e+00	1.379021e+00
2.400000000000000e+00	1.474967e+00
2.500000000000000e+00	1.571011e+00
2.600000000000001e+00	1.667142e+00
2.700000000000001e+00	1.763351e+00
2.800000000000001e+00	1.859629e+00
2.900000000000001e+00	1.955969e+00
3.000000000000001e+00	2.052365e+00
3.100000000000001e+00	2.148812e+00
3.200000000000001e+00	2.245306e+00
3.300000000000001e+00	2.341842e+00
3.400000000000001e+00	2.438416e+00
3.500000000000001e+00	2.535027e+00
3.600000000000001e+00	2.631670e+00
3.700000000000002e+00	2.728344e+00
3.800000000000002e+00	2.825046e+00
3.900000000000002e+00	2.921774e+00
4.000000000000002e+00	3.018526e+00
4.100000000000001e+00	3.115301e+00
4.200000000000001e+00	3.212097e+00
4.300000000000001e+00	3.308913e+00
4.400000000000000e+00	3.405747e+00
4.500000000000000e+00	3.502599e+00
4.600000000000000e+00	3.599466e+00
4.699999999999999e+00	3.696349e+00
4.799999999999999e+00	3.793245e+00
4.899999999999999e+00	3.890155e+00
4.999999999999998e+00	3.987075e+00
5.099999999999998e+00	4.084004e+00
5.199999999999998e+00	4.180937e+00
5.299999999999997e+00	4.277860e+00
5.399999999999997e+00	4.374744e+00
5.499999999999996e+00	4.471518e+00
5.599999999999996e+00	4.568014e+00
5.699999999999996e+00	4.663857e+00
5.799999999999995e+00	4.758280e+00
5.899999999999995e+00	4.849423e+00
5.999999999999995e+00	4.932881e+00
6.099999999999994e+00	4.987937e+00
6.199999999999994e+00	4.997318e+00
6.299999999999994e+00	4.997964e+00
6.399999999999993e+00	4.998322e+00
6.499999999999993e+00	4.998530e+00
6.599999999999993e+00	4.998740e+00
6.699999999999992e+00	4.998947e+00
6.799999999999992e+00	4.999155e+00
6.899999999999991e+00	4.999361e+00
6.999999999999991e+00	4.999567e+00
7.099999999999991e+00	4.999773e+00
7.199999999999990e+00	4.999978e+00
7.299999999999990e+00	5.000182e+00
7.399999999999990e+00	5.000386e+00
7.499999999999989e+00	5.000590e+00
7.599999999999989e+00	5.000793e+00
7.699999999999989e+00	5.000995e+00
7.799999999999988e+00	5.001197e+00
7.899999999999988e+00	5.001399e+00
7.999999999999988e+00	5.001599e+00
8.099999999999987e+00	5.001800e+00
8.199999999999987e+00	5.002000e+00
8.299999999999986e+00	5.002199e+00
8.399999999999986e+00	5.002398e+00
8.499999999999986e+00	5.002597e+00
8.599999999999985e+00	5.002795e+00
8.699999999999985e+00	5.002992e+00
8.799999999999985e+00	5.003190e+00
8.899999999999984e+00	5.003386e+00
8.999999999999984e+00	5.003582e+00
9.099999999999984e+00	5.003778e+00
9.199999999999983e+00	5.003973e+00
9.299999999999983e+00	5.004168e+00
9.399999999999983e+00	5.004362e+00
9.499999999999982e+00	5.004556e+00
9.599999999999982e+00	5.004749e+00
9.699999999999982e+00	5.004942e+00
9.799999999999981e+00	5.005134e+00
9.899999999999981e+00	5.005326e+00
1.000000000000000e+01	5.005518e+00
