Freq.	V(n012)
1.00000000000000e+00	(6.47765445763909e+01dB,1.76780728073003e+02°)
1.04712854805090e+00	(6.47752026741721e+01dB,1.76629358567453e+02°)
1.09647819614319e+00	(6.47737317841632e+01dB,1.76470906950784e+02°)
1.14815362149688e+00	(6.47721195578466e+01dB,1.76305047074646e+02°)
1.20226443461741e+00	(6.47703524746351e+01dB,1.76131438538525e+02°)
1.25892541179417e+00	(6.47684157326577e+01dB,1.75949726181141e+02°)
1.31825673855641e+00	(6.47662931297738e+01dB,1.75759539571345e+02°)
1.38038426460289e+00	(6.47639669340258e+01dB,1.75560492501810e+02°)
1.44543977074593e+00	(6.47614177427137e+01dB,1.75352182489389e+02°)
1.51356124843621e+00	(6.47586243291573e+01dB,1.75134190286712e+02°)
1.58489319246111e+00	(6.47555634763011e+01dB,1.74906079410353e+02°)
1.65958690743756e+00	(6.47522097960844e+01dB,1.74667395691799e+02°)
1.73780082874938e+00	(6.47485355336948e+01dB,1.74417666858425e+02°)
1.81970085860998e+00	(6.47445103555845e+01dB,1.74156402152813e+02°)
1.90546071796325e+00	(6.47401011202463e+01dB,1.73883091999976e+02°)
1.99526231496888e+00	(6.47352716306929e+01dB,1.73597207733498e+02°)
2.08929613085404e+00	(6.47299823676021e+01dB,1.73298201393094e+02°)
2.18776162394955e+00	(6.47241902021065e+01dB,1.72985505607854e+02°)
2.29086765276778e+00	(6.47178480873066e+01dB,1.72658533581328e+02°)
2.39883291901949e+00	(6.47109047276735e+01dB,1.72316679196657e+02°)
2.51188643150958e+00	(6.47033042255305e+01dB,1.71959317262228e+02°)
2.63026799189538e+00	(6.46949857041943e+01dB,1.71585803920755e+02°)
2.75422870333817e+00	(6.46858829073785e+01dB,1.71195477247275e+02°)
2.88403150312661e+00	(6.46759237748899e+01dB,1.70787658064275e+02°)
3.01995172040202e+00	(6.46650299949836e+01dB,1.70361651005041e+02°)
3.16227766016838e+00	(6.46531165341993e+01dB,1.69916745859212e+02°)
3.31131121482592e+00	(6.46400911461282e+01dB,1.69452219237443e+02°)
3.46736850452532e+00	(6.46258538611514e+01dB,1.68967336594944e+02°)
3.63078054770102e+00	(6.46102964601445e+01dB,1.68461354656282e+02°)
3.80189396320562e+00	(6.45933019359173e+01dB,1.67933524286170e+02°)
3.98107170553498e+00	(6.45747439474941e+01dB,1.67383093852786e+02°)
4.16869383470336e+00	(6.45544862734449e+01dB,1.66809313131248e+02°)
4.36515832240167e+00	(6.45323822720063e+01dB,1.66211437795037e+02°)
4.57088189614876e+00	(6.45082743573409e+01dB,1.65588734542014e+02°)
4.78630092322639e+00	(6.44819935031240e+01dB,1.64940486898950e+02°)
5.01187233627273e+00	(6.44533587865193e+01dB,1.64266001743814e+02°)
5.24807460249774e+00	(6.44221769876428e+01dB,1.63564616577931e+02°)
5.49540873857626e+00	(6.43882422618674e+01dB,1.62835707570230e+02°)
5.75439937337158e+00	(6.43513359043446e+01dB,1.62078698382608e+02°)
6.02559586074359e+00	(6.43112262281571e+01dB,1.61293069768593e+02°)
6.30957344480195e+00	(6.42676685795594e+01dB,1.60478369916585e+02°)
6.60693448007598e+00	(6.42204055150339e+01dB,1.59634225483836e+02°)
6.91830970918938e+00	(6.41691671662131e+01dB,1.58760353237794e+02°)
7.24435960074992e+00	(6.41136718188823e+01dB,1.57856572187726e+02°)
7.58577575029186e+00	(6.40536267318750e+01dB,1.56922816052017e+02°)
7.94328234724284e+00	(6.39887292200604e+01dB,1.55959145866058e+02°)
8.31763771102674e+00	(6.39186680226518e+01dB,1.54965762493359e+02°)
8.70963589956084e+00	(6.38431249737396e+01dB,1.53943018760204e+02°)
9.12010839355913e+00	(6.37617769858228e+01dB,1.52891430893936e+02°)
9.54992586021439e+00	(6.36742983494252e+01dB,1.51811688909503e+02°)
1.00000000000000e+01	(6.35803633423127e+01dB,1.50704665561237e+02°)
1.04712854805090e+01	(6.34796491308697e+01dB,1.49571423460257e+02°)
1.09647819614319e+01	(6.33718389338612e+01dB,1.48413219955693e+02°)
1.14815362149689e+01	(6.32566254056127e+01dB,1.47231509393209e+02°)
1.20226443461742e+01	(6.31337141822492e+01dB,1.46027942399530e+02°)
1.25892541179417e+01	(6.30028275218642e+01dB,1.44804361898325e+02°)
1.31825673855641e+01	(6.28637079577431e+01dB,1.43562795641268e+02°)
1.38038426460289e+01	(6.27161218747054e+01dB,1.42305445136840e+02°)
1.44543977074593e+01	(6.25598629124097e+01dB,1.41034670975503e+02°)
1.51356124843621e+01	(6.23947550972279e+01dB,1.39752974678313e+02°)
1.58489319246112e+01	(6.22206556066279e+01dB,1.38462977330285e+02°)
1.65958690743757e+01	(6.20374570770426e+01dB,1.37167395392364e+02°)
1.73780082874938e+01	(6.18450893780658e+01dB,1.35869014208087e+02°)
1.81970085860999e+01	(6.16435207917856e+01dB,1.34570659824982e+02°)
1.90546071796326e+01	(6.14327585560472e+01dB,1.33275169828875e+02°)
1.99526231496889e+01	(6.12128487523282e+01dB,1.31985363935946e+02°)
