time	V(n002)
0.000000000000000e+00	3.296736e+00
4.381604754375464e-02	3.296733e+00
8.763209508750928e-02	3.296729e+00
1.314481426312639e-01	3.296726e+00
1.752641901750186e-01	3.296721e+00
2.190802377187732e-01	3.296717e+00
2.628962852625278e-01	3.296712e+00
3.067123328062824e-01	3.296707e+00
3.371252488219075e-01	3.296703e+00
3.675381648375326e-01	3.296699e+00
3.979510808531577e-01	3.296694e+00
4.283639968687827e-01	3.296688e+00
4.587769128844078e-01	3.296682e+00
4.891898289000329e-01	3.296676e+00
5.196027449156579e-01	3.296669e+00
5.398315193297205e-01	3.296664e+00
5.600602937437831e-01	3.296658e+00
5.802890681578456e-01	3.296652e+00
6.005178425719082e-01	3.296645e+00
6.207466169859708e-01	3.296637e+00
6.409753914000333e-01	3.296629e+00
6.612041658140958e-01	3.296619e+00
6.747365183531583e-01	3.296613e+00
6.882688708922209e-01	3.296605e+00
7.018012234312834e-01	3.296597e+00
7.153335759703460e-01	3.296587e+00
7.288659285094085e-01	3.296577e+00
7.423982810484711e-01	3.296566e+00
7.559306335875335e-01	3.296554e+00
7.651382136656586e-01	3.296545e+00
7.743457937437835e-01	3.296535e+00
7.835533738219086e-01	3.296524e+00
7.927609539000336e-01	3.296511e+00
8.019685339781587e-01	3.296497e+00
8.111761140562836e-01	3.296482e+00
8.203836941344087e-01	3.296466e+00
8.268010984312837e-01	3.296454e+00
8.332185027281588e-01	3.296440e+00
8.396359070250338e-01	3.296424e+00
8.460533113219088e-01	3.296407e+00
8.524707156187838e-01	3.296388e+00
8.588881199156588e-01	3.296367e+00
8.653055242125338e-01	3.296345e+00
8.699093142515963e-01	3.296327e+00
8.745131042906589e-01	3.296307e+00
8.791168943297214e-01	3.296285e+00
8.837206843687838e-01	3.296261e+00
8.883244744078463e-01	3.296234e+00
8.929282644469089e-01	3.296204e+00
8.975320544859714e-01	3.296173e+00
9.008802654234714e-01	3.296148e+00
9.042284763609714e-01	3.296119e+00
9.075766872984714e-01	3.296087e+00
9.109248982359714e-01	3.296052e+00
9.142731091734715e-01	3.296013e+00
9.176213201109714e-01	3.295971e+00
9.209695310484715e-01	3.295926e+00
9.234806892515964e-01	3.295889e+00
9.259918474547215e-01	3.295846e+00
9.285030056578465e-01	3.295799e+00
9.310141638609715e-01	3.295747e+00
9.335253220640964e-01	3.295689e+00
9.360364802672215e-01	3.295626e+00
9.385476384703465e-01	3.295558e+00
9.414773230406590e-01	3.295466e+00
9.444070076109715e-01	3.295360e+00
9.473366921812840e-01	3.295236e+00
9.502663767515965e-01	3.295091e+00
9.531960613219090e-01	3.294919e+00
9.561257458922215e-01	3.294712e+00
9.580788689390966e-01	3.294549e+00
9.600319919859716e-01	3.294362e+00
9.619851150328466e-01	3.294145e+00
9.639382380797216e-01	3.293890e+00
9.649147996031591e-01	3.293747e+00
9.658913611265966e-01	3.293590e+00
9.668679226500341e-01	3.293418e+00
9.678444841734716e-01	3.293230e+00
9.688210456969091e-01	3.293023e+00
9.697976072203466e-01	3.292794e+00
9.707741687437841e-01	3.292540e+00
9.717507302672216e-01	3.292256e+00
9.727272917906591e-01	3.291944e+00
9.731944673187638e-01	3.291782e+00
9.734676949549517e-01	3.287874e+00
9.737306462905286e-01	3.276090e+00
9.737384232434028e-01	3.275030e+00
9.737539771491509e-01	3.271688e+00
9.737745929692588e-01	3.267101e+00
9.737959912485254e-01	3.262154e+00
9.738153430566656e-01	3.257510e+00
9.738418141989588e-01	3.250932e+00
9.738791119507422e-01	3.241242e+00
9.739537074543089e-01	3.220404e+00
9.741028984614423e-01	3.172019e+00
9.744012804757091e-01	3.053382e+00
9.749980445042428e-01	2.789218e+00
9.755265739155956e-01	2.565355e+00
9.760763131710738e-01	2.361761e+00
9.770528746945113e-01	2.053115e+00
9.780294362179488e-01	1.792074e+00
9.790059977413863e-01	1.573496e+00
9.799825592648238e-01	1.387806e+00
9.809591207882613e-01	1.228119e+00
9.819356823116988e-01	1.089390e+00
9.829122438351363e-01	9.678277e-01
9.838888053585738e-01	8.605508e-01
9.848653668820113e-01	7.653143e-01
9.858419284054488e-01	6.803378e-01
9.868184899288863e-01	6.041565e-01
9.877950514523238e-01	5.355327e-01
9.887716129757613e-01	4.733797e-01
9.897481744991988e-01	4.167409e-01
9.907247360226363e-01	3.647718e-01
9.917012975460738e-01	3.167330e-01
9.926778590695113e-01	2.719855e-01
9.936544205929488e-01	2.299959e-01
9.946309821163863e-01	1.903206e-01
9.956075436398238e-01	1.525966e-01
9.965841051632613e-01	1.165256e-01
9.975606666866988e-01	8.186410e-02
9.985372282101364e-01	4.841127e-02
9.995137897335739e-01	1.589070e-02
9.999990000000000e-01	3.223481e-05
