v1	-100*((V(vo)*I(RL))/(V(Vreg)*I(V1)))
2.000000000000000e+00	5.728144e+01
2.100000000000000e+00	5.912078e+01
2.200000000000000e+00	6.080071e+01
2.300000000000000e+00	6.234095e+01
2.400000000000000e+00	6.375811e+01
2.500000000000000e+00	6.506631e+01
2.600000000000001e+00	6.627762e+01
2.700000000000001e+00	6.740239e+01
2.800000000000001e+00	6.844955e+01
2.900000000000001e+00	6.942687e+01
3.000000000000001e+00	7.034111e+01
3.100000000000001e+00	7.119817e+01
3.200000000000001e+00	7.200327e+01
3.300000000000001e+00	7.276100e+01
3.400000000000001e+00	7.347542e+01
3.500000000000001e+00	7.415016e+01
3.600000000000001e+00	7.478843e+01
3.700000000000002e+00	7.539313e+01
3.800000000000002e+00	7.596683e+01
3.900000000000002e+00	7.651188e+01
4.000000000000002e+00	7.703037e+01
4.100000000000001e+00	7.752420e+01
4.200000000000001e+00	7.799509e+01
4.300000000000001e+00	7.844462e+01
4.400000000000000e+00	7.887420e+01
4.500000000000000e+00	7.928515e+01
4.600000000000000e+00	7.967865e+01
4.699999999999999e+00	8.005578e+01
4.799999999999999e+00	8.041750e+01
4.899999999999999e+00	8.076469e+01
4.999999999999998e+00	8.109799e+01
5.099999999999998e+00	8.141774e+01
5.199999999999998e+00	8.172356e+01
5.299999999999997e+00	8.201344e+01
5.399999999999997e+00	8.228183e+01
5.499999999999996e+00	8.251605e+01
5.599999999999996e+00	8.267812e+01
5.699999999999996e+00	8.268686e+01
5.799999999999995e+00	8.217477e+01
5.899999999999995e+00	8.092252e+01
5.999999999999995e+00	7.958810e+01
6.099999999999994e+00	7.829176e+01
6.199999999999994e+00	7.703275e+01
6.299999999999994e+00	7.581371e+01
6.399999999999993e+00	7.463276e+01
6.499999999999993e+00	7.348813e+01
6.599999999999993e+00	7.237816e+01
6.699999999999992e+00	7.130133e+01
6.799999999999992e+00	7.025613e+01
6.899999999999991e+00	6.924125e+01
6.999999999999991e+00	6.825533e+01
7.099999999999991e+00	6.729719e+01
7.199999999999990e+00	6.636564e+01
7.299999999999990e+00	6.545961e+01
7.399999999999990e+00	6.457806e+01
7.499999999999989e+00	6.372000e+01
7.599999999999989e+00	6.288452e+01
7.699999999999989e+00	6.207073e+01
7.799999999999988e+00	6.127779e+01
7.899999999999988e+00	6.050492e+01
7.999999999999988e+00	5.975136e+01
8.099999999999987e+00	5.901640e+01
8.199999999999987e+00	5.829937e+01
8.299999999999986e+00	5.759960e+01
8.399999999999986e+00	5.691648e+01
8.499999999999986e+00	5.624943e+01
8.599999999999985e+00	5.559788e+01
8.699999999999985e+00	5.496131e+01
8.799999999999985e+00	5.433919e+01
8.899999999999984e+00	5.373106e+01
8.999999999999984e+00	5.313642e+01
9.099999999999984e+00	5.255485e+01
9.199999999999983e+00	5.198592e+01
9.299999999999983e+00	5.142921e+01
9.399999999999983e+00	5.088434e+01
9.499999999999982e+00	5.035094e+01
9.599999999999982e+00	4.982864e+01
9.699999999999982e+00	4.931711e+01
9.799999999999981e+00	4.881601e+01
9.899999999999981e+00	4.832503e+01
1.000000000000000e+01	4.784386e+01
