time	V(vo)
0.000000000000000e+00	5.932750e-05
2.929687603625553e-10	5.932751e-05
2.343750082900442e-09	5.932751e-05
1.000000000000000e-03	5.932769e-05
1.000100460528146e-03	5.933268e-05
1.000301381584437e-03	5.934195e-05
1.000496264110597e-03	5.934982e-05
1.000711117629828e-03	5.935721e-05
1.000937524574069e-03	5.936384e-05
1.001276106992432e-03	5.937217e-05
1.001729553735653e-03	5.938154e-05
1.002265628487681e-03	5.939099e-05
1.002755268044648e-03	5.939858e-05
1.003252838004241e-03	5.940535e-05
1.003539102147746e-03	5.940826e-05
1.003774030820045e-03	5.940829e-05
1.004042505388817e-03	5.940253e-05
1.004235783219388e-03	5.938980e-05
1.004421831651000e-03	5.936408e-05
1.004598239471262e-03	5.932705e-05
1.004743407829935e-03	5.929337e-05
1.004867639749056e-03	5.927015e-05
1.004969100201056e-03	5.925940e-05
1.005085105253950e-03	5.925429e-05
1.005168813541918e-03	5.925393e-05
1.005243937054445e-03	5.926294e-05
1.005294226298633e-03	5.928899e-05
1.005326878218922e-03	5.933395e-05
1.005361896009662e-03	5.942146e-05
1.005398469801876e-03	5.955008e-05
1.005450750087998e-03	5.976949e-05
1.005505427079367e-03	6.001928e-05
1.005600010300983e-03	6.048236e-05
1.005774992420427e-03	6.140536e-05
1.005949486460297e-03	6.241132e-05
1.006159632113892e-03	6.375300e-05
1.006444476041637e-03	6.579587e-05
1.006883747621758e-03	6.934110e-05
1.007238827951887e-03	7.256136e-05
1.007545579798559e-03	7.567672e-05
1.007754233525974e-03	7.802243e-05
1.007860078777916e-03	7.936537e-05
1.008014624455167e-03	8.160440e-05
1.008126034739365e-03	8.356884e-05
1.008279584870484e-03	8.715573e-05
1.008419626175624e-03	9.228438e-05
1.008540416375170e-03	1.023977e-04
1.008638223450784e-03	1.255427e-04
1.008737288831295e-03	1.841360e-04
1.008850324014188e-03	3.252797e-04
1.008975553710132e-03	6.292479e-04
1.009127353991208e-03	1.307920e-03
1.009305116986531e-03	2.727515e-03
1.009530643470546e-03	5.786886e-03
1.009793348986171e-03	1.122420e-02
1.010000000000000e-03	1.678863e-02
1.010023170860701e-03	1.759094e-02
1.010069512582102e-03	1.925841e-02
1.010162196024904e-03	2.277757e-02
1.010213280205234e-03	2.483544e-02
1.010267574519062e-03	2.715160e-02
1.010327621516244e-03	2.985431e-02
1.010433292285638e-03	3.487882e-02
1.010521666515865e-03	3.931419e-02
1.010610975479038e-03	4.403831e-02
1.010707828931578e-03	4.938105e-02
1.010781847087402e-03	5.359956e-02
1.010826517095053e-03	5.620850e-02
1.010864288077211e-03	5.845242e-02
1.010901537980495e-03	6.068890e-02
1.010908843377273e-03	6.113065e-02
1.010914322424857e-03	6.146337e-02
1.010915235599454e-03	6.151886e-02
1.010917061948649e-03	6.162991e-02
1.010917468030220e-03	6.165461e-02
1.010918280193362e-03	6.170402e-02
1.010919904519646e-03	6.180289e-02
1.010922616044359e-03	6.196802e-02
1.010925813652269e-03	6.216293e-02
1.010929395690851e-03	6.238153e-02
1.010936559768016e-03	6.281964e-02
1.010950887922345e-03	6.369919e-02
1.010979544231004e-03	6.546782e-02
1.011007137037235e-03	6.718217e-02
1.011035528595132e-03	6.895885e-02
1.011061905995906e-03	7.062060e-02
1.011087976020057e-03	7.227363e-02
1.011116478460257e-03	7.409226e-02
1.011146664682141e-03	7.603101e-02
1.011184177169415e-03	7.845772e-02
1.011230512482005e-03	8.148077e-02
1.011297703891200e-03	8.591174e-02
1.011400647337136e-03	9.279445e-02
1.011570009438622e-03	1.042965e-01
1.011785494129752e-03	1.191415e-01
1.011992117252589e-03	1.335244e-01
1.012221475130378e-03	1.495644e-01
1.012444257194164e-03	1.651317e-01
1.012642180874686e-03	1.789010e-01
1.012794510813534e-03	1.894381e-01
1.012864833669640e-03	1.942726e-01
1.012966318702938e-03	2.012113e-01
1.013038919252977e-03	2.061503e-01
1.013114564314567e-03	2.112675e-01
1.013304832618482e-03	2.240079e-01
1.013444479170177e-03	2.332196e-01
1.013680861102214e-03	2.485662e-01
1.013946877718899e-03	2.654894e-01
1.014206982423584e-03	2.815710e-01
1.014651456145076e-03	3.080321e-01
1.015226350093948e-03	3.402970e-01
1.016376137991693e-03	3.998610e-01
1.017578981111617e-03	4.569321e-01
1.018514572890470e-03	4.973992e-01
1.019425887186224e-03	5.333356e-01
1.020407892964275e-03	5.691547e-01
1.020553388345157e-03	5.740794e-01
1.020844379106922e-03	5.834205e-01
1.021098996023466e-03	5.912496e-01
1.021189930636518e-03	5.939612e-01
1.021226304481738e-03	5.950309e-01
1.021299052172179e-03	5.971457e-01
1.021444547553062e-03	6.012979e-01
1.021615548142207e-03	6.060395e-01
1.021890325985593e-03	6.133803e-01
1.022162305709074e-03	6.202829e-01
1.022706265156035e-03	6.332806e-01
1.023212473310893e-03	6.446750e-01
1.023841958851171e-03	6.581486e-01
1.024536868914626e-03	6.727347e-01
1.025337977238778e-03	6.897259e-01
1.026128613981723e-03	7.069980e-01
1.026954945916027e-03	7.255768e-01
1.027866072546015e-03	7.463275e-01
1.028871151682557e-03	7.690978e-01
1.029918275213594e-03	7.924634e-01
1.031066442211821e-03	8.177666e-01
