Freq.	V(vf)
1.00000000000000e+01	(5.42437334714716e+01dB,1.77927347450762e+02°)
1.04712854805090e+01	(5.42431894266227e+01dB,1.77829755991850e+02°)
1.09647819614319e+01	(5.42425929718585e+01dB,1.77727578583561e+02°)
1.14815362149688e+01	(5.42419390661584e+01dB,1.77620601071253e+02°)
1.20226443461741e+01	(5.42412221861914e+01dB,1.77508599498952e+02°)
1.25892541179417e+01	(5.42404362785301e+01dB,1.77391339690857e+02°)
1.31825673855641e+01	(5.42395747114015e+01dB,1.77268576818316e+02°)
1.38038426460289e+01	(5.42386302184928e+01dB,1.77140054954532e+02°)
1.44543977074593e+01	(5.42375948386825e+01dB,1.77005506616237e+02°)
1.51356124843621e+01	(5.42364598508792e+01dB,1.76864652292991e+02°)
1.58489319246111e+01	(5.42352157023792e+01dB,1.76717199965192e+02°)
1.65958690743756e+01	(5.42338519301699e+01dB,1.76562844611899e+02°)
1.73780082874938e+01	(5.42323570758107e+01dB,1.76401267709302e+02°)
1.81970085860999e+01	(5.42307185916649e+01dB,1.76232136722025e+02°)
1.90546071796325e+01	(5.42289227402300e+01dB,1.76055104588241e+02°)
1.99526231496888e+01	(5.42269544810410e+01dB,1.75869809203021e+02°)
2.08929613085404e+01	(5.42247973529689e+01dB,1.75675872898962e+02°)
2.18776162394956e+01	(5.42224333396961e+01dB,1.75472901932585e+02°)
2.29086765276778e+01	(5.42198427290933e+01dB,1.75260485975148e+02°)
2.39883291901949e+01	(5.42170039560788e+01dB,1.75038197617081e+02°)
2.51188643150958e+01	(5.42138934348714e+01dB,1.74805591888125e+02°)
2.63026799189539e+01	(5.42104853752292e+01dB,1.74562205801804e+02°)
2.75422870333817e+01	(5.42067515835979e+01dB,1.74307557930659e+02°)
2.88403150312661e+01	(5.42026612488615e+01dB,1.74041148020214e+02°)
3.01995172040202e+01	(5.41981807099478e+01dB,1.73762456652482e+02°)
3.16227766016838e+01	(5.41932732040269e+01dB,1.73470944970502e+02°)
3.31131121482592e+01	(5.41878985976584e+01dB,1.73166054474286e+02°)
3.46736850452532e+01	(5.41820130941037e+01dB,1.72847206906878e+02°)
3.63078054770102e+01	(5.41755689229887e+01dB,1.72513804241676e+02°)
3.80189396320562e+01	(5.41685140035835e+01dB,1.72165228795740e+02°)
3.98107170553498e+01	(5.41607915888086e+01dB,1.71800843483682e+02°)
4.16869383470336e+01	(5.41523398836965e+01dB,1.71419992240085e+02°)
4.36515832240167e+01	(5.41430916396896e+01dB,1.71022000635288e+02°)
4.57088189614876e+01	(5.41329737286727e+01dB,1.70606176709197e+02°)
4.78630092322639e+01	(5.41219066878305e+01dB,1.70171812064127e+02°)
5.01187233627273e+01	(5.41098042479846e+01dB,1.69718183239269e+02°)
5.24807460249774e+01	(5.40965728386721e+01dB,1.69244553412367e+02°)
5.49540873857626e+01	(5.40821110735904e+01dB,1.68750174467854e+02°)
5.75439937337158e+01	(5.40663092225411e+01dB,1.68234289470511e+02°)
