v1	V(vo)
2.000000000000000e+00	1.276594e+00
2.100000000000000e+00	1.374719e+00
2.200000000000000e+00	1.472931e+00
2.300000000000000e+00	1.571219e+00
2.400000000000000e+00	1.669575e+00
2.500000000000000e+00	1.767991e+00
2.600000000000001e+00	1.866462e+00
2.700000000000001e+00	1.964983e+00
2.800000000000001e+00	2.063549e+00
2.900000000000001e+00	2.162156e+00
3.000000000000001e+00	2.260801e+00
3.100000000000001e+00	2.359481e+00
3.200000000000001e+00	2.458194e+00
3.300000000000001e+00	2.556936e+00
3.400000000000001e+00	2.655705e+00
3.500000000000001e+00	2.754491e+00
3.600000000000001e+00	2.853268e+00
3.700000000000002e+00	2.951932e+00
3.800000000000002e+00	3.050092e+00
3.900000000000002e+00	3.146429e+00
4.000000000000002e+00	3.236269e+00
4.100000000000001e+00	3.303900e+00
4.200000000000001e+00	3.321381e+00
4.300000000000001e+00	3.322075e+00
4.400000000000000e+00	3.322302e+00
4.500000000000000e+00	3.322466e+00
4.600000000000000e+00	3.322627e+00
4.699999999999999e+00	3.322787e+00
4.799999999999999e+00	3.322947e+00
4.899999999999999e+00	3.323106e+00
4.999999999999998e+00	3.323265e+00
5.099999999999998e+00	3.323423e+00
5.199999999999998e+00	3.323581e+00
5.299999999999997e+00	3.323738e+00
5.399999999999997e+00	3.323894e+00
5.499999999999996e+00	3.324050e+00
5.599999999999996e+00	3.324206e+00
5.699999999999996e+00	3.324361e+00
5.799999999999995e+00	3.324516e+00
5.899999999999995e+00	3.324671e+00
5.999999999999995e+00	3.324824e+00
6.099999999999994e+00	3.324978e+00
6.199999999999994e+00	3.325130e+00
6.299999999999994e+00	3.325283e+00
6.399999999999993e+00	3.325435e+00
6.499999999999993e+00	3.325587e+00
6.599999999999993e+00	3.325738e+00
6.699999999999992e+00	3.325889e+00
6.799999999999992e+00	3.326039e+00
6.899999999999991e+00	3.326189e+00
6.999999999999991e+00	3.326338e+00
7.099999999999991e+00	3.326487e+00
7.199999999999990e+00	3.326636e+00
7.299999999999990e+00	3.326784e+00
7.399999999999990e+00	3.326932e+00
7.499999999999989e+00	3.327079e+00
7.599999999999989e+00	3.327226e+00
7.699999999999989e+00	3.327373e+00
7.799999999999988e+00	3.327519e+00
7.899999999999988e+00	3.327665e+00
7.999999999999988e+00	3.327811e+00
8.099999999999987e+00	3.327955e+00
8.199999999999987e+00	3.328100e+00
8.299999999999986e+00	3.328245e+00
8.399999999999986e+00	3.328388e+00
8.499999999999986e+00	3.328532e+00
8.599999999999985e+00	3.328675e+00
8.699999999999985e+00	3.328818e+00
8.799999999999985e+00	3.328961e+00
8.899999999999984e+00	3.329103e+00
8.999999999999984e+00	3.329245e+00
9.099999999999984e+00	3.329386e+00
9.199999999999983e+00	3.329527e+00
9.299999999999983e+00	3.329668e+00
9.399999999999983e+00	3.329808e+00
9.499999999999982e+00	3.329948e+00
9.599999999999982e+00	3.330088e+00
9.699999999999982e+00	3.330227e+00
9.799999999999981e+00	3.330366e+00
9.899999999999981e+00	3.330505e+00
1.000000000000000e+01	3.330643e+00
