Freq.	V(y)/V(x)
Step Information: Rload=8  (Step: 1/2)
1.00000000000000e-01	(7.37745452004969e+01dB,8.89987230445505e+01°)
1.00770481413610e-01	(7.37078990584082e+01dB,8.90064987809940e+01°)
1.01546899243308e-01	(7.36412526037973e+01dB,8.90142160381731e+01°)
1.02329299228075e-01	(7.35746058414221e+01dB,8.90218752695034e+01°)
1.03117727459306e-01	(7.35079587759688e+01dB,8.90294769250638e+01°)
1.03912230383517e-01	(7.34413114120524e+01dB,8.90370214517835e+01°)
1.04712854805090e-01	(7.33746637542173e+01dB,8.90445092929081e+01°)
1.05519647889024e-01	(7.33080158069393e+01dB,8.90519408886692e+01°)
1.06332657163716e-01	(7.32413675746259e+01dB,8.90593166759304e+01°)
1.07151930523761e-01	(7.31747190616171e+01dB,8.90666370880823e+01°)
1.07977516232771e-01	(7.31080702721875e+01dB,8.90739025558061e+01°)
1.08809462926223e-01	(7.30414212105461e+01dB,8.90811135056901e+01°)
1.09647819614319e-01	(7.29747718808383e+01dB,8.90882703619700e+01°)
1.10492635684876e-01	(7.29081222871465e+01dB,8.90953735454357e+01°)
1.11343960906236e-01	(7.28414724334902e+01dB,8.91024234733920e+01°)
1.12201845430196e-01	(7.27748223238287e+01dB,8.91094205605641e+01°)
1.13066339794964e-01	(7.27081719620610e+01dB,8.91163652184231e+01°)
1.13937494928134e-01	(7.26415213520253e+01dB,8.91232578548708e+01°)
1.14815362149688e-01	(7.25748704975039e+01dB,8.91300988757241e+01°)
1.15699993175021e-01	(7.25082194022193e+01dB,8.91368886828049e+01°)
1.16591440117983e-01	(7.24415680698384e+01dB,8.91436276755258e+01°)
1.17489755493953e-01	(7.23749165039723e+01dB,8.91503162501851e+01°)
1.18394992222930e-01	(7.23082647081772e+01dB,8.91569548001854e+01°)
1.19307203632654e-01	(7.22416126859543e+01dB,8.91635437156189e+01°)
1.20226443461741e-01	(7.21749604407533e+01dB,8.91700833843693e+01°)
1.21152765862859e-01	(7.21083079759692e+01dB,8.91765741906023e+01°)
1.22086225405907e-01	(7.20416552949468e+01dB,8.91830165163254e+01°)
1.23026877081238e-01	(7.19750024009801e+01dB,8.91894107403539e+01°)
1.23974776302895e-01	(7.19083492973124e+01dB,8.91957572389277e+01°)
1.24929978911874e-01	(7.18416959871372e+01dB,8.92020563849078e+01°)
1.25892541179417e-01	(7.17750424736009e+01dB,8.92083085491815e+01°)
1.26862519810326e-01	(7.17083887598003e+01dB,8.92145140993110e+01°)
1.27839971946303e-01	(7.16417348487865e+01dB,8.92206734003335e+01°)
1.28824955169314e-01	(7.15750807435634e+01dB,8.92267868146565e+01°)
1.29817527504985e-01	(7.15084264470893e+01dB,8.92328547017209e+01°)
1.30817747426020e-01	(7.14417719622773e+01dB,8.92388774184854e+01°)
1.31825673855641e-01	(7.13751172919968e+01dB,8.92448553192307e+01°)
1.32841366171065e-01	(7.13084624390732e+01dB,8.92507887558402e+01°)
1.33864884207000e-01	(7.12418074062885e+01dB,8.92566780770015e+01°)
1.34896288259166e-01	(7.11751521963831e+01dB,8.92625236295625e+01°)
1.35935639087853e-01	(7.11084968120551e+01dB,8.92683257573129e+01°)
1.36982997921497e-01	(7.10418412559617e+01dB,8.92740848012732e+01°)
1.38038426460289e-01	(7.09751855307200e+01dB,8.92798011006456e+01°)
1.39101986879806e-01	(7.09085296389069e+01dB,8.92854749915790e+01°)
1.40173741834677e-01	(7.08418735830600e+01dB,8.92911068078506e+01°)
1.41253754462276e-01	(7.07752173656788e+01dB,8.92966968809469e+01°)
1.42342088386435e-01	(7.07085609892244e+01dB,8.93022455397912e+01°)
