time	V(Vreg,N001)*(-Ic(Q7))	V(vo)
0.000000000000000e+00	7.502579e-01	4.968601e+00
7.314285507423590e-08	7.502579e-01	4.968601e+00
1.462857101484718e-07	7.502579e-01	4.968601e+00
2.194285652227077e-07	7.502579e-01	4.968601e+00
2.925714202969436e-07	7.502579e-01	4.968601e+00
3.657142753711795e-07	7.502579e-01	4.968601e+00
4.388571304454154e-07	7.502580e-01	4.968601e+00
5.119999855196511e-07	7.502580e-01	4.968601e+00
1.023999971039302e-06	7.502584e-01	4.968601e+00
2.047999942078604e-06	7.502593e-01	4.968601e+00
4.095999884157209e-06	7.502608e-01	4.968601e+00
8.191999768314417e-06	7.502638e-01	4.968601e+00
1.638399953662883e-05	7.502698e-01	4.968600e+00
3.276799907325767e-05	7.502820e-01	4.968599e+00
6.553599814651534e-05	7.503053e-01	4.968598e+00
1.310719962930307e-04	7.503526e-01	4.968597e+00
2.621439925860614e-04	7.504465e-01	4.968595e+00
9.023437500097656e-03	7.567757e-01	4.968435e+00
9.348160561166979e-03	7.570125e-01	4.968429e+00
9.355340511250110e-03	7.570177e-01	4.968429e+00
9.364913778027619e-03	7.570246e-01	4.968429e+00
9.384060311582636e-03	7.570385e-01	4.968428e+00
9.916270778062916e-03	7.574269e-01	4.968419e+00
9.956851672224673e-03	7.574565e-01	4.968418e+00
9.959851672224672e-03	7.574587e-01	4.968418e+00
9.963851672224673e-03	7.574615e-01	4.968418e+00
9.984000000000000e-03	7.574762e-01	4.968417e+00
9.986999999999999e-03	7.574785e-01	4.968417e+00
9.991000000000000e-03	7.574815e-01	4.968417e+00
9.994000000000003e-03	7.574834e-01	4.968417e+00
9.995999999999996e-03	7.574849e-01	4.968417e+00
9.999999999999983e-03	7.574880e-01	4.968417e+00
1.000000000000000e-02	7.574880e-01	4.968417e+00
1.000000000000003e-02	7.574880e-01	4.968417e+00
1.000000000000010e-02	7.574880e-01	4.968417e+00
1.000000000000024e-02	7.574880e-01	4.968417e+00
1.000000000000052e-02	7.574880e-01	4.968417e+00
1.000000000000059e-02	7.574880e-01	4.968417e+00
1.000000000000073e-02	7.574880e-01	4.968417e+00
1.000000000000101e-02	7.574880e-01	4.968417e+00
1.000000000000108e-02	7.574880e-01	4.968417e+00
1.000000000000121e-02	7.574880e-01	4.968417e+00
1.000000000000149e-02	7.574880e-01	4.968417e+00
1.000000000000156e-02	7.574880e-01	4.968417e+00
1.000000000000170e-02	7.574880e-01	4.968417e+00
1.000000000000198e-02	7.574880e-01	4.968417e+00
1.000000000000253e-02	7.574880e-01	4.968417e+00
1.000000000000364e-02	7.574880e-01	4.968417e+00
