v1	V(vo)
1.000000000000000e+00	4.200565e-01
1.100000000000000e+00	5.116700e-01
1.200000000000000e+00	5.777784e-01
1.300000000000000e+00	6.336274e-01
1.400000000000000e+00	7.133582e-01
1.500000000000000e+00	8.099127e-01
1.600000000000001e+00	9.078264e-01
1.700000000000001e+00	1.005960e+00
1.800000000000001e+00	1.104244e+00
1.900000000000001e+00	1.202650e+00
2.000000000000001e+00	1.301162e+00
2.100000000000001e+00	1.399762e+00
2.200000000000001e+00	1.498441e+00
2.300000000000001e+00	1.597188e+00
2.400000000000001e+00	1.695995e+00
2.500000000000001e+00	1.794856e+00
2.600000000000001e+00	1.893765e+00
2.700000000000002e+00	1.992718e+00
2.800000000000002e+00	2.091710e+00
2.900000000000002e+00	2.190738e+00
3.000000000000002e+00	2.289799e+00
3.100000000000002e+00	2.388890e+00
3.200000000000002e+00	2.488009e+00
3.300000000000002e+00	2.587154e+00
3.400000000000002e+00	2.686322e+00
3.500000000000002e+00	2.785513e+00
3.600000000000002e+00	2.884725e+00
3.700000000000002e+00	2.983956e+00
3.800000000000002e+00	3.083205e+00
3.900000000000003e+00	3.182471e+00
4.000000000000003e+00	3.281754e+00
4.100000000000002e+00	3.381051e+00
4.200000000000002e+00	3.480363e+00
4.300000000000002e+00	3.579689e+00
4.400000000000001e+00	3.679027e+00
4.500000000000001e+00	3.778378e+00
4.600000000000001e+00	3.877739e+00
4.700000000000000e+00	3.977111e+00
4.800000000000000e+00	4.076489e+00
4.899999999999999e+00	4.175869e+00
4.999999999999999e+00	4.275236e+00
5.099999999999999e+00	4.374555e+00
5.199999999999998e+00	4.473740e+00
5.299999999999998e+00	4.572578e+00
5.399999999999998e+00	4.670570e+00
5.499999999999997e+00	4.766622e+00
5.599999999999997e+00	4.857646e+00
5.699999999999997e+00	4.934876e+00
5.799999999999996e+00	4.968342e+00
5.899999999999996e+00	4.971070e+00
5.999999999999996e+00	4.971536e+00
6.099999999999995e+00	4.971781e+00
6.199999999999995e+00	4.972014e+00
6.299999999999994e+00	4.972247e+00
6.399999999999994e+00	4.972478e+00
6.499999999999994e+00	4.972709e+00
6.599999999999993e+00	4.972939e+00
6.699999999999993e+00	4.973169e+00
6.799999999999993e+00	4.973398e+00
6.899999999999992e+00	4.973626e+00
6.999999999999992e+00	4.973854e+00
7.099999999999992e+00	4.974081e+00
7.199999999999991e+00	4.974307e+00
7.299999999999991e+00	4.974532e+00
7.399999999999991e+00	4.974757e+00
7.499999999999990e+00	4.974981e+00
7.599999999999990e+00	4.975205e+00
7.699999999999990e+00	4.975428e+00
7.799999999999989e+00	4.975650e+00
7.899999999999989e+00	4.975872e+00
7.999999999999988e+00	4.976093e+00
8.099999999999989e+00	4.976314e+00
8.199999999999989e+00	4.976533e+00
8.299999999999988e+00	4.976753e+00
8.399999999999988e+00	4.976972e+00
8.499999999999988e+00	4.977190e+00
8.599999999999987e+00	4.977407e+00
8.699999999999987e+00	4.977624e+00
8.799999999999986e+00	4.977840e+00
8.899999999999986e+00	4.978056e+00
8.999999999999986e+00	4.978271e+00
9.099999999999985e+00	4.978487e+00
9.199999999999985e+00	4.978701e+00
9.299999999999985e+00	4.978914e+00
9.399999999999984e+00	4.979127e+00
9.499999999999984e+00	4.979340e+00
9.599999999999984e+00	4.979552e+00
9.699999999999983e+00	4.979763e+00
9.799999999999983e+00	4.979974e+00
9.899999999999983e+00	4.980185e+00
1.000000000000000e+01	4.980394e+00
