time	V(Vreg,N001)*(-Ic(Q7))
0.000000000000000e+00	1.191251e+00
9.999999717180685e-10	1.191252e+00
1.999999943436137e-09	1.191253e+00
3.999999886872274e-09	1.191253e+00
7.999999773744548e-09	1.191253e+00
1.599999954748910e-08	1.191253e+00
6.399999818995639e-08	1.191253e+00
1.279999963799128e-07	1.191253e+00
2.559999927598255e-07	1.191252e+00
5.119999855196511e-07	1.191251e+00
1.023999971039302e-06	1.191251e+00
2.047999942078604e-06	1.191252e+00
4.095999884157209e-06	1.191255e+00
8.191999768314417e-06	1.191260e+00
1.638399953662883e-05	1.191270e+00
3.276799907325767e-05	1.191289e+00
6.553599814651534e-05	1.191327e+00
1.310719962930307e-04	1.191404e+00
9.023437500097656e-03	1.201901e+00
9.348160561166979e-03	1.202288e+00
9.350553877861356e-03	1.202291e+00
9.355340511250110e-03	1.202297e+00
9.364913778027619e-03	1.202308e+00
9.384060311582636e-03	1.202331e+00
9.422353378692671e-03	1.202376e+00
9.498939512912740e-03	1.202468e+00
9.652111781352878e-03	1.202650e+00
9.833825272932617e-03	1.202867e+00
9.885835107441598e-03	1.202929e+00
9.916270778062916e-03	1.202965e+00
9.956851672224673e-03	1.203014e+00
9.957851672224672e-03	1.203015e+00
9.959851672224672e-03	1.203017e+00
9.963851672224673e-03	1.203022e+00
9.971851672224672e-03	1.203032e+00
9.984000000000000e-03	1.203046e+00
9.984999999999999e-03	1.203048e+00
9.986999999999999e-03	1.203050e+00
9.991000000000000e-03	1.203055e+00
9.992000000000001e-03	1.203056e+00
9.994000000000003e-03	1.203058e+00
9.995999999999996e-03	1.203061e+00
9.999999999999983e-03	1.203065e+00
1.000000000000000e-02	1.203065e+00
1.000000000000003e-02	1.203065e+00
1.000000000000010e-02	1.203065e+00
1.000000000000024e-02	1.203065e+00
1.000000000000052e-02	1.203065e+00
1.000000000000108e-02	1.203065e+00
1.000000000000219e-02	1.203065e+00
1.000000000000441e-02	1.203065e+00
1.000000000000885e-02	1.203065e+00
1.000000000001773e-02	1.203065e+00
1.000000000003549e-02	1.203065e+00
1.000000000007102e-02	1.203065e+00
1.000000000014207e-02	1.203065e+00
1.000000000028418e-02	1.203065e+00
1.000000000056840e-02	1.203065e+00
1.000000000227370e-02	1.203065e+00
1.000000004352578e-02	1.203065e+00
1.000000008477786e-02	1.203065e+00
1.000000012602995e-02	1.203065e+00
1.000000016728203e-02	1.203065e+00
1.000000020853411e-02	1.203065e+00
1.000000024978619e-02	1.203065e+00
1.000000029103827e-02	1.203065e+00
1.000008539895391e-02	1.203065e+00
1.000017050686954e-02	1.203065e+00
1.000025561478518e-02	1.203065e+00
1.000034072270081e-02	1.203066e+00
1.000042583061645e-02	1.203066e+00
1.000051093853208e-02	1.203066e+00
1.000059604644772e-02	1.203066e+00
1.000100000000000e-02	1.203066e+00
1.000112118606568e-02	1.203067e+00
1.000128276748660e-02	1.203067e+00
1.000160593032842e-02	1.203067e+00
1.000225225601207e-02	1.203068e+00
1.000354490737936e-02	1.203070e+00
1.000613021011396e-02	1.203073e+00
1.327775960456074e-02	1.206990e+00
1.402443750009766e-02	1.207887e+00
1.402743750009765e-02	1.207890e+00
1.453643750009728e-02	1.208503e+00
1.454243750009728e-02	1.208510e+00
1.500100000000000e-02	1.209062e+00
1.500200000000000e-02	1.209064e+00
3.000000000000000e-02	1.227413e+00
3.000100000000000e-02	1.227415e+00
3.500100000000000e-02	1.233657e+00
3.500200000000000e-02	1.233658e+00
5.000000000000000e-02	1.252769e+00
5.000100000000000e-02	1.252771e+00
5.500100000000000e-02	1.259274e+00
5.500200000000000e-02	1.259276e+00
7.000000000000001e-02	1.279197e+00
7.000099999999999e-02	1.279198e+00
7.500100000000000e-02	1.285980e+00
7.500200000000000e-02	1.285982e+00
9.000000000000000e-02	1.306765e+00
9.000100000000000e-02	1.306766e+00
9.500100000000000e-02	1.313846e+00
9.500200000000000e-02	1.313847e+00
1.100000000000000e-01	1.335550e+00
1.100010000000000e-01	1.335551e+00
1.150010000000000e-01	1.342947e+00
1.150020000000000e-01	1.342949e+00
1.300000000000000e-01	1.365633e+00
1.300010000000000e-01	1.365635e+00
1.350010000000000e-01	1.373369e+00
1.350020000000000e-01	1.373371e+00
1.500000000000000e-01	1.397105e+00
1.500006076655203e-01	1.397106e+00
1.500010000000000e-01	1.397107e+00
1.550010000000000e-01	1.405203e+00
1.550020000000000e-01	1.405205e+00
1.700000000000000e-01	1.430064e+00
1.700010000000000e-01	1.430066e+00
1.750010000000000e-01	1.438551e+00
1.750020000000000e-01	1.438552e+00
1.900000000000000e-01	1.464619e+00
1.900010000000000e-01	1.464620e+00
1.950010000000000e-01	1.473521e+00
1.950020000000000e-01	1.473523e+00
2.100000000000000e-01	1.500886e+00
2.100010000000000e-01	1.500888e+00
2.150010000000000e-01	1.510237e+00
2.150020000000000e-01	1.510239e+00
2.300000000000000e-01	1.538997e+00
2.300010000000000e-01	1.539000e+00
2.350010000000000e-01	1.548832e+00
2.350020000000000e-01	1.548834e+00
2.500000000000000e-01	1.579098e+00
2.500010000000000e-01	1.579100e+00
2.550010000000000e-01	1.589454e+00
2.550020000000000e-01	1.589456e+00
2.700000000000000e-01	1.621346e+00
2.700010000000000e-01	1.621348e+00
2.750010000000000e-01	1.632266e+00
2.750020000000000e-01	1.632268e+00
2.900000000000000e-01	1.665919e+00
2.900010000000000e-01	1.665922e+00
2.950010000000000e-01	1.677451e+00
2.950020000000000e-01	1.677453e+00
3.080314299988660e-01	1.708264e+00
3.100000000000001e-01	1.713016e+00
3.100010000000000e-01	1.713018e+00
