Freq.	Vvf
1.00000000000000e+01	5.88087632566611e+01	1.79994337143521e+02
1.00200000000000e+04	5.87165481528007e+01	1.74303190506996e+02
2.00300000000000e+04	5.84688089395360e+01	1.69142338049986e+02
3.00400000000000e+04	5.81280409748260e+01	1.64779094714003e+02
4.00500000000000e+04	5.77529299059362e+01	1.61211785651113e+02
5.00600000000000e+04	5.73819018519425e+01	1.58304827638005e+02
6.00700000000000e+04	5.70348784327833e+01	1.55895366823938e+02
7.00800000000000e+04	5.67197025614562e+01	1.53839694298652e+02
8.00900000000000e+04	5.64374239137314e+01	1.52025330720484e+02
9.01000000000000e+04	5.61856870822392e+01	1.50369565691320e+02
1.00110000000000e+05	5.59607057093420e+01	1.48813940595383e+02
1.10120000000000e+05	5.57583375450007e+01	1.47318340301693e+02
1.20130000000000e+05	5.55746233371168e+01	1.45855941007462e+02
1.30140000000000e+05	5.54060214604234e+01	1.44409287900435e+02
1.40150000000000e+05	5.52494791495597e+01	1.42967406632165e+02
1.50160000000000e+05	5.51024222265551e+01	1.41523742762636e+02
1.60170000000000e+05	5.49627088598591e+01	1.40074720947484e+02
1.70180000000000e+05	5.48285714446684e+01	1.38618750255507e+02
1.80190000000000e+05	5.46985585294493e+01	1.37155543118966e+02
1.90200000000000e+05	5.45714820745048e+01	1.35685651666375e+02
2.00210000000000e+05	5.44463718636551e+01	1.34210153367470e+02
2.10220000000000e+05	5.43224371867662e+01	1.32730438742233e+02
2.20230000000000e+05	5.41990351497521e+01	1.31248068638824e+02
2.30240000000000e+05	5.40756447072916e+01	1.29764678834717e+02
2.40250000000000e+05	5.39518454799096e+01	1.28281916827436e+02
2.50260000000000e+05	5.38273004996224e+01	1.26801400475323e+02
2.60270000000000e+05	5.37017421446037e+01	1.25324691475213e+02
2.70280000000000e+05	5.35749606471944e+01	1.23853278879251e+02
2.80290000000000e+05	5.34467946686206e+01	1.22388569403327e+02
2.90300000000000e+05	5.33171235371595e+01	1.20931882293627e+02
3.00310000000000e+05	5.31858608196280e+01	1.19484447259338e+02
3.10320000000000e+05	5.30529489701359e+01	1.18047404428839e+02
3.20330000000000e+05	5.29183548463634e+01	1.16621805647819e+02
3.30340000000000e+05	5.27820659323867e+01	1.15208616639628e+02
