v1	V(vo)
2.000000000000000e+00	1.091943e+00
2.100000000000000e+00	1.187495e+00
2.200000000000000e+00	1.283198e+00
2.300000000000000e+00	1.379032e+00
2.400000000000000e+00	1.474978e+00
2.500000000000000e+00	1.571023e+00
2.600000000000001e+00	1.667154e+00
2.700000000000001e+00	1.763363e+00
2.800000000000001e+00	1.859642e+00
2.900000000000001e+00	1.955982e+00
3.000000000000001e+00	2.052379e+00
3.100000000000001e+00	2.148827e+00
3.200000000000001e+00	2.245321e+00
3.300000000000001e+00	2.341857e+00
3.400000000000001e+00	2.438432e+00
3.500000000000001e+00	2.535042e+00
3.600000000000001e+00	2.631683e+00
3.700000000000002e+00	2.728344e+00
3.800000000000002e+00	2.824997e+00
3.900000000000002e+00	2.921534e+00
4.000000000000002e+00	3.017559e+00
4.100000000000001e+00	3.111745e+00
4.200000000000001e+00	3.200690e+00
4.300000000000001e+00	3.272678e+00
4.400000000000000e+00	3.296501e+00
4.500000000000000e+00	3.297563e+00
4.600000000000000e+00	3.297868e+00
4.699999999999999e+00	3.298009e+00
4.799999999999999e+00	3.298148e+00
4.899999999999999e+00	3.298287e+00
4.999999999999998e+00	3.298424e+00
5.099999999999998e+00	3.298562e+00
5.199999999999998e+00	3.298699e+00
5.299999999999997e+00	3.298836e+00
5.399999999999997e+00	3.298972e+00
5.499999999999996e+00	3.299108e+00
5.599999999999996e+00	3.299244e+00
5.699999999999996e+00	3.299379e+00
5.799999999999995e+00	3.299514e+00
5.899999999999995e+00	3.299649e+00
5.999999999999995e+00	3.299783e+00
6.099999999999994e+00	3.299917e+00
6.199999999999994e+00	3.300050e+00
6.299999999999994e+00	3.300184e+00
6.399999999999993e+00	3.300317e+00
6.499999999999993e+00	3.300449e+00
6.599999999999993e+00	3.300582e+00
6.699999999999992e+00	3.300714e+00
6.799999999999992e+00	3.300845e+00
6.899999999999991e+00	3.300977e+00
6.999999999999991e+00	3.301108e+00
7.099999999999991e+00	3.301238e+00
7.199999999999990e+00	3.301369e+00
7.299999999999990e+00	3.301499e+00
7.399999999999990e+00	3.301629e+00
7.499999999999989e+00	3.301758e+00
7.599999999999989e+00	3.301887e+00
7.699999999999989e+00	3.302016e+00
7.799999999999988e+00	3.302145e+00
7.899999999999988e+00	3.302273e+00
7.999999999999988e+00	3.302401e+00
8.099999999999987e+00	3.302528e+00
8.199999999999987e+00	3.302656e+00
8.299999999999986e+00	3.302783e+00
8.399999999999986e+00	3.302910e+00
8.499999999999986e+00	3.303036e+00
8.599999999999985e+00	3.303162e+00
8.699999999999985e+00	3.303288e+00
8.799999999999985e+00	3.303414e+00
8.899999999999984e+00	3.303539e+00
8.999999999999984e+00	3.303664e+00
9.099999999999984e+00	3.303789e+00
9.199999999999983e+00	3.303914e+00
9.299999999999983e+00	3.304038e+00
9.399999999999983e+00	3.304162e+00
9.499999999999982e+00	3.304286e+00
9.599999999999982e+00	3.304409e+00
9.699999999999982e+00	3.304533e+00
9.799999999999981e+00	3.304655e+00
9.899999999999981e+00	3.304778e+00
1.000000000000000e+01	3.304900e+00
