time	I(Rl)
0.000000000000000e+00	4.126063e-01
3.684060809062963e-02	4.278703e-01
7.368121618125925e-02	4.448708e-01
1.105218242718889e-01	4.636076e-01
1.473624323625185e-01	4.840808e-01
1.842030404531481e-01	5.062903e-01
2.210436485437778e-01	5.302363e-01
2.578842566344073e-01	5.559186e-01
2.839724001890949e-01	5.755785e-01
3.100605437437824e-01	5.973193e-01
3.361486872984700e-01	6.211410e-01
3.622368308531576e-01	6.470436e-01
3.883249744078452e-01	6.750271e-01
4.144131179625327e-01	7.050915e-01
4.405012615172202e-01	7.372367e-01
4.591954392515953e-01	7.620538e-01
4.778896169859703e-01	7.893043e-01
4.965837947203454e-01	8.189883e-01
5.152779724547205e-01	8.511058e-01
5.339721501890955e-01	8.856568e-01
5.526663279234706e-01	9.226413e-01
5.713605056578456e-01	9.620592e-01
5.850323669859706e-01	9.930005e-01
5.987042283140956e-01	1.026774e+00
6.123760896422207e-01	1.063380e+00
6.260479509703457e-01	1.102819e+00
6.397198122984707e-01	1.145090e+00
6.533916736265958e-01	1.190193e+00
6.670635349547208e-01	1.238129e+00
6.699932195250333e-01	1.249085e+00
6.729229040953458e-01	1.260251e+00
6.758525886656583e-01	1.271628e+00
6.787822732359708e-01	1.283213e+00
6.817119578062834e-01	1.295009e+00
6.846416423765959e-01	1.307015e+00
6.875713269469084e-01	1.319230e+00
6.889664148375334e-01	1.325132e+00
6.903615027281583e-01	1.331090e+00
6.917565906187834e-01	1.337102e+00
6.931516785094084e-01	1.343169e+00
6.945467664000334e-01	1.349291e+00
6.959418542906584e-01	1.355468e+00
6.973369421812834e-01	1.361700e+00
6.992900652281584e-01	1.370524e+00
7.012431882750334e-01	1.379463e+00
7.022197497984709e-01	1.383976e+00
7.031963113219084e-01	1.388519e+00
7.041728728453459e-01	1.393092e+00
7.051494343687834e-01	1.397695e+00
7.061259958922209e-01	1.402328e+00
7.071025574156584e-01	1.406992e+00
7.080791189390959e-01	1.411687e+00
7.090556804625334e-01	1.416414e+00
7.100322419859709e-01	1.421172e+00
7.110088035094084e-01	1.425963e+00
7.119853650328459e-01	1.430786e+00
7.129619265562834e-01	1.435641e+00
7.139384880797209e-01	1.440530e+00
7.149150496031584e-01	1.445452e+00
7.158916111265959e-01	1.450407e+00
7.168681726500334e-01	1.455397e+00
7.178447341734709e-01	1.460421e+00
7.188212956969084e-01	1.465480e+00
7.197978572203459e-01	1.470574e+00
7.207744187437835e-01	1.475703e+00
7.217509802672210e-01	1.480868e+00
7.227275417906585e-01	1.486067e+00
7.233872066424636e-01	1.489600e+00
7.241196360382306e-01	1.493543e+00
7.247955457462459e-01	1.497064e+00
7.255821918703165e-01	1.500012e+00
7.262857232248472e-01	1.500550e+00
7.270368013829075e-01	1.499352e+00
7.280133629063450e-01	1.496911e+00
7.289899244297825e-01	1.494009e+00
7.299664859532200e-01	1.490658e+00
7.309430474766575e-01	1.486784e+00
7.319196090000950e-01	1.482262e+00
7.328961705235325e-01	1.476931e+00
7.338727320469700e-01	1.470601e+00
7.348492935704075e-01	1.463082e+00
7.358258550938450e-01	1.454228e+00
7.368024166172825e-01	1.444009e+00
7.377789781407200e-01	1.432555e+00
7.387555396641575e-01	1.420137e+00
7.397321011875950e-01	1.407086e+00
7.407086627110325e-01	1.393709e+00
7.416852242344700e-01	1.380232e+00
7.426617857579075e-01	1.366806e+00
7.436383472813450e-01	1.353520e+00
7.446149088047825e-01	1.340421e+00
7.455914703282200e-01	1.327535e+00
7.465680318516575e-01	1.314872e+00
7.475445933750950e-01	1.302436e+00
7.485211548985325e-01	1.290226e+00
7.494977164219701e-01	1.278238e+00
7.504742779454076e-01	1.266467e+00
7.514508394688451e-01	1.254910e+00
7.524274009922826e-01	1.243561e+00
7.534039625157201e-01	1.232415e+00
7.543805240391576e-01	1.221466e+00
7.553570855625951e-01	1.210709e+00
7.573102086094701e-01	1.189754e+00
7.591238228672825e-01	1.170994e+00
7.609374371250951e-01	1.152758e+00
7.627510513829076e-01	1.135045e+00
7.645646656407201e-01	1.117855e+00
7.663782798985326e-01	1.101188e+00
7.681918941563451e-01	1.085043e+00
7.700055084141576e-01	1.069422e+00
7.740512632969702e-01	1.036399e+00
7.780970181797826e-01	1.005008e+00
7.821427730625952e-01	9.752478e-01
7.861885279454076e-01	9.471189e-01
7.902342828282202e-01	9.206213e-01
7.942800377110326e-01	8.957548e-01
7.983257925938452e-01	8.725197e-01
8.013949859532202e-01	8.555307e-01
8.044641793125952e-01	8.391119e-01
8.075333726719702e-01	8.232632e-01
8.106025660313452e-01	8.079847e-01
8.136717593907202e-01	7.932764e-01
8.167409527500953e-01	7.791382e-01
8.198101461094702e-01	7.655702e-01
8.217632691563452e-01	7.571329e-01
8.227398306797827e-01	7.529836e-01
8.237163922032202e-01	7.488796e-01
8.246929537266577e-01	7.448200e-01
8.256695152500952e-01	7.408042e-01
8.276226382969702e-01	7.329011e-01
8.305523228672828e-01	7.213576e-01
8.334820074375953e-01	7.101721e-01
8.364116920079078e-01	6.993282e-01
8.383648150547828e-01	6.922811e-01
8.403179381016578e-01	6.853747e-01
8.432476226719703e-01	6.752700e-01
8.471538687657203e-01	6.623116e-01
8.510601148594703e-01	6.497852e-01
8.549663609532203e-01	6.376905e-01
8.588726070469703e-01	6.260278e-01
8.627788531407203e-01	6.147969e-01
8.666850992344703e-01	6.039978e-01
8.705913453282204e-01	5.936306e-01
8.735210298985329e-01	5.860515e-01
8.754741529454079e-01	5.811081e-01
8.784038375157204e-01	5.738525e-01
8.830076275547829e-01	5.628547e-01
8.876114175938454e-01	5.522640e-01
8.922152076329080e-01	5.420806e-01
8.968189976719704e-01	5.323044e-01
9.014227877110329e-01	5.229355e-01
9.060265777500954e-01	5.139738e-01
9.106303677891580e-01	5.054194e-01
9.176058072422830e-01	4.931892e-01
9.245812466954080e-01	4.818246e-01
9.315566861485330e-01	4.713256e-01
9.385321256016580e-01	4.616920e-01
9.455075650547831e-01	4.529240e-01
9.524830045079081e-01	4.450216e-01
9.594584439610331e-01	4.379846e-01
9.619696021641581e-01	4.356191e-01
9.644807603672831e-01	4.333369e-01
9.669919185704081e-01	4.311381e-01
9.695030767735331e-01	4.290227e-01
9.720142349766581e-01	4.269908e-01
9.745253931797832e-01	4.250422e-01
9.770365513829081e-01	4.231770e-01
9.780131129063456e-01	4.224683e-01
9.809427974766581e-01	4.204164e-01
9.838724820469706e-01	4.184461e-01
9.868021666172831e-01	4.165575e-01
9.897318511875957e-01	4.147506e-01
9.926615357579082e-01	4.130253e-01
9.955912203282207e-01	4.113818e-01
9.985209048985332e-01	4.098198e-01
9.994974664219707e-01	4.093105e-01
9.999990000000000e-01	4.091484e-01
