time	V(vr)
0.000000000000000e+00	7.093715e+00
1.673234013054915e-09	7.093752e+00
5.019702039164744e-09	7.093827e+00
1.171263809138440e-08	7.093976e+00
1.751382970260231e-08	7.094105e+00
2.425717531363608e-08	7.094255e+00
3.144098341504735e-08	7.094415e+00
4.205182157527727e-08	7.094650e+00
5.480296182494649e-08	7.094932e+00
6.642704005576161e-08	7.095189e+00
8.070137156822774e-08	7.095503e+00
9.732879954167320e-08	7.095868e+00
1.222280459472719e-07	7.096412e+00
1.562778510738883e-07	7.097152e+00
2.127776250501481e-07	7.098368e+00
2.964230696138659e-07	7.100143e+00
4.548559609062117e-07	7.103423e+00
6.501684609062106e-07	7.107316e+00
8.454809609062094e-07	7.111042e+00
1.040793460906208e-06	7.114600e+00
1.236105960906207e-06	7.117990e+00
1.431418460906206e-06	7.121213e+00
1.579557523129008e-06	7.123544e+00
1.710123315506958e-06	7.125518e+00
1.849402984036191e-06	7.127541e+00
2.030315000451690e-06	7.130039e+00
2.121406081119782e-06	7.131241e+00
2.169836009259743e-06	7.131866e+00
2.200870341893586e-06	7.132260e+00
2.218293649402406e-06	7.132480e+00
2.241040220832745e-06	7.132764e+00
2.264650022479474e-06	7.133057e+00
2.290198043479277e-06	7.133371e+00
2.323589951606228e-06	7.133778e+00
2.360778349825670e-06	7.134224e+00
2.415439806201274e-06	7.134870e+00
2.473965761319303e-06	7.135546e+00
2.591017671555360e-06	7.136852e+00
2.697435727259190e-06	7.137986e+00
2.892748227259189e-06	7.139935e+00
3.088060727259187e-06	7.141712e+00
3.283373227259186e-06	7.143317e+00
3.478685727259185e-06	7.144750e+00
3.673998227259184e-06	7.146011e+00
3.869310727259183e-06	7.147099e+00
4.004076748667498e-06	7.147749e+00
4.141908195297317e-06	7.148329e+00
4.201231956346243e-06	7.148552e+00
4.201773815247711e-06	7.148554e+00
4.202857533050647e-06	7.148558e+00
4.205024968656518e-06	7.148566e+00
4.207615409925320e-06	7.148575e+00
4.212796292462923e-06	7.148593e+00
4.223158057538130e-06	7.148630e+00
4.243881587688545e-06	7.148703e+00
4.274246437310171e-06	7.148805e+00
4.317303362505709e-06	7.148942e+00
4.372047964867404e-06	7.149105e+00
4.481537169590798e-06	7.149390e+00
4.527920972812647e-06	7.149494e+00
4.529762464750229e-06	7.149498e+00
4.532217787333669e-06	7.149503e+00
4.535611318384087e-06	7.149510e+00
4.538782092260003e-06	7.149517e+00
4.542068588569345e-06	7.149524e+00
4.543441587292158e-06	7.149527e+00
4.544768864125622e-06	7.149529e+00
4.545805717702590e-06	7.149532e+00
4.546909739812739e-06	7.149534e+00
4.549117784033035e-06	7.149539e+00
4.550203732335868e-06	7.149541e+00
4.551002600485458e-06	7.149542e+00
4.551820369178379e-06	7.149544e+00
4.552191553150725e-06	7.149545e+00
4.552695368004835e-06	7.149546e+00
4.553377214580544e-06	7.149547e+00
4.554073949202102e-06	7.149549e+00
4.555097046880832e-06	7.149551e+00
4.556272051825293e-06	7.149553e+00
4.559777419771816e-06	7.149560e+00
4.562259491729260e-06	7.149565e+00
4.565805143162087e-06	7.149572e+00
4.571155426800632e-06	7.149582e+00
4.579927535388141e-06	7.149600e+00
4.596575794896857e-06	7.149631e+00
4.619380393407214e-06	7.149671e+00
4.646702268760789e-06	7.149717e+00
4.676395015954588e-06	7.149762e+00
4.710222355497828e-06	7.149809e+00
4.748904457800334e-06	7.149857e+00
4.800511492393699e-06	7.149909e+00
4.863946178663784e-06	7.149958e+00
4.964796127507467e-06	7.149997e+00
5.103635878850146e-06	7.149976e+00
5.298948378850145e-06	7.149797e+00
5.494260878850144e-06	7.149446e+00
5.689573378850143e-06	7.148921e+00
5.884885878850142e-06	7.148223e+00
