Freq.	V(y)/V(x)
Step Information: Rload=8  (Step: 1/2)
1.00000000000000e-01	(1.70172760197487e+02dB,5.65504813022065e+00°)
1.00770481413610e-01	(1.70172107303984e+02dB,5.69833315572638e+00°)
1.01546899243308e-01	(1.70171444420884e+02dB,5.74194508007291e+00°)
1.02329299228075e-01	(1.70170771396741e+02dB,5.78588627098297e+00°)
1.03117727459306e-01	(1.70170089315355e+02dB,5.83015994329850e+00°)
1.03912230383517e-01	(1.70169395545615e+02dB,5.87476683297414e+00°)
1.04712854805090e-01	(1.70168691785455e+02dB,5.91971060188720e+00°)
1.05519647889024e-01	(1.70167977255517e+02dB,5.96499325961645e+00°)
1.06332657163716e-01	(1.70167250556137e+02dB,6.01061638837132e+00°)
1.07151930523761e-01	(1.70166513995446e+02dB,6.05658415599204e+00°)
1.07977516232771e-01	(1.70165765550592e+02dB,6.10289774533498e+00°)
1.08809462926223e-01	(1.70165006905608e+02dB,6.14956095049804e+00°)
1.09647819614319e-01	(1.70164235415371e+02dB,6.19657452239405e+00°)
1.10492635684876e-01	(1.70163451522945e+02dB,6.24394140309142e+00°)
1.11343960906236e-01	(1.70162656903726e+02dB,6.29166546179718e+00°)
1.12201845430196e-01	(1.70161850141302e+02dB,6.33974835992343e+00°)
1.13066339794964e-01	(1.70161031052408e+02dB,6.38819265927390e+00°)
1.13937494928134e-01	(1.70160198216430e+02dB,6.43700001749248e+00°)
1.14815362149688e-01	(1.70159354531451e+02dB,6.48617532030616e+00°)
1.15699993175021e-01	(1.70158496719476e+02dB,6.53571887443416e+00°)
1.16591440117983e-01	(1.70157626437876e+02dB,6.58563469048985e+00°)
1.17489755493953e-01	(1.70156742872324e+02dB,6.63592494310582e+00°)
1.18394992222930e-01	(1.70155845822816e+02dB,6.68659228502534e+00°)
1.19307203632654e-01	(1.70154934469845e+02dB,6.73763890347308e+00°)
1.20226443461741e-01	(1.70154009224363e+02dB,6.78906795464566e+00°)
1.21152765862859e-01	(1.70153069261154e+02dB,6.84088164918342e+00°)
1.22086225405907e-01	(1.70152115601049e+02dB,6.89308367204923e+00°)
1.23026877081238e-01	(1.70151148644649e+02dB,6.94567725802324e+00°)
1.23974776302895e-01	(1.70150165709332e+02dB,6.99866317779456e+00°)
1.24929978911874e-01	(1.70149167806131e+02dB,7.05204517255016e+00°)
1.25892541179417e-01	(1.70148154094857e+02dB,7.10582551066039e+00°)
1.26862519810326e-01	(1.70147128040985e+02dB,7.16001002977840e+00°)
1.27839971946303e-01	(1.70146083873238e+02dB,7.21459696641922e+00°)
1.28824955169314e-01	(1.70145022589268e+02dB,7.26959012970787e+00°)
1.29817527504985e-01	(1.70143947027252e+02dB,7.32499493824071e+00°)
1.30817747426020e-01	(1.70142853870147e+02dB,7.38081164940228e+00°)
1.31825673855641e-01	(1.70141744718237e+02dB,7.43704469198518e+00°)
1.32841366171065e-01	(1.70140619322725e+02dB,7.49369695693523e+00°)
1.33864884207000e-01	(1.70139476202444e+02dB,7.55077027553937e+00°)
1.34896288259166e-01	(1.70138315716559e+02dB,7.60826808687860e+00°)
1.35935639087853e-01	(1.70137138833985e+02dB,7.66619440536055e+00°)
1.36982997921497e-01	(1.70135942221326e+02dB,7.72454944671894e+00°)
1.38038426460289e-01	(1.70134729295724e+02dB,7.78333944849996e+00°)
1.39101986879806e-01	(1.70133495490262e+02dB,7.84256351318674e+00°)
1.40173741834677e-01	(1.70132244826227e+02dB,7.90222850574775e+00°)
1.41253754462276e-01	(1.70130973344577e+02dB,7.96233406477412e+00°)
1.42342088386435e-01	(1.70129685055678e+02dB,8.02288715532245e+00°)
1.43438807721197e-01	(1.70128376606899e+02dB,8.08388798227278e+00°)
1.44543977074593e-01	(1.70127047708385e+02dB,8.14533957322794e+00°)
1.45657661552446e-01	(1.70125698678613e+02dB,8.20724555273327e+00°)
1.46779926762207e-01	(1.70124329218854e+02dB,8.26960898990490e+00°)
1.47910838816821e-01	(1.70122939026170e+02dB,8.33243296671359e+00°)
1.49050464338620e-01	(1.70121528405160e+02dB,8.39572117622437e+00°)
1.50198870463249e-01	(1.70120094597014e+02dB,8.45947434086084e+00°)
1.51356124843621e-01	(1.70118640956273e+02dB,8.52369917292190e+00°)
1.52522295653902e-01	(1.70117165326906e+02dB,8.58839702294252e+00°)
1.53697451593528e-01	(1.70115666772907e+02dB,8.65357042874488e+00°)
1.54881661891249e-01	(1.70114144354561e+02dB,8.71922192345478e+00°)
1.56074996309212e-01	(1.70112600792010e+02dB,8.78535777073733e+00°)
1.57277525147067e-01	(1.70111034523693e+02dB,8.85197994790072e+00°)
1.58489319246112e-01	(1.70109442154544e+02dB,8.91908851452251e+00°)
1.59710449993461e-01	(1.70107826388533e+02dB,8.98668981370670e+00°)
1.60940989326254e-01	(1.70106186262037e+02dB,9.05478644771788e+00°)
1.62181009735894e-01	(1.70104523245300e+02dB,9.12338359531831e+00°)
1.63430584272314e-01	(1.70102833926894e+02dB,9.19248130129530e+00°)
1.64689786548288e-01	(1.70101119158026e+02dB,9.26208411418924e+00°)
1.65958690743757e-01	(1.70099378565399e+02dB,9.33219531252571e+00°)
1.67237371610209e-01	(1.70097610553565e+02dB,9.40281685682638e+00°)
1.68525904475076e-01	(1.70095818389822e+02dB,9.47395603781178e+00°)
1.69824365246175e-01	(1.70093997426221e+02dB,9.54561150558610e+00°)
1.71132830416179e-01	(1.70092149701681e+02dB,9.61778925811865e+00°)
1.72451377067121e-01	(1.70090273600735e+02dB,9.69049127745079e+00°)
1.73780082874938e-01	(1.70088370540598e+02dB,9.76372296228340e+00°)
1.75119026114047e-01	(1.70086436467265e+02dB,9.83748353467267e+00°)
1.76468285661951e-01	(1.70084475820967e+02dB,9.91178189498429e+00°)
1.77827941003893e-01	(1.70082484538058e+02dB,9.98661725505600e+00°)
1.79198072237534e-01	(1.70080464616838e+02dB,1.00619958099285e+01°)
1.80578760077673e-01	(1.70078414410410e+02dB,1.01379195571878e+01°)
1.81970085860999e-01	(1.70076332268261e+02dB,1.02143904635924e+01°)
1.83372131550889e-01	(1.70074218351993e+02dB,1.02914126381289e+01°)
1.84784979742230e-01	(1.70072074025935e+02dB,1.03689916790943e+01°)
1.86208713666288e-01	(1.70069897621576e+02dB,1.04471295794845e+01°)
1.87643417195610e-01	(1.70067688675332e+02dB,1.05258297794369e+01°)
1.89089174848965e-01	(1.70065446113394e+02dB,1.06050949813095e+01°)
1.90546071796326e-01	(1.70063169460650e+02dB,1.06849286245389e+01°)
1.92014193863881e-01	(1.70060861252526e+02dB,1.07653379397983e+01°)
1.93493627539096e-01	(1.70058516171941e+02dB,1.08463203644608e+01°)
1.94984459975806e-01	(1.70056137946550e+02dB,1.09278846829745e+01°)
1.96486778999348e-01	(1.70053722457235e+02dB,1.10100297880492e+01°)
1.98000673111740e-01	(1.70051271606754e+02dB,1.10927622325093e+01°)
1.99526231496889e-01	(1.70048784878926e+02dB,1.11760855273115e+01°)
2.01063544025850e-01	(1.70046260548120e+02dB,1.12600016079333e+01°)
2.02612701262116e-01	(1.70043699889642e+02dB,1.13445163469852e+01°)
2.04173794466954e-01	(1.70041099963184e+02dB,1.14296300814862e+01°)
2.05746915604785e-01	(1.70038461428862e+02dB,1.15153479019927e+01°)
2.07332157348597e-01	(1.70035783137133e+02dB,1.16016725111712e+01°)
2.08929613085405e-01	(1.70033066330963e+02dB,1.16886098638576e+01°)
2.10539376921756e-01	(1.70030308646764e+02dB,1.17761610419437e+01°)
2.12161543689270e-01	(1.70027511310776e+02dB,1.18643320398225e+01°)
2.13796208950225e-01	(1.70024670750337e+02dB,1.19531222379836e+01°)
2.15443469003190e-01	(1.70021788774981e+02dB,1.20425384745404e+01°)
2.17103420888697e-01	(1.70018863595073e+02dB,1.21325825966543e+01°)
2.18776162394957e-01	(1.70015896402425e+02dB,1.22232606724842e+01°)
2.20461792063620e-01	(1.70012884199153e+02dB,1.23145728241238e+01°)
2.22160409195583e-01	(1.70009827564250e+02dB,1.24065242705183e+01°)
2.23872113856835e-01	(1.70006727661548e+02dB,1.24991211478453e+01°)
2.25597006884359e-01	(1.70003580878173e+02dB,1.25923626423744e+01°)
2.27335189892065e-01	(1.70000387767175e+02dB,1.26862540027353e+01°)
2.29086765276779e-01	(1.69997146491878e+02dB,1.27807969626035e+01°)
2.30851836224278e-01	(1.69993859370098e+02dB,1.28759994749984e+01°)
2.32630506715364e-01	(1.69990523359432e+02dB,1.29718614918702e+01°)
2.34422881531994e-01	(1.69987137789451e+02dB,1.30683864949001e+01°)
2.36229066263448e-01	(1.69983702574306e+02dB,1.31655788740516e+01°)
2.38049167312553e-01	(1.69980218210222e+02dB,1.32634439599223e+01°)
2.39883291901951e-01	(1.69976681630516e+02dB,1.33619815613441e+01°)
2.41731548080412e-01	(1.69973093906913e+02dB,1.34611979141786e+01°)
2.43594044729204e-01	(1.69969454324358e+02dB,1.35610965019919e+01°)
2.45470891568505e-01	(1.69965758617360e+02dB,1.36616751203921e+01°)
2.47362199163864e-01	(1.69962012550517e+02dB,1.37629476007180e+01°)
2.49268078932720e-01	(1.69958210071691e+02dB,1.38649088575227e+01°)
2.51188643150960e-01	(1.69954352792319e+02dB,1.39675661207480e+01°)
2.53124004959538e-01	(1.69950438777380e+02dB,1.40709208750186e+01°)
2.55074278371138e-01	(1.69946467850281e+02dB,1.41749774776099e+01°)
2.57039578276888e-01	(1.69942439236228e+02dB,1.42797393119811e+01°)
2.59020020453134e-01	(1.69938352737987e+02dB,1.43852107404391e+01°)
2.61015721568256e-01	(1.69934205802953e+02dB,1.44913921385205e+01°)
2.63026799189540e-01	(1.69929999974396e+02dB,1.45982908270438e+01°)
2.65053371790110e-01	(1.69925732683057e+02dB,1.47059071292341e+01°)
