time	V(vo)
0.000000000000000e+00	1.099071e-04
2.929687603625553e-10	1.099071e-04
5.859375207251105e-10	1.099071e-04
1.171875041450221e-09	1.099071e-04
2.343750082900442e-09	1.099071e-04
1.000000000000000e-03	1.099084e-04
1.000100460693812e-03	1.099823e-04
1.000301382081436e-03	1.101175e-04
1.000567572730478e-03	1.102701e-04
1.000862546340221e-03	1.104076e-04
1.001216502008536e-03	1.105404e-04
1.001702974142324e-03	1.106879e-04
1.002371673143023e-03	1.108554e-04
1.003142832007553e-03	1.110141e-04
1.003640160989390e-03	1.110619e-04
1.004016406533044e-03	1.109826e-04
1.004244999035028e-03	1.107708e-04
1.004446009338780e-03	1.103506e-04
1.004637009180847e-03	1.097529e-04
1.004770380185137e-03	1.093253e-04
1.004886301341235e-03	1.090858e-04
1.004991549499700e-03	1.090608e-04
1.005108727461183e-03	1.092004e-04
1.005198874407409e-03	1.093533e-04
1.005314538606979e-03	1.095511e-04
1.005416698098905e-03	1.097173e-04
1.005537014581567e-03	1.099033e-04
1.005651408666964e-03	1.100693e-04
1.005783216607435e-03	1.102449e-04
1.006046832488376e-03	1.105609e-04
1.006428439589442e-03	1.109695e-04
1.006811443429029e-03	1.113389e-04
1.007384965146114e-03	1.118592e-04
1.007961255025682e-03	1.123877e-04
1.008794808556514e-03	1.132120e-04
1.009680965712729e-03	1.141776e-04
1.010000000000000e-03	1.145560e-04
1.010004928952679e-03	1.145569e-04
1.010014786858036e-03	1.145586e-04
1.010034502668749e-03	1.145618e-04
1.010073934290177e-03	1.145694e-04
1.010197848460842e-03	1.146030e-04
1.010271042455568e-03	1.146298e-04
1.010360854759263e-03	1.146696e-04
1.010501850617259e-03	1.147447e-04
1.010655974249577e-03	1.148410e-04
1.010796025200799e-03	1.149417e-04
1.010955784028245e-03	1.150719e-04
1.011173633819610e-03	1.152716e-04
1.011428041543178e-03	1.155341e-04
1.011703041396917e-03	1.158600e-04
1.012104728512941e-03	1.164148e-04
1.012469632392872e-03	1.170093e-04
1.012761269446015e-03	1.175824e-04
1.013081419600547e-03	1.183545e-04
1.013422124221510e-03	1.193962e-04
1.013796527852443e-03	1.209301e-04
1.014222927610671e-03	1.234987e-04
1.014775923162285e-03	1.289539e-04
1.015406255537527e-03	1.411271e-04
1.016220667292567e-03	1.780461e-04
1.016994201191616e-03	2.895488e-04
1.017414540752906e-03	5.321663e-04
1.017698199046461e-03	1.032851e-03
1.017947235331313e-03	2.001198e-03
1.018206809414980e-03	3.786379e-03
1.018490009744298e-03	6.888023e-03
1.018853027711988e-03	1.285918e-02
